Name,Level,Attack_IV,Defense_IV,HP_IV,CP
Abomasnow Mega Abomasnow,LV6,0,8,15,520
Abomasnow Mega Abomasnow,LV6,0,9,14,520
Abomasnow Mega Abomasnow,LV6,0,10,13,520
Abomasnow Mega Abomasnow,LV6,0,11,12,520
Abomasnow Mega Abomasnow,LV6,0,12,11,520
Abomasnow Mega Abomasnow,LV6,0,13,10,520
Abomasnow Mega Abomasnow,LV6,0,14,9,520
Abomasnow Mega Abomasnow,LV6,0,15,8,520
Abomasnow Mega Abomasnow,LV6,1,7,15,520
Abomasnow Mega Abomasnow,LV6,1,10,11,520
Abomasnow Mega Abomasnow,LV6,1,11,10,520
Abomasnow Mega Abomasnow,LV6,1,12,9,520
Abomasnow Mega Abomasnow,LV6,1,13,8,520
Abomasnow Mega Abomasnow,LV6,1,14,7,520
Abomasnow Mega Abomasnow,LV6,1,15,6,520
Abomasnow Mega Abomasnow,LV6,2,5,15,520
Abomasnow Mega Abomasnow,LV6,2,6,14,520
Abomasnow Mega Abomasnow,LV6,2,7,13,520
Abomasnow Mega Abomasnow,LV6,2,8,12,520
Abomasnow Mega Abomasnow,LV6,2,9,11,520
Abomasnow Mega Abomasnow,LV6,2,12,7,520
Abomasnow Mega Abomasnow,LV6,2,13,6,520
Abomasnow Mega Abomasnow,LV6,2,14,5,520
Abomasnow Mega Abomasnow,LV6,2,15,4,520
Abomasnow Mega Abomasnow,LV6,3,4,14,520
Abomasnow Mega Abomasnow,LV6,3,5,13,520
Abomasnow Mega Abomasnow,LV6,3,6,12,520
Abomasnow Mega Abomasnow,LV6,3,7,11,520
Abomasnow Mega Abomasnow,LV6,3,8,10,520
Abomasnow Mega Abomasnow,LV6,3,9,9,520
Abomasnow Mega Abomasnow,LV6,3,10,8,520
Abomasnow Mega Abomasnow,LV6,3,11,7,520
Abomasnow Mega Abomasnow,LV6,3,12,6,520
Abomasnow Mega Abomasnow,LV6,3,13,5,520
Abomasnow Mega Abomasnow,LV6,4,2,15,520
Abomasnow Mega Abomasnow,LV6,4,3,14,520
Abomasnow Mega Abomasnow,LV6,4,6,10,520
Abomasnow Mega Abomasnow,LV6,4,7,9,520
Abomasnow Mega Abomasnow,LV6,4,8,8,520
Abomasnow Mega Abomasnow,LV6,4,9,7,520
Abomasnow Mega Abomasnow,LV6,4,10,6,520
Abomasnow Mega Abomasnow,LV6,4,11,5,520
Abomasnow Mega Abomasnow,LV6,4,12,4,520
Abomasnow Mega Abomasnow,LV6,4,13,3,520
Abomasnow Mega Abomasnow,LV6,4,14,2,520
Abomasnow Mega Abomasnow,LV6,4,15,1,520
Abomasnow Mega Abomasnow,LV6,5,0,15,520
Abomasnow Mega Abomasnow,LV6,5,1,14,520
Abomasnow Mega Abomasnow,LV6,5,2,13,520
Abomasnow Mega Abomasnow,LV6,5,3,12,520
Abomasnow Mega Abomasnow,LV6,5,4,11,520
Abomasnow Mega Abomasnow,LV6,5,5,10,520
Abomasnow Mega Abomasnow,LV6,5,8,6,520
Abomasnow Mega Abomasnow,LV6,5,9,5,520
Abomasnow Mega Abomasnow,LV6,5,10,4,520
Abomasnow Mega Abomasnow,LV6,5,11,3,520
Abomasnow Mega Abomasnow,LV6,5,12,2,520
Abomasnow Mega Abomasnow,LV6,5,13,1,520
Abomasnow Mega Abomasnow,LV6,5,14,0,520
Abomasnow Mega Abomasnow,LV6,6,1,12,520
Abomasnow Mega Abomasnow,LV6,6,2,11,520
Abomasnow Mega Abomasnow,LV6,6,3,10,520
Abomasnow Mega Abomasnow,LV6,6,4,9,520
Abomasnow Mega Abomasnow,LV6,6,5,8,520
Abomasnow Mega Abomasnow,LV6,6,6,7,520
Abomasnow Mega Abomasnow,LV6,6,7,6,520
Abomasnow Mega Abomasnow,LV6,6,8,5,520
Abomasnow Mega Abomasnow,LV6,7,0,12,520
Abomasnow Mega Abomasnow,LV6,7,1,11,520
Abomasnow Mega Abomasnow,LV6,7,3,8,520
Abomasnow Mega Abomasnow,LV6,7,4,7,520
Abomasnow Mega Abomasnow,LV6,7,5,6,520
Abomasnow Mega Abomasnow,LV6,7,6,5,520
Abomasnow Mega Abomasnow,LV6,7,7,4,520
Abomasnow Mega Abomasnow,LV6,7,8,3,520
Abomasnow Mega Abomasnow,LV6,7,9,2,520
Abomasnow Mega Abomasnow,LV6,7,10,1,520
Abomasnow Mega Abomasnow,LV6,7,11,0,520
Abomasnow Mega Abomasnow,LV6,8,0,10,520
Abomasnow Mega Abomasnow,LV6,8,1,9,520
Abomasnow Mega Abomasnow,LV6,8,2,8,520
Abomasnow Mega Abomasnow,LV6,8,3,7,520
Abomasnow Mega Abomasnow,LV6,8,6,3,520
Abomasnow Mega Abomasnow,LV6,8,7,2,520
Abomasnow Mega Abomasnow,LV6,8,8,1,520
Abomasnow Mega Abomasnow,LV6,8,9,0,520
Abomasnow Mega Abomasnow,LV6,9,0,8,520
Abomasnow Mega Abomasnow,LV6,9,1,7,520
Abomasnow Mega Abomasnow,LV6,9,2,6,520
Abomasnow Mega Abomasnow,LV6,9,3,5,520
Abomasnow Mega Abomasnow,LV6,9,4,4,520
Abomasnow Mega Abomasnow,LV6,9,5,3,520
Abomasnow Mega Abomasnow,LV6,9,6,2,520
Abomasnow Mega Abomasnow,LV6,9,7,1,520
Abomasnow Mega Abomasnow,LV6,10,1,5,520
Abomasnow Mega Abomasnow,LV6,10,2,4,520
Abomasnow Mega Abomasnow,LV6,10,3,3,520
Abomasnow Mega Abomasnow,LV6,10,4,2,520
Abomasnow Mega Abomasnow,LV6,10,5,1,520
Abomasnow Mega Abomasnow,LV6,10,6,0,520
Abomasnow Mega Abomasnow,LV6,11,0,5,520
Abomasnow Mega Abomasnow,LV6,11,1,4,520
Abomasnow Mega Abomasnow,LV6,11,2,3,520
Abomasnow Mega Abomasnow,LV6,12,0,3,520
Abomasnow Mega Abomasnow,LV6,12,1,2,520
Abomasnow Mega Abomasnow,LV6,12,2,1,520
Abomasnow Mega Abomasnow,LV6,12,3,0,520
Abomasnow Mega Abomasnow,LV6,13,1,0,520
Abomasnow Mega Abomasnow,LV6,14,0,0,520
