Name,Level,Attack_IV,Defense_IV,HP_IV,CP
Abomasnow,LV9,0,0,5,520
Abomasnow,LV9,0,1,4,520
Abomasnow,LV9,0,2,3,520
Abomasnow,LV9,0,3,1,520
Abomasnow,LV9,0,4,0,520
Abomasnow,LV8.5,0,14,13,520
Abomasnow,LV8.5,0,15,12,520
Abomasnow,LV9,1,0,3,520
Abomasnow,LV9,1,1,2,520
Abomasnow,LV9,1,2,0,520
Abomasnow,LV8.5,1,11,15,520
Abomasnow,LV8.5,1,12,13,520
Abomasnow,LV8.5,1,13,12,520
Abomasnow,LV8.5,1,14,11,520
Abomasnow,LV9,2,0,1,520
Abomasnow,LV8.5,2,9,15,520
Abomasnow,LV8.5,2,11,12,520
Abomasnow,LV8.5,2,12,11,520
Abomasnow,LV8.5,2,13,10,520
Abomasnow,LV8.5,2,14,8,520
Abomasnow,LV8.5,2,15,7,520
Abomasnow,LV8.5,3,7,15,520
Abomasnow,LV8.5,3,8,14,520
Abomasnow,LV8.5,3,9,12,520
Abomasnow,LV8.5,3,10,11,520
Abomasnow,LV8.5,3,11,10,520
Abomasnow,LV8.5,3,13,7,520
Abomasnow,LV8.5,3,14,6,520
Abomasnow,LV8.5,3,15,5,520
Abomasnow,LV8.5,4,5,15,520
Abomasnow,LV8.5,4,6,14,520
Abomasnow,LV8.5,4,7,13,520
Abomasnow,LV8.5,4,8,11,520
Abomasnow,LV8.5,4,9,10,520
Abomasnow,LV8.5,4,10,9,520
Abomasnow,LV8.5,4,12,6,520
Abomasnow,LV8.5,4,13,5,520
Abomasnow,LV8.5,4,14,4,520
Abomasnow,LV8.5,5,4,14,520
Abomasnow,LV8.5,5,5,13,520
Abomasnow,LV8.5,5,7,10,520
Abomasnow,LV8.5,5,8,9,520
Abomasnow,LV8.5,5,9,8,520
Abomasnow,LV8.5,5,10,6,520
Abomasnow,LV8.5,5,11,5,520
Abomasnow,LV8.5,5,12,4,520
Abomasnow,LV8.5,5,13,3,520
Abomasnow,LV8.5,5,15,0,520
Abomasnow,LV8.5,6,2,15,520
Abomasnow,LV8.5,6,3,13,520
Abomasnow,LV8.5,6,4,12,520
Abomasnow,LV8.5,6,6,9,520
Abomasnow,LV8.5,6,7,8,520
Abomasnow,LV8.5,6,8,7,520
Abomasnow,LV8.5,6,9,5,520
Abomasnow,LV8.5,6,10,4,520
Abomasnow,LV8.5,6,11,3,520
Abomasnow,LV8.5,6,13,0,520
Abomasnow,LV8.5,7,0,15,520
Abomasnow,LV8.5,7,1,14,520
Abomasnow,LV8.5,7,2,12,520
Abomasnow,LV8.5,7,3,11,520
Abomasnow,LV8.5,7,5,8,520
Abomasnow,LV8.5,7,6,7,520
Abomasnow,LV8.5,7,8,4,520
Abomasnow,LV8.5,7,9,3,520
Abomasnow,LV8.5,7,10,2,520
Abomasnow,LV8.5,8,0,13,520
Abomasnow,LV8.5,8,1,11,520
Abomasnow,LV8.5,8,2,10,520
Abomasnow,LV8.5,8,4,7,520
Abomasnow,LV8.5,8,5,6,520
Abomasnow,LV8.5,8,7,3,520
Abomasnow,LV8.5,8,8,2,520
Abomasnow,LV8.5,8,9,1,520
Abomasnow,LV8.5,9,0,10,520
Abomasnow,LV8.5,9,1,9,520
Abomasnow,LV8.5,9,3,6,520
Abomasnow,LV8.5,9,4,5,520
Abomasnow,LV8.5,9,5,4,520
Abomasnow,LV8.5,9,6,2,520
Abomasnow,LV8.5,9,7,1,520
Abomasnow,LV8.5,9,8,0,520
Abomasnow,LV8.5,10,0,8,520
Abomasnow,LV8.5,10,1,7,520
Abomasnow,LV8.5,10,2,5,520
Abomasnow,LV8.5,10,3,4,520
Abomasnow,LV8.5,10,4,3,520
Abomasnow,LV8.5,10,5,1,520
Abomasnow,LV8.5,10,6,0,520
Abomasnow,LV8.5,11,0,6,520
Abomasnow,LV8.5,11,1,4,520
Abomasnow,LV8.5,11,2,3,520
Abomasnow,LV8.5,11,3,2,520
Abomasnow,LV8,11,14,15,520
Abomasnow,LV8,11,15,14,520
Abomasnow,LV8.5,12,1,2,520
Abomasnow,LV8.5,12,2,1,520
Abomasnow,LV8,12,13,14,520
Abomasnow,LV8,12,14,13,520
Abomasnow,LV8,12,15,12,520
Abomasnow,LV8.5,13,0,1,520
Abomasnow,LV8.5,13,1,0,520
Abomasnow,LV8,13,11,15,520
Abomasnow,LV8,13,12,13,520
Abomasnow,LV8,13,13,12,520
Abomasnow,LV8,13,14,11,520
Abomasnow,LV8,14,9,15,520
Abomasnow,LV8,14,10,14,520
Abomasnow,LV8,14,11,12,520
Abomasnow,LV8,14,12,11,520
Abomasnow,LV8,14,13,10,520
Abomasnow,LV8,14,15,7,520
Abomasnow,LV8,15,7,15,520
Abomasnow,LV8,15,8,14,520
Abomasnow,LV8,15,9,13,520
Abomasnow,LV8,15,10,11,520
Abomasnow,LV8,15,11,10,520
Abomasnow,LV8,15,12,9,520
Abomasnow,LV8,15,14,6,520
Abomasnow,LV8,15,15,5,520
