Name,Level,Attack_IV,Defense_IV,HP_IV,CP
Aerodactyl Mega Aerodactyl,LV5,0,8,15,520
Aerodactyl Mega Aerodactyl,LV5,0,12,12,520
Aerodactyl Mega Aerodactyl,LV5,0,13,11,520
Aerodactyl Mega Aerodactyl,LV5,0,14,10,520
Aerodactyl Mega Aerodactyl,LV5,0,15,9,520
Aerodactyl Mega Aerodactyl,LV5,1,7,15,520
Aerodactyl Mega Aerodactyl,LV5,1,8,14,520
Aerodactyl Mega Aerodactyl,LV5,1,9,13,520
Aerodactyl Mega Aerodactyl,LV5,1,10,12,520
Aerodactyl Mega Aerodactyl,LV5,1,11,11,520
Aerodactyl Mega Aerodactyl,LV5,1,12,10,520
Aerodactyl Mega Aerodactyl,LV5,1,15,8,520
Aerodactyl Mega Aerodactyl,LV5,2,9,12,520
Aerodactyl Mega Aerodactyl,LV5,2,10,11,520
Aerodactyl Mega Aerodactyl,LV5,2,11,10,520
Aerodactyl Mega Aerodactyl,LV5,2,12,9,520
Aerodactyl Mega Aerodactyl,LV5,2,13,8,520
Aerodactyl Mega Aerodactyl,LV5,2,14,7,520
Aerodactyl Mega Aerodactyl,LV5,2,15,6,520
Aerodactyl Mega Aerodactyl,LV5,3,4,15,520
Aerodactyl Mega Aerodactyl,LV5,3,5,14,520
Aerodactyl Mega Aerodactyl,LV5,3,6,13,520
Aerodactyl Mega Aerodactyl,LV5,3,7,12,520
Aerodactyl Mega Aerodactyl,LV5,3,8,11,520
Aerodactyl Mega Aerodactyl,LV5,3,9,10,520
Aerodactyl Mega Aerodactyl,LV5,3,10,9,520
Aerodactyl Mega Aerodactyl,LV5,3,13,7,520
Aerodactyl Mega Aerodactyl,LV5,3,14,6,520
Aerodactyl Mega Aerodactyl,LV5,3,15,5,520
Aerodactyl Mega Aerodactyl,LV5,4,5,13,520
Aerodactyl Mega Aerodactyl,LV5,4,6,12,520
Aerodactyl Mega Aerodactyl,LV5,4,7,11,520
Aerodactyl Mega Aerodactyl,LV5,4,8,10,520
Aerodactyl Mega Aerodactyl,LV5,4,9,9,520
Aerodactyl Mega Aerodactyl,LV5,4,10,8,520
Aerodactyl Mega Aerodactyl,LV5,4,11,7,520
Aerodactyl Mega Aerodactyl,LV5,4,12,6,520
Aerodactyl Mega Aerodactyl,LV5,4,13,5,520
Aerodactyl Mega Aerodactyl,LV5,4,15,4,520
Aerodactyl Mega Aerodactyl,LV5,5,1,15,520
Aerodactyl Mega Aerodactyl,LV5,5,2,14,520
Aerodactyl Mega Aerodactyl,LV5,5,3,13,520
Aerodactyl Mega Aerodactyl,LV5,5,4,12,520
Aerodactyl Mega Aerodactyl,LV5,5,5,11,520
Aerodactyl Mega Aerodactyl,LV5,5,6,10,520
Aerodactyl Mega Aerodactyl,LV5,5,10,7,520
Aerodactyl Mega Aerodactyl,LV5,5,11,6,520
Aerodactyl Mega Aerodactyl,LV5,5,12,5,520
Aerodactyl Mega Aerodactyl,LV5,5,13,4,520
Aerodactyl Mega Aerodactyl,LV5,5,14,3,520
Aerodactyl Mega Aerodactyl,LV5,5,15,2,520
Aerodactyl Mega Aerodactyl,LV5,6,0,15,520
Aerodactyl Mega Aerodactyl,LV5,6,1,14,520
Aerodactyl Mega Aerodactyl,LV5,6,2,13,520
Aerodactyl Mega Aerodactyl,LV5,6,3,12,520
Aerodactyl Mega Aerodactyl,LV5,6,4,11,520
Aerodactyl Mega Aerodactyl,LV5,6,5,10,520
Aerodactyl Mega Aerodactyl,LV5,6,6,9,520
Aerodactyl Mega Aerodactyl,LV5,6,7,8,520
Aerodactyl Mega Aerodactyl,LV5,6,8,7,520
Aerodactyl Mega Aerodactyl,LV5,6,9,6,520
Aerodactyl Mega Aerodactyl,LV5,6,12,4,520
Aerodactyl Mega Aerodactyl,LV5,6,13,3,520
Aerodactyl Mega Aerodactyl,LV5,6,14,2,520
Aerodactyl Mega Aerodactyl,LV5,6,15,1,520
Aerodactyl Mega Aerodactyl,LV5,7,0,13,520
Aerodactyl Mega Aerodactyl,LV5,7,1,12,520
Aerodactyl Mega Aerodactyl,LV5,7,6,8,520
Aerodactyl Mega Aerodactyl,LV5,7,7,7,520
Aerodactyl Mega Aerodactyl,LV5,7,8,6,520
Aerodactyl Mega Aerodactyl,LV5,7,9,5,520
Aerodactyl Mega Aerodactyl,LV5,7,10,4,520
Aerodactyl Mega Aerodactyl,LV5,7,11,3,520
Aerodactyl Mega Aerodactyl,LV5,7,12,2,520
Aerodactyl Mega Aerodactyl,LV5,7,15,0,520
Aerodactyl Mega Aerodactyl,LV5,8,0,12,520
Aerodactyl Mega Aerodactyl,LV5,8,1,11,520
Aerodactyl Mega Aerodactyl,LV5,8,2,10,520
Aerodactyl Mega Aerodactyl,LV5,8,3,9,520
Aerodactyl Mega Aerodactyl,LV5,8,4,8,520
Aerodactyl Mega Aerodactyl,LV5,8,5,7,520
Aerodactyl Mega Aerodactyl,LV5,8,6,6,520
Aerodactyl Mega Aerodactyl,LV5,8,9,4,520
Aerodactyl Mega Aerodactyl,LV5,8,10,3,520
Aerodactyl Mega Aerodactyl,LV5,8,11,2,520
Aerodactyl Mega Aerodactyl,LV5,8,12,1,520
Aerodactyl Mega Aerodactyl,LV5,8,13,0,520
Aerodactyl Mega Aerodactyl,LV5,9,0,11,520
Aerodactyl Mega Aerodactyl,LV5,9,1,10,520
Aerodactyl Mega Aerodactyl,LV5,9,2,9,520
Aerodactyl Mega Aerodactyl,LV5,9,3,8,520
Aerodactyl Mega Aerodactyl,LV5,9,4,7,520
Aerodactyl Mega Aerodactyl,LV5,9,5,6,520
Aerodactyl Mega Aerodactyl,LV5,9,6,5,520
Aerodactyl Mega Aerodactyl,LV5,9,7,4,520
Aerodactyl Mega Aerodactyl,LV5,9,8,3,520
Aerodactyl Mega Aerodactyl,LV5,9,11,1,520
Aerodactyl Mega Aerodactyl,LV5,9,12,0,520
Aerodactyl Mega Aerodactyl,LV5,10,0,9,520
Aerodactyl Mega Aerodactyl,LV5,10,1,8,520
Aerodactyl Mega Aerodactyl,LV5,10,5,5,520
Aerodactyl Mega Aerodactyl,LV5,10,6,4,520
Aerodactyl Mega Aerodactyl,LV5,10,7,3,520
Aerodactyl Mega Aerodactyl,LV5,10,8,2,520
Aerodactyl Mega Aerodactyl,LV5,10,9,1,520
Aerodactyl Mega Aerodactyl,LV5,10,10,0,520
Aerodactyl Mega Aerodactyl,LV5,11,0,8,520
Aerodactyl Mega Aerodactyl,LV5,11,1,7,520
Aerodactyl Mega Aerodactyl,LV5,11,2,6,520
Aerodactyl Mega Aerodactyl,LV5,11,3,5,520
Aerodactyl Mega Aerodactyl,LV5,11,4,4,520
Aerodactyl Mega Aerodactyl,LV5,11,8,1,520
Aerodactyl Mega Aerodactyl,LV5,11,9,0,520
Aerodactyl Mega Aerodactyl,LV5,12,0,7,520
Aerodactyl Mega Aerodactyl,LV5,12,1,6,520
Aerodactyl Mega Aerodactyl,LV5,12,2,5,520
Aerodactyl Mega Aerodactyl,LV5,12,3,4,520
Aerodactyl Mega Aerodactyl,LV5,12,4,3,520
Aerodactyl Mega Aerodactyl,LV5,12,5,2,520
Aerodactyl Mega Aerodactyl,LV5,12,6,1,520
Aerodactyl Mega Aerodactyl,LV5,12,7,0,520
Aerodactyl Mega Aerodactyl,LV5,13,3,3,520
Aerodactyl Mega Aerodactyl,LV5,13,4,2,520
Aerodactyl Mega Aerodactyl,LV5,13,5,1,520
Aerodactyl Mega Aerodactyl,LV5,13,6,0,520
Aerodactyl Mega Aerodactyl,LV5,14,0,4,520
Aerodactyl Mega Aerodactyl,LV5,14,1,3,520
Aerodactyl Mega Aerodactyl,LV5,14,2,2,520
Aerodactyl Mega Aerodactyl,LV5,15,0,3,520
Aerodactyl Mega Aerodactyl,LV5,15,1,2,520
Aerodactyl Mega Aerodactyl,LV5,15,2,1,520
Aerodactyl Mega Aerodactyl,LV5,15,3,0,520
