Name,Level,Attack_IV,Defense_IV,HP_IV,CP
Alakazam,LV7,0,2,1,520
Alakazam,LV7,0,3,0,520
Alakazam,LV6.5,0,14,15,520
Alakazam,LV6.5,0,15,14,520
Alakazam,LV6.5,1,14,14,520
Alakazam,LV6.5,1,15,13,520
Alakazam,LV6.5,2,11,15,520
Alakazam,LV6.5,2,15,12,520
Alakazam,LV6.5,3,10,15,520
Alakazam,LV6.5,3,11,14,520
Alakazam,LV6.5,3,12,13,520
Alakazam,LV6.5,4,9,15,520
Alakazam,LV6.5,4,10,14,520
Alakazam,LV6.5,4,11,13,520
Alakazam,LV6.5,4,12,12,520
Alakazam,LV6.5,4,13,11,520
Alakazam,LV6.5,5,10,13,520
Alakazam,LV6.5,5,11,12,520
Alakazam,LV6.5,5,12,11,520
Alakazam,LV6.5,5,13,10,520
Alakazam,LV6.5,5,14,9,520
Alakazam,LV6.5,6,6,15,520
Alakazam,LV6.5,6,7,14,520
Alakazam,LV6.5,6,12,10,520
Alakazam,LV6.5,6,13,9,520
Alakazam,LV6.5,6,14,8,520
Alakazam,LV6.5,6,15,7,520
Alakazam,LV6.5,7,5,15,520
Alakazam,LV6.5,7,6,14,520
Alakazam,LV6.5,7,7,13,520
Alakazam,LV6.5,7,8,12,520
Alakazam,LV6.5,7,13,8,520
Alakazam,LV6.5,7,14,7,520
Alakazam,LV6.5,7,15,6,520
Alakazam,LV6.5,8,4,15,520
Alakazam,LV6.5,8,5,14,520
Alakazam,LV6.5,8,6,13,520
Alakazam,LV6.5,8,7,12,520
Alakazam,LV6.5,8,8,11,520
Alakazam,LV6.5,8,9,10,520
Alakazam,LV6.5,8,13,7,520
Alakazam,LV6.5,8,14,6,520
Alakazam,LV6.5,8,15,5,520
Alakazam,LV6.5,9,6,12,520
Alakazam,LV6.5,9,7,11,520
Alakazam,LV6.5,9,8,10,520
Alakazam,LV6.5,9,9,9,520
Alakazam,LV6.5,9,10,8,520
Alakazam,LV6.5,9,14,5,520
Alakazam,LV6.5,9,15,4,520
Alakazam,LV6.5,10,1,15,520
Alakazam,LV6.5,10,7,10,520
Alakazam,LV6.5,10,8,9,520
Alakazam,LV6.5,10,9,8,520
Alakazam,LV6.5,10,10,7,520
Alakazam,LV6.5,10,11,6,520
Alakazam,LV6.5,10,14,4,520
Alakazam,LV6.5,10,15,3,520
Alakazam,LV6.5,11,0,15,520
Alakazam,LV6.5,11,1,14,520
Alakazam,LV6.5,11,2,13,520
Alakazam,LV6.5,11,3,12,520
Alakazam,LV6.5,11,8,8,520
Alakazam,LV6.5,11,9,7,520
Alakazam,LV6.5,11,10,6,520
Alakazam,LV6.5,11,11,5,520
Alakazam,LV6.5,11,15,2,520
Alakazam,LV6.5,12,0,14,520
Alakazam,LV6.5,12,1,13,520
Alakazam,LV6.5,12,2,12,520
Alakazam,LV6.5,12,3,11,520
Alakazam,LV6.5,12,4,10,520
Alakazam,LV6.5,12,9,6,520
Alakazam,LV6.5,12,10,5,520
Alakazam,LV6.5,12,11,4,520
Alakazam,LV6.5,12,12,3,520
Alakazam,LV6.5,12,15,1,520
Alakazam,LV6.5,13,0,13,520
Alakazam,LV6.5,13,1,12,520
Alakazam,LV6.5,13,2,11,520
Alakazam,LV6.5,13,3,10,520
Alakazam,LV6.5,13,4,9,520
Alakazam,LV6.5,13,5,8,520
Alakazam,LV6.5,13,9,5,520
Alakazam,LV6.5,13,10,4,520
Alakazam,LV6.5,13,11,3,520
Alakazam,LV6.5,13,12,2,520
Alakazam,LV6.5,13,15,0,520
Alakazam,LV6.5,14,0,12,520
Alakazam,LV6.5,14,1,11,520
Alakazam,LV6.5,14,2,10,520
Alakazam,LV6.5,14,3,9,520
Alakazam,LV6.5,14,4,8,520
Alakazam,LV6.5,14,5,7,520
Alakazam,LV6.5,14,6,6,520
Alakazam,LV6.5,14,10,3,520
Alakazam,LV6.5,14,11,2,520
Alakazam,LV6.5,14,12,1,520
Alakazam,LV6.5,15,1,10,520
Alakazam,LV6.5,15,2,9,520
Alakazam,LV6.5,15,3,8,520
Alakazam,LV6.5,15,4,7,520
Alakazam,LV6.5,15,5,6,520
Alakazam,LV6.5,15,6,5,520
Alakazam,LV6.5,15,10,2,520
Alakazam,LV6.5,15,11,1,520
Alakazam,LV6.5,15,12,0,520
