Name,Level,Attack_IV,Defense_IV,HP_IV,CP
Alomomola,LV10,0,0,3,520
Alomomola,LV10,0,1,0,520
Alomomola,LV9.5,0,10,15,520
Alomomola,LV9.5,0,11,12,520
Alomomola,LV9.5,0,11,13,520
Alomomola,LV9.5,0,12,10,520
Alomomola,LV9.5,0,13,7,520
Alomomola,LV9.5,0,13,8,520
Alomomola,LV9.5,0,14,5,520
Alomomola,LV9.5,0,15,3,520
Alomomola,LV9.5,1,8,15,520
Alomomola,LV9.5,1,9,12,520
Alomomola,LV9.5,1,9,13,520
Alomomola,LV9.5,1,10,10,520
Alomomola,LV9.5,1,11,7,520
Alomomola,LV9.5,1,11,8,520
Alomomola,LV9.5,1,12,5,520
Alomomola,LV9.5,1,13,2,520
Alomomola,LV9.5,1,13,3,520
Alomomola,LV9.5,1,14,0,520
Alomomola,LV9.5,2,6,15,520
Alomomola,LV9.5,2,7,12,520
Alomomola,LV9.5,2,7,13,520
Alomomola,LV9.5,2,8,10,520
Alomomola,LV9.5,2,9,7,520
Alomomola,LV9.5,2,9,8,520
Alomomola,LV9.5,2,10,5,520
Alomomola,LV9.5,2,11,2,520
Alomomola,LV9.5,2,11,3,520
Alomomola,LV9.5,2,12,0,520
Alomomola,LV9.5,3,4,15,520
Alomomola,LV9.5,3,5,12,520
Alomomola,LV9.5,3,5,13,520
Alomomola,LV9.5,3,6,10,520
Alomomola,LV9.5,3,7,7,520
Alomomola,LV9.5,3,7,8,520
Alomomola,LV9.5,3,8,5,520
Alomomola,LV9.5,3,9,2,520
Alomomola,LV9.5,3,9,3,520
Alomomola,LV9.5,3,10,0,520
Alomomola,LV9.5,4,2,15,520
Alomomola,LV9.5,4,3,13,520
Alomomola,LV9.5,4,4,10,520
Alomomola,LV9.5,4,5,7,520
Alomomola,LV9.5,4,5,8,520
Alomomola,LV9.5,4,6,5,520
Alomomola,LV9.5,4,7,2,520
Alomomola,LV9.5,4,7,3,520
Alomomola,LV9.5,4,8,0,520
Alomomola,LV9.5,5,1,13,520
Alomomola,LV9.5,5,2,10,520
Alomomola,LV9.5,5,2,11,520
Alomomola,LV9.5,5,3,8,520
Alomomola,LV9.5,5,4,5,520
Alomomola,LV9.5,5,5,3,520
Alomomola,LV9.5,5,6,0,520
Alomomola,LV9.5,6,0,11,520
Alomomola,LV9.5,6,1,8,520
Alomomola,LV9.5,6,2,5,520
Alomomola,LV9.5,6,2,6,520
Alomomola,LV9.5,6,3,3,520
Alomomola,LV9.5,6,4,0,520
Alomomola,LV9.5,6,4,1,520
Alomomola,LV9,6,14,15,520
Alomomola,LV9,6,15,13,520
Alomomola,LV9.5,7,0,6,520
Alomomola,LV9.5,7,1,3,520
Alomomola,LV9.5,7,1,4,520
Alomomola,LV9.5,7,2,1,520
Alomomola,LV9,7,12,15,520
Alomomola,LV9,7,13,13,520
Alomomola,LV9,7,14,10,520
Alomomola,LV9,7,14,11,520
Alomomola,LV9,7,15,8,520
Alomomola,LV9.5,8,0,1,520
Alomomola,LV9.5,8,0,2,520
Alomomola,LV9,8,10,15,520
Alomomola,LV9,8,11,13,520
Alomomola,LV9,8,12,11,520
Alomomola,LV9,8,13,8,520
Alomomola,LV9,8,14,6,520
Alomomola,LV9,8,15,3,520
Alomomola,LV9,8,15,4,520
Alomomola,LV9,9,9,13,520
Alomomola,LV9,9,9,14,520
Alomomola,LV9,9,10,11,520
Alomomola,LV9,9,11,8,520
Alomomola,LV9,9,11,9,520
Alomomola,LV9,9,12,6,520
Alomomola,LV9,9,13,3,520
Alomomola,LV9,9,13,4,520
Alomomola,LV9,9,14,1,520
Alomomola,LV9,10,7,13,520
Alomomola,LV9,10,7,14,520
Alomomola,LV9,10,8,11,520
Alomomola,LV9,10,9,8,520
Alomomola,LV9,10,9,9,520
Alomomola,LV9,10,10,6,520
Alomomola,LV9,10,11,4,520
Alomomola,LV9,10,12,1,520
Alomomola,LV9,11,5,14,520
Alomomola,LV9,11,6,11,520
Alomomola,LV9,11,6,12,520
Alomomola,LV9,11,7,9,520
Alomomola,LV9,11,8,6,520
Alomomola,LV9,11,8,7,520
Alomomola,LV9,11,9,4,520
Alomomola,LV9,11,10,1,520
Alomomola,LV9,11,10,2,520
Alomomola,LV9,12,3,14,520
Alomomola,LV9,12,3,15,520
Alomomola,LV9,12,4,12,520
Alomomola,LV9,12,5,9,520
Alomomola,LV9,12,5,10,520
Alomomola,LV9,12,6,7,520
Alomomola,LV9,12,7,4,520
Alomomola,LV9,12,8,2,520
Alomomola,LV9,12,9,0,520
Alomomola,LV9,13,1,15,520
Alomomola,LV9,13,2,12,520
Alomomola,LV9,13,2,13,520
Alomomola,LV9,13,3,10,520
Alomomola,LV9,13,4,7,520
Alomomola,LV9,13,5,5,520
Alomomola,LV9,13,6,2,520
Alomomola,LV9,13,7,0,520
Alomomola,LV9,14,0,13,520
Alomomola,LV9,14,1,10,520
Alomomola,LV9,14,1,11,520
Alomomola,LV9,14,2,8,520
Alomomola,LV9,14,3,5,520
Alomomola,LV9,14,4,3,520
Alomomola,LV9,14,5,0,520
Alomomola,LV9,15,0,8,520
Alomomola,LV9,15,0,9,520
Alomomola,LV9,15,1,6,520
Alomomola,LV9,15,2,3,520
Alomomola,LV9,15,2,4,520
Alomomola,LV9,15,3,1,520
Alomomola,LV8.5,15,14,15,520
Alomomola,LV8.5,15,15,13,520
