Name,Level,Attack_IV,Defense_IV,HP_IV,CP
Altaria Mega Altaria,LV6.5,0,5,14,520
Altaria Mega Altaria,LV6.5,0,6,13,520
Altaria Mega Altaria,LV6.5,0,7,12,520
Altaria Mega Altaria,LV6.5,0,8,11,520
Altaria Mega Altaria,LV6.5,0,9,10,520
Altaria Mega Altaria,LV6.5,0,12,8,520
Altaria Mega Altaria,LV6.5,0,13,7,520
Altaria Mega Altaria,LV6.5,0,14,6,520
Altaria Mega Altaria,LV6.5,0,15,5,520
Altaria Mega Altaria,LV6.5,1,3,14,520
Altaria Mega Altaria,LV6.5,1,4,13,520
Altaria Mega Altaria,LV6.5,1,5,12,520
Altaria Mega Altaria,LV6.5,1,6,11,520
Altaria Mega Altaria,LV6.5,1,7,10,520
Altaria Mega Altaria,LV6.5,1,10,8,520
Altaria Mega Altaria,LV6.5,1,11,7,520
Altaria Mega Altaria,LV6.5,1,12,6,520
Altaria Mega Altaria,LV6.5,1,13,5,520
Altaria Mega Altaria,LV6.5,1,15,4,520
Altaria Mega Altaria,LV6.5,2,1,14,520
Altaria Mega Altaria,LV6.5,2,2,13,520
Altaria Mega Altaria,LV6.5,2,3,12,520
Altaria Mega Altaria,LV6.5,2,4,11,520
Altaria Mega Altaria,LV6.5,2,5,10,520
Altaria Mega Altaria,LV6.5,2,8,8,520
Altaria Mega Altaria,LV6.5,2,9,7,520
Altaria Mega Altaria,LV6.5,2,10,6,520
Altaria Mega Altaria,LV6.5,2,11,5,520
Altaria Mega Altaria,LV6.5,2,14,3,520
Altaria Mega Altaria,LV6.5,2,15,2,520
Altaria Mega Altaria,LV6.5,3,0,13,520
Altaria Mega Altaria,LV6.5,3,1,12,520
Altaria Mega Altaria,LV6.5,3,2,11,520
Altaria Mega Altaria,LV6.5,3,3,10,520
Altaria Mega Altaria,LV6.5,3,6,8,520
Altaria Mega Altaria,LV6.5,3,7,7,520
Altaria Mega Altaria,LV6.5,3,8,6,520
Altaria Mega Altaria,LV6.5,3,9,5,520
Altaria Mega Altaria,LV6.5,3,12,3,520
Altaria Mega Altaria,LV6.5,3,13,2,520
Altaria Mega Altaria,LV6.5,3,14,1,520
Altaria Mega Altaria,LV6.5,4,0,11,520
Altaria Mega Altaria,LV6.5,4,1,10,520
Altaria Mega Altaria,LV6.5,4,4,8,520
Altaria Mega Altaria,LV6.5,4,5,7,520
Altaria Mega Altaria,LV6.5,4,6,6,520
Altaria Mega Altaria,LV6.5,4,7,5,520
Altaria Mega Altaria,LV6.5,4,10,3,520
Altaria Mega Altaria,LV6.5,4,11,2,520
Altaria Mega Altaria,LV6.5,4,12,1,520
Altaria Mega Altaria,LV6.5,5,2,8,520
Altaria Mega Altaria,LV6.5,5,3,7,520
Altaria Mega Altaria,LV6.5,5,4,6,520
Altaria Mega Altaria,LV6.5,5,5,5,520
Altaria Mega Altaria,LV6.5,5,8,3,520
Altaria Mega Altaria,LV6.5,5,9,2,520
Altaria Mega Altaria,LV6.5,5,10,1,520
Altaria Mega Altaria,LV6.5,5,11,0,520
Altaria Mega Altaria,LV6.5,6,0,8,520
Altaria Mega Altaria,LV6.5,6,1,7,520
Altaria Mega Altaria,LV6.5,6,2,6,520
Altaria Mega Altaria,LV6.5,6,3,5,520
Altaria Mega Altaria,LV6.5,6,6,3,520
Altaria Mega Altaria,LV6.5,6,7,2,520
Altaria Mega Altaria,LV6.5,6,8,1,520
Altaria Mega Altaria,LV6.5,6,9,0,520
Altaria Mega Altaria,LV6.5,7,0,6,520
Altaria Mega Altaria,LV6.5,7,1,5,520
Altaria Mega Altaria,LV6.5,7,4,3,520
Altaria Mega Altaria,LV6.5,7,5,2,520
Altaria Mega Altaria,LV6.5,7,6,1,520
Altaria Mega Altaria,LV6.5,7,7,0,520
Altaria Mega Altaria,LV6.5,8,1,4,520
Altaria Mega Altaria,LV6.5,8,2,3,520
Altaria Mega Altaria,LV6.5,8,3,2,520
Altaria Mega Altaria,LV6.5,8,4,1,520
Altaria Mega Altaria,LV6.5,9,0,3,520
Altaria Mega Altaria,LV6.5,9,1,2,520
Altaria Mega Altaria,LV6.5,9,2,1,520
Altaria Mega Altaria,LV6.5,10,2,0,520
Altaria Mega Altaria,LV6.5,11,0,0,520
Altaria Mega Altaria,LV6,15,15,14,520
