Name,Level,Attack_IV,Defense_IV,HP_IV,CP
Ampharos,LV7.5,0,0,2,520
Ampharos,LV7.5,0,1,0,520
Ampharos,LV7,0,15,15,520
Ampharos,LV7.5,1,0,0,520
Ampharos,LV7,1,15,13,520
Ampharos,LV7,2,12,15,520
Ampharos,LV7,2,13,14,520
Ampharos,LV7,2,14,12,520
Ampharos,LV7,2,15,11,520
Ampharos,LV7,3,10,15,520
Ampharos,LV7,3,11,14,520
Ampharos,LV7,3,12,13,520
Ampharos,LV7,3,14,10,520
Ampharos,LV7,3,15,9,520
Ampharos,LV7,4,9,14,520
Ampharos,LV7,4,10,13,520
Ampharos,LV7,4,11,12,520
Ampharos,LV7,4,12,11,520
Ampharos,LV7,4,14,8,520
Ampharos,LV7,4,15,7,520
Ampharos,LV7,5,7,15,520
Ampharos,LV7,5,8,14,520
Ampharos,LV7,5,9,12,520
Ampharos,LV7,5,10,11,520
Ampharos,LV7,5,11,10,520
Ampharos,LV7,5,12,9,520
Ampharos,LV7,5,14,6,520
Ampharos,LV7,5,15,5,520
Ampharos,LV7,6,5,15,520
Ampharos,LV7,6,6,14,520
Ampharos,LV7,6,7,13,520
Ampharos,LV7,6,9,10,520
Ampharos,LV7,6,10,9,520
Ampharos,LV7,6,11,8,520
Ampharos,LV7,6,12,7,520
Ampharos,LV7,6,14,4,520
Ampharos,LV7,6,15,3,520
Ampharos,LV7,7,4,15,520
Ampharos,LV7,7,5,13,520
Ampharos,LV7,7,6,12,520
Ampharos,LV7,7,7,11,520
Ampharos,LV7,7,9,8,520
Ampharos,LV7,7,10,7,520
Ampharos,LV7,7,11,6,520
Ampharos,LV7,7,12,5,520
Ampharos,LV7,7,13,4,520
Ampharos,LV7,7,15,1,520
Ampharos,LV7,8,2,15,520
Ampharos,LV7,8,3,14,520
Ampharos,LV7,8,5,11,520
Ampharos,LV7,8,6,10,520
Ampharos,LV7,8,7,9,520
Ampharos,LV7,8,8,8,520
Ampharos,LV7,8,9,6,520
Ampharos,LV7,8,10,5,520
Ampharos,LV7,8,11,4,520
Ampharos,LV7,8,12,3,520
Ampharos,LV7,8,13,2,520
Ampharos,LV7,9,1,14,520
Ampharos,LV7,9,2,13,520
Ampharos,LV7,9,3,12,520
Ampharos,LV7,9,5,9,520
Ampharos,LV7,9,6,8,520
Ampharos,LV7,9,7,7,520
Ampharos,LV7,9,8,6,520
Ampharos,LV7,9,10,3,520
Ampharos,LV7,9,11,2,520
Ampharos,LV7,9,12,1,520
Ampharos,LV7,9,13,0,520
Ampharos,LV7,10,0,14,520
Ampharos,LV7,10,1,12,520
Ampharos,LV7,10,2,11,520
Ampharos,LV7,10,3,10,520
Ampharos,LV7,10,4,9,520
Ampharos,LV7,10,5,7,520
Ampharos,LV7,10,6,6,520
Ampharos,LV7,10,7,5,520
Ampharos,LV7,10,8,4,520
Ampharos,LV7,10,10,1,520
Ampharos,LV7,10,11,0,520
Ampharos,LV7,11,0,12,520
Ampharos,LV7,11,2,9,520
Ampharos,LV7,11,3,8,520
Ampharos,LV7,11,4,7,520
Ampharos,LV7,11,6,4,520
Ampharos,LV7,11,7,3,520
Ampharos,LV7,11,8,2,520
Ampharos,LV7,11,9,1,520
Ampharos,LV7,12,0,10,520
Ampharos,LV7,12,2,7,520
Ampharos,LV7,12,3,6,520
Ampharos,LV7,12,4,5,520
Ampharos,LV7,12,6,2,520
Ampharos,LV7,12,7,1,520
Ampharos,LV7,12,8,0,520
Ampharos,LV7,13,0,8,520
Ampharos,LV7,13,2,5,520
Ampharos,LV7,13,3,4,520
Ampharos,LV7,13,4,3,520
Ampharos,LV7,13,5,2,520
Ampharos,LV7,14,0,6,520
Ampharos,LV7,14,1,5,520
Ampharos,LV7,14,3,2,520
Ampharos,LV7,14,4,1,520
Ampharos,LV7,14,5,0,520
Ampharos,LV7,15,0,4,520
Ampharos,LV7,15,1,3,520
Ampharos,LV7,15,3,0,520
