Name,Level,Attack_IV,Defense_IV,HP_IV,CP
Annihilape,LV6.5,0,0,6,520
Annihilape,LV6.5,0,1,5,520
Annihilape,LV6.5,0,2,4,520
Annihilape,LV6.5,0,3,2,520
Annihilape,LV6.5,0,4,1,520
Annihilape,LV6.5,0,5,0,520
Annihilape,LV6.5,1,0,4,520
Annihilape,LV6.5,1,1,3,520
Annihilape,LV6.5,1,2,1,520
Annihilape,LV6.5,1,3,0,520
Annihilape,LV6.5,2,0,2,520
Annihilape,LV6.5,2,1,1,520
Annihilape,LV6.5,3,0,0,520
Annihilape,LV6,7,15,14,520
Annihilape,LV6,8,13,15,520
Annihilape,LV6,8,14,13,520
Annihilape,LV6,8,15,12,520
Annihilape,LV6,9,11,15,520
Annihilape,LV6,9,12,14,520
Annihilape,LV6,9,13,12,520
Annihilape,LV6,9,14,11,520
Annihilape,LV6,9,15,10,520
Annihilape,LV6,10,10,14,520
Annihilape,LV6,10,11,13,520
Annihilape,LV6,10,12,12,520
Annihilape,LV6,10,13,10,520
Annihilape,LV6,10,14,9,520
Annihilape,LV6,10,15,8,520
Annihilape,LV6,11,8,15,520
Annihilape,LV6,11,9,13,520
Annihilape,LV6,11,10,12,520
Annihilape,LV6,11,11,11,520
Annihilape,LV6,11,12,9,520
Annihilape,LV6,11,13,8,520
Annihilape,LV6,11,14,7,520
Annihilape,LV6,12,6,15,520
Annihilape,LV6,12,7,14,520
Annihilape,LV6,12,8,13,520
Annihilape,LV6,12,9,11,520
Annihilape,LV6,12,10,10,520
Annihilape,LV6,12,11,9,520
Annihilape,LV6,12,12,7,520
Annihilape,LV6,12,13,6,520
Annihilape,LV6,12,14,5,520
Annihilape,LV6,12,15,3,520
Annihilape,LV6,13,5,15,520
Annihilape,LV6,13,6,13,520
Annihilape,LV6,13,7,12,520
Annihilape,LV6,13,8,10,520
Annihilape,LV6,13,9,9,520
Annihilape,LV6,13,10,8,520
Annihilape,LV6,13,11,6,520
Annihilape,LV6,13,12,5,520
Annihilape,LV6,13,13,4,520
Annihilape,LV6,13,14,3,520
Annihilape,LV6,13,15,1,520
Annihilape,LV6,14,3,15,520
Annihilape,LV6,14,4,14,520
Annihilape,LV6,14,5,12,520
Annihilape,LV6,14,6,11,520
Annihilape,LV6,14,7,10,520
Annihilape,LV6,14,8,8,520
Annihilape,LV6,14,9,7,520
Annihilape,LV6,14,10,6,520
Annihilape,LV6,14,11,4,520
Annihilape,LV6,14,12,3,520
Annihilape,LV6,14,13,2,520
Annihilape,LV6,14,14,0,520
Annihilape,LV6,15,2,14,520
Annihilape,LV6,15,3,13,520
Annihilape,LV6,15,4,12,520
Annihilape,LV6,15,5,10,520
Annihilape,LV6,15,6,9,520
Annihilape,LV6,15,8,6,520
Annihilape,LV6,15,9,5,520
Annihilape,LV6,15,11,2,520
Annihilape,LV6,15,12,1,520
Annihilape,LV6,15,13,0,520
