Name,Level,Attack_IV,Defense_IV,HP_IV,CP
Arbok,LV11,0,0,10,520
Arbok,LV11,1,0,8,520
Arbok,LV10.5,1,8,15,520
Arbok,LV11,2,0,6,520
Arbok,LV11,2,1,5,520
Arbok,LV11,2,2,4,520
Arbok,LV11,2,3,3,520
Arbok,LV11,2,4,2,520
Arbok,LV11,2,5,1,520
Arbok,LV11,2,6,0,520
Arbok,LV10.5,2,6,15,520
Arbok,LV10.5,2,7,14,520
Arbok,LV10.5,2,8,13,520
Arbok,LV10.5,2,9,12,520
Arbok,LV10.5,2,14,7,520
Arbok,LV10.5,2,15,6,520
Arbok,LV11,3,0,4,520
Arbok,LV11,3,1,3,520
Arbok,LV11,3,2,2,520
Arbok,LV11,3,3,1,520
Arbok,LV11,3,4,0,520
Arbok,LV10.5,3,4,15,520
Arbok,LV10.5,3,5,14,520
Arbok,LV10.5,3,6,13,520
Arbok,LV10.5,3,7,12,520
Arbok,LV10.5,3,8,11,520
Arbok,LV10.5,3,9,10,520
Arbok,LV10.5,3,10,9,520
Arbok,LV10.5,3,11,8,520
Arbok,LV10.5,3,12,7,520
Arbok,LV10.5,3,13,6,520
Arbok,LV10.5,3,14,5,520
Arbok,LV10.5,3,15,4,520
Arbok,LV11,4,0,2,520
Arbok,LV11,4,1,1,520
Arbok,LV11,4,2,0,520
Arbok,LV10.5,4,2,15,520
Arbok,LV10.5,4,3,14,520
Arbok,LV10.5,4,4,13,520
Arbok,LV10.5,4,5,12,520
Arbok,LV10.5,4,6,11,520
Arbok,LV10.5,4,7,10,520
Arbok,LV10.5,4,8,9,520
Arbok,LV10.5,4,9,8,520
Arbok,LV10.5,4,10,7,520
Arbok,LV10.5,4,11,6,520
Arbok,LV10.5,4,12,5,520
Arbok,LV10.5,4,13,4,520
Arbok,LV10.5,4,14,3,520
Arbok,LV10.5,4,15,2,520
Arbok,LV11,5,0,0,520
Arbok,LV10.5,5,1,14,520
Arbok,LV10.5,5,2,13,520
Arbok,LV10.5,5,3,12,520
Arbok,LV10.5,5,4,11,520
Arbok,LV10.5,5,5,10,520
Arbok,LV10.5,5,6,9,520
Arbok,LV10.5,5,7,8,520
Arbok,LV10.5,5,8,7,520
Arbok,LV10.5,5,9,6,520
Arbok,LV10.5,5,10,5,520
Arbok,LV10.5,5,11,4,520
Arbok,LV10.5,5,12,3,520
Arbok,LV10.5,5,13,2,520
Arbok,LV10.5,5,14,1,520
Arbok,LV10.5,5,15,0,520
Arbok,LV10.5,6,2,11,520
Arbok,LV10.5,6,3,10,520
Arbok,LV10.5,6,4,9,520
Arbok,LV10.5,6,5,8,520
Arbok,LV10.5,6,6,7,520
Arbok,LV10.5,6,7,6,520
Arbok,LV10.5,6,8,5,520
Arbok,LV10.5,6,9,4,520
Arbok,LV10.5,6,10,3,520
Arbok,LV10.5,6,11,2,520
Arbok,LV10.5,6,12,1,520
Arbok,LV10.5,6,13,0,520
Arbok,LV10,6,14,15,520
Arbok,LV10,6,15,14,520
Arbok,LV10.5,7,3,8,520
Arbok,LV10.5,7,4,7,520
Arbok,LV10.5,7,5,6,520
Arbok,LV10.5,7,6,5,520
Arbok,LV10.5,7,7,4,520
Arbok,LV10.5,7,8,3,520
Arbok,LV10.5,7,9,2,520
Arbok,LV10.5,7,10,1,520
Arbok,LV10,7,12,15,520
Arbok,LV10,7,13,14,520
Arbok,LV10,7,14,13,520
Arbok,LV10,7,15,12,520
Arbok,LV10,8,10,15,520
Arbok,LV10,8,11,14,520
Arbok,LV10,8,12,13,520
Arbok,LV10,8,13,12,520
Arbok,LV10,8,14,11,520
Arbok,LV10,8,15,10,520
Arbok,LV10.5,9,0,8,520
Arbok,LV10.5,10,0,6,520
Arbok,LV10.5,10,1,5,520
Arbok,LV10.5,10,2,4,520
Arbok,LV10.5,10,3,3,520
Arbok,LV10.5,10,4,2,520
Arbok,LV10.5,10,5,1,520
Arbok,LV10.5,10,6,0,520
Arbok,LV10.5,11,0,4,520
Arbok,LV10.5,11,1,3,520
Arbok,LV10.5,11,2,2,520
Arbok,LV10.5,11,3,1,520
Arbok,LV10.5,11,4,0,520
Arbok,LV10,11,5,15,520
Arbok,LV10,11,6,14,520
Arbok,LV10,11,7,13,520
Arbok,LV10,11,15,5,520
Arbok,LV10.5,12,1,1,520
Arbok,LV10.5,12,2,0,520
Arbok,LV10,12,3,15,520
Arbok,LV10,12,4,14,520
Arbok,LV10,12,5,13,520
Arbok,LV10,12,6,12,520
Arbok,LV10,12,7,11,520
Arbok,LV10,12,8,10,520
Arbok,LV10,12,9,9,520
Arbok,LV10,12,10,8,520
Arbok,LV10,12,11,7,520
Arbok,LV10,12,12,6,520
Arbok,LV10,12,13,5,520
Arbok,LV10,12,14,4,520
Arbok,LV10,12,15,3,520
Arbok,LV10,13,2,14,520
Arbok,LV10,13,3,13,520
Arbok,LV10,13,4,12,520
Arbok,LV10,13,5,11,520
Arbok,LV10,13,6,10,520
Arbok,LV10,13,7,9,520
Arbok,LV10,13,8,8,520
Arbok,LV10,13,9,7,520
Arbok,LV10,13,10,6,520
Arbok,LV10,13,11,5,520
Arbok,LV10,13,12,4,520
Arbok,LV10,13,13,3,520
Arbok,LV10,13,14,2,520
Arbok,LV10,13,15,1,520
Arbok,LV10,14,4,10,520
Arbok,LV10,14,5,9,520
Arbok,LV10,14,6,8,520
Arbok,LV10,14,7,7,520
Arbok,LV10,14,8,6,520
Arbok,LV10,14,9,5,520
Arbok,LV10,14,10,4,520
Arbok,LV10,14,11,3,520
Arbok,LV10,14,12,2,520
Arbok,LV10,15,0,13,520
Arbok,LV9.5,15,15,15,520
