Name,Level,Attack_IV,Defense_IV,HP_IV,CP
Arcanine Hisuian Form,LV6.5,0,7,15,520
Arcanine Hisuian Form,LV6.5,0,8,14,520
Arcanine Hisuian Form,LV6.5,0,10,11,520
Arcanine Hisuian Form,LV6.5,0,11,10,520
Arcanine Hisuian Form,LV6.5,0,12,9,520
Arcanine Hisuian Form,LV6.5,0,13,7,520
Arcanine Hisuian Form,LV6.5,0,14,6,520
Arcanine Hisuian Form,LV6.5,0,15,5,520
Arcanine Hisuian Form,LV6.5,1,7,13,520
Arcanine Hisuian Form,LV6.5,1,8,12,520
Arcanine Hisuian Form,LV6.5,1,10,9,520
Arcanine Hisuian Form,LV6.5,1,11,8,520
Arcanine Hisuian Form,LV6.5,1,12,7,520
Arcanine Hisuian Form,LV6.5,1,13,5,520
Arcanine Hisuian Form,LV6.5,1,14,4,520
Arcanine Hisuian Form,LV6.5,1,15,3,520
Arcanine Hisuian Form,LV6.5,2,4,15,520
Arcanine Hisuian Form,LV6.5,2,5,14,520
Arcanine Hisuian Form,LV6.5,2,7,11,520
Arcanine Hisuian Form,LV6.5,2,8,10,520
Arcanine Hisuian Form,LV6.5,2,9,9,520
Arcanine Hisuian Form,LV6.5,2,10,7,520
Arcanine Hisuian Form,LV6.5,2,11,6,520
Arcanine Hisuian Form,LV6.5,2,12,5,520
Arcanine Hisuian Form,LV6.5,2,14,2,520
Arcanine Hisuian Form,LV6.5,2,15,1,520
Arcanine Hisuian Form,LV6.5,3,3,15,520
Arcanine Hisuian Form,LV6.5,3,4,13,520
Arcanine Hisuian Form,LV6.5,3,5,12,520
Arcanine Hisuian Form,LV6.5,3,6,11,520
Arcanine Hisuian Form,LV6.5,3,7,9,520
Arcanine Hisuian Form,LV6.5,3,8,8,520
Arcanine Hisuian Form,LV6.5,3,9,7,520
Arcanine Hisuian Form,LV6.5,3,10,5,520
Arcanine Hisuian Form,LV6.5,3,11,4,520
Arcanine Hisuian Form,LV6.5,3,12,3,520
Arcanine Hisuian Form,LV6.5,3,13,2,520
Arcanine Hisuian Form,LV6.5,4,1,15,520
Arcanine Hisuian Form,LV6.5,4,2,14,520
Arcanine Hisuian Form,LV6.5,4,3,13,520
Arcanine Hisuian Form,LV6.5,4,4,11,520
Arcanine Hisuian Form,LV6.5,4,5,10,520
Arcanine Hisuian Form,LV6.5,4,6,9,520
Arcanine Hisuian Form,LV6.5,4,7,7,520
Arcanine Hisuian Form,LV6.5,4,8,6,520
Arcanine Hisuian Form,LV6.5,4,9,5,520
Arcanine Hisuian Form,LV6.5,4,11,2,520
Arcanine Hisuian Form,LV6.5,4,12,1,520
Arcanine Hisuian Form,LV6.5,4,13,0,520
Arcanine Hisuian Form,LV6.5,5,0,15,520
Arcanine Hisuian Form,LV6.5,5,2,12,520
Arcanine Hisuian Form,LV6.5,5,3,11,520
Arcanine Hisuian Form,LV6.5,5,4,9,520
Arcanine Hisuian Form,LV6.5,5,5,8,520
Arcanine Hisuian Form,LV6.5,5,6,7,520
Arcanine Hisuian Form,LV6.5,5,8,4,520
Arcanine Hisuian Form,LV6.5,5,9,3,520
Arcanine Hisuian Form,LV6.5,5,10,2,520
Arcanine Hisuian Form,LV6.5,6,0,13,520
Arcanine Hisuian Form,LV6.5,6,2,10,520
Arcanine Hisuian Form,LV6.5,6,3,9,520
Arcanine Hisuian Form,LV6.5,6,5,6,520
Arcanine Hisuian Form,LV6.5,6,6,5,520
Arcanine Hisuian Form,LV6.5,6,7,4,520
Arcanine Hisuian Form,LV6.5,6,8,2,520
Arcanine Hisuian Form,LV6.5,6,9,1,520
Arcanine Hisuian Form,LV6.5,6,10,0,520
Arcanine Hisuian Form,LV6.5,7,0,11,520
Arcanine Hisuian Form,LV6.5,7,1,10,520
Arcanine Hisuian Form,LV6.5,7,2,8,520
Arcanine Hisuian Form,LV6.5,7,3,7,520
Arcanine Hisuian Form,LV6.5,7,4,6,520
Arcanine Hisuian Form,LV6.5,7,5,4,520
Arcanine Hisuian Form,LV6.5,7,6,3,520
Arcanine Hisuian Form,LV6.5,7,7,2,520
Arcanine Hisuian Form,LV6.5,8,0,9,520
Arcanine Hisuian Form,LV6.5,8,1,8,520
Arcanine Hisuian Form,LV6.5,8,3,5,520
Arcanine Hisuian Form,LV6.5,8,4,4,520
Arcanine Hisuian Form,LV6.5,8,6,1,520
Arcanine Hisuian Form,LV6.5,8,7,0,520
Arcanine Hisuian Form,LV6.5,9,0,7,520
Arcanine Hisuian Form,LV6.5,9,1,6,520
Arcanine Hisuian Form,LV6.5,9,2,5,520
Arcanine Hisuian Form,LV6.5,9,3,3,520
Arcanine Hisuian Form,LV6.5,9,4,2,520
Arcanine Hisuian Form,LV6.5,9,5,1,520
Arcanine Hisuian Form,LV6.5,10,1,4,520
Arcanine Hisuian Form,LV6.5,10,2,3,520
Arcanine Hisuian Form,LV6.5,10,4,0,520
Arcanine Hisuian Form,LV6.5,11,0,4,520
Arcanine Hisuian Form,LV6.5,11,1,2,520
Arcanine Hisuian Form,LV6.5,11,2,1,520
Arcanine Hisuian Form,LV6.5,11,3,0,520
Arcanine Hisuian Form,LV6.5,12,0,2,520
Arcanine Hisuian Form,LV6.5,13,0,0,520
