Name,Level,Attack_IV,Defense_IV,HP_IV,CP
Archen,LV12,0,0,0,520
Archen,LV11.5,0,0,13,520
Archen,LV11.5,0,2,10,520
Archen,LV11.5,0,3,8,520
Archen,LV11.5,0,5,5,520
Archen,LV11.5,0,6,3,520
Archen,LV11.5,0,8,0,520
Archen,LV11,0,9,12,520
Archen,LV11,0,11,9,520
Archen,LV11,0,13,6,520
Archen,LV11,0,15,3,520
Archen,LV11.5,1,0,12,520
Archen,LV11.5,1,1,10,520
Archen,LV11.5,1,2,8,520
Archen,LV11.5,1,4,5,520
Archen,LV11.5,1,6,2,520
Archen,LV11.5,1,7,0,520
Archen,LV11,1,7,14,520
Archen,LV11,1,8,12,520
Archen,LV11,1,10,9,520
Archen,LV11,1,12,6,520
Archen,LV11,1,14,3,520
Archen,LV11.5,2,0,10,520
Archen,LV11.5,2,2,7,520
Archen,LV11.5,2,3,5,520
Archen,LV11.5,2,5,2,520
Archen,LV11,2,6,14,520
Archen,LV11,2,8,11,520
Archen,LV11,2,9,9,520
Archen,LV11,2,11,6,520
Archen,LV11,2,13,3,520
Archen,LV11,2,15,0,520
Archen,LV11.5,3,0,9,520
Archen,LV11.5,3,1,7,520
Archen,LV11.5,3,3,4,520
Archen,LV11.5,3,4,2,520
Archen,LV11,3,5,14,520
Archen,LV11,3,7,11,520
Archen,LV11,3,8,9,520
Archen,LV11,3,10,6,520
Archen,LV11,3,12,3,520
Archen,LV11,3,14,0,520
Archen,LV10.5,3,15,13,520
Archen,LV11.5,4,1,6,520
Archen,LV11.5,4,2,4,520
Archen,LV11.5,4,4,1,520
Archen,LV11,4,5,13,520
Archen,LV11,4,6,11,520
Archen,LV11,4,8,8,520
Archen,LV11,4,9,6,520
Archen,LV11,4,10,5,520
Archen,LV11,4,11,3,520
Archen,LV11,4,12,2,520
Archen,LV10.5,4,14,13,520
Archen,LV11.5,5,0,6,520
Archen,LV11.5,5,3,1,520
Archen,LV11,5,3,15,520
Archen,LV11,5,4,13,520
Archen,LV11,5,7,8,520
Archen,LV11,5,9,5,520
Archen,LV11,5,11,2,520
Archen,LV10.5,5,13,13,520
Archen,LV10.5,5,15,10,520
Archen,LV11.5,6,1,3,520
Archen,LV11,6,2,15,520
Archen,LV11.5,6,3,0,520
Archen,LV11,6,3,13,520
Archen,LV11,6,5,10,520
Archen,LV11,6,6,8,520
Archen,LV11,6,8,5,520
Archen,LV11,6,10,2,520
Archen,LV10.5,6,11,15,520
Archen,LV10.5,6,12,13,520
Archen,LV10.5,6,14,10,520
Archen,LV11.5,7,0,3,520
Archen,LV11.5,7,2,0,520
Archen,LV11,7,3,12,520
Archen,LV11,7,4,10,520
Archen,LV11,7,6,7,520
Archen,LV11,7,7,5,520
Archen,LV11,7,9,2,520
Archen,LV10.5,7,10,15,520
Archen,LV10.5,7,12,12,520
Archen,LV10.5,7,13,10,520
Archen,LV10.5,7,14,9,520
Archen,LV10.5,7,15,7,520
Archen,LV11.5,8,0,2,520
Archen,LV11,8,1,14,520
Archen,LV11,8,2,12,520
Archen,LV11,8,4,9,520
Archen,LV11,8,5,7,520
Archen,LV11,8,7,4,520
Archen,LV11,8,9,1,520
Archen,LV10.5,8,9,15,520
Archen,LV10.5,8,11,12,520
Archen,LV10.5,8,13,9,520
Archen,LV10.5,8,15,6,520
Archen,LV11,9,0,14,520
Archen,LV11,9,3,9,520
Archen,LV11,9,6,4,520
Archen,LV11,9,8,1,520
Archen,LV10.5,9,10,12,520
Archen,LV10.5,9,12,9,520
Archen,LV10.5,9,14,6,520
Archen,LV11,10,0,13,520
Archen,LV11,10,1,11,520
Archen,LV11,10,2,9,520
Archen,LV11,10,4,6,520
Archen,LV11,10,6,3,520
Archen,LV11,10,7,1,520
Archen,LV10.5,10,8,14,520
Archen,LV10.5,10,9,12,520
Archen,LV10.5,10,11,9,520
Archen,LV10.5,10,13,6,520
Archen,LV10.5,10,15,3,520
Archen,LV11,11,2,8,520
Archen,LV11,11,3,6,520
Archen,LV11,11,5,3,520
Archen,LV11,11,7,0,520
Archen,LV10.5,11,7,14,520
Archen,LV10.5,11,9,11,520
Archen,LV10.5,11,10,9,520
Archen,LV10.5,11,11,8,520
Archen,LV10.5,11,12,6,520
Archen,LV10.5,11,14,3,520
Archen,LV10.5,11,15,2,520
Archen,LV11,12,0,10,520
Archen,LV11,12,1,8,520
Archen,LV11,12,3,5,520
Archen,LV11,12,4,3,520
Archen,LV11,12,6,0,520
Archen,LV10.5,12,8,11,520
Archen,LV10.5,12,10,8,520
Archen,LV10.5,12,12,5,520
Archen,LV10.5,12,14,2,520
Archen,LV11,13,1,7,520
Archen,LV11,13,2,5,520
Archen,LV11,13,4,2,520
Archen,LV10.5,13,6,13,520
Archen,LV10.5,13,7,11,520
Archen,LV10.5,13,9,8,520
Archen,LV10.5,13,11,5,520
Archen,LV10.5,13,13,2,520
Archen,LV10,13,15,14,520
Archen,LV11,14,0,7,520
Archen,LV11,14,2,4,520
Archen,LV11,14,3,2,520
Archen,LV10.5,14,4,15,520
Archen,LV10.5,14,5,13,520
Archen,LV10.5,14,7,10,520
Archen,LV10.5,14,9,7,520
Archen,LV10.5,14,10,5,520
Archen,LV10.5,14,12,2,520
Archen,LV10.5,14,13,1,520
Archen,LV10,14,14,14,520
Archen,LV11,15,0,6,520
Archen,LV11,15,1,4,520
Archen,LV11,15,3,1,520
Archen,LV10.5,15,3,15,520
Archen,LV10.5,15,5,12,520
Archen,LV10.5,15,6,10,520
Archen,LV10.5,15,8,7,520
Archen,LV10.5,15,10,4,520
Archen,LV10.5,15,12,1,520
Archen,LV10,15,14,13,520
Archen,LV10,15,15,11,520
