Name,Level,Attack_IV,Defense_IV,HP_IV,CP
Aromatisse,LV9,0,0,11,520
Aromatisse,LV9,0,1,9,520
Aromatisse,LV9,0,2,8,520
Aromatisse,LV9,0,3,6,520
Aromatisse,LV9,0,4,5,520
Aromatisse,LV9,0,5,3,520
Aromatisse,LV9,0,6,2,520
Aromatisse,LV9,0,7,0,520
Aromatisse,LV9,1,0,8,520
Aromatisse,LV9,1,2,5,520
Aromatisse,LV9,1,4,2,520
Aromatisse,LV8.5,1,15,14,520
Aromatisse,LV9,2,0,5,520
Aromatisse,LV9,2,1,4,520
Aromatisse,LV9,2,2,2,520
Aromatisse,LV9,2,3,1,520
Aromatisse,LV8.5,2,14,13,520
Aromatisse,LV8.5,2,15,12,520
Aromatisse,LV9,3,0,3,520
Aromatisse,LV9,3,1,1,520
Aromatisse,LV9,3,2,0,520
Aromatisse,LV8.5,3,11,15,520
Aromatisse,LV8.5,3,12,13,520
Aromatisse,LV8.5,3,13,12,520
Aromatisse,LV8.5,3,14,10,520
Aromatisse,LV8.5,3,15,9,520
Aromatisse,LV9,4,0,0,520
Aromatisse,LV8.5,4,9,15,520
Aromatisse,LV8.5,4,11,12,520
Aromatisse,LV8.5,4,13,9,520
Aromatisse,LV8.5,4,14,8,520
Aromatisse,LV8.5,4,15,6,520
Aromatisse,LV8.5,5,7,15,520
Aromatisse,LV8.5,5,8,14,520
Aromatisse,LV8.5,5,9,12,520
Aromatisse,LV8.5,5,10,11,520
Aromatisse,LV8.5,5,11,9,520
Aromatisse,LV8.5,5,12,8,520
Aromatisse,LV8.5,5,13,6,520
Aromatisse,LV8.5,5,14,5,520
Aromatisse,LV8.5,5,15,4,520
Aromatisse,LV8.5,6,6,14,520
Aromatisse,LV8.5,6,7,13,520
Aromatisse,LV8.5,6,8,11,520
Aromatisse,LV8.5,6,9,10,520
Aromatisse,LV8.5,6,10,8,520
Aromatisse,LV8.5,6,11,7,520
Aromatisse,LV8.5,6,12,5,520
Aromatisse,LV8.5,6,13,4,520
Aromatisse,LV8.5,6,15,1,520
Aromatisse,LV8.5,7,4,15,520
Aromatisse,LV8.5,7,5,13,520
Aromatisse,LV8.5,7,7,10,520
Aromatisse,LV8.5,7,9,7,520
Aromatisse,LV8.5,7,10,6,520
Aromatisse,LV8.5,7,11,4,520
Aromatisse,LV8.5,7,12,3,520
Aromatisse,LV8.5,7,13,1,520
Aromatisse,LV8.5,7,14,0,520
Aromatisse,LV8.5,8,2,15,520
Aromatisse,LV8.5,8,4,12,520
Aromatisse,LV8.5,8,5,10,520
Aromatisse,LV8.5,8,6,9,520
Aromatisse,LV8.5,8,7,7,520
Aromatisse,LV8.5,8,8,6,520
Aromatisse,LV8.5,8,10,3,520
Aromatisse,LV8.5,8,11,2,520
Aromatisse,LV8.5,8,12,0,520
Aromatisse,LV8.5,9,1,14,520
Aromatisse,LV8.5,9,2,12,520
Aromatisse,LV8.5,9,3,11,520
Aromatisse,LV8.5,9,4,9,520
Aromatisse,LV8.5,9,5,8,520
Aromatisse,LV8.5,9,6,6,520
Aromatisse,LV8.5,9,7,5,520
Aromatisse,LV8.5,9,8,3,520
Aromatisse,LV8.5,9,9,2,520
Aromatisse,LV8.5,10,0,13,520
Aromatisse,LV8.5,10,1,11,520
Aromatisse,LV8.5,10,2,10,520
Aromatisse,LV8.5,10,3,8,520
Aromatisse,LV8.5,10,4,7,520
Aromatisse,LV8.5,10,5,5,520
Aromatisse,LV8.5,10,6,4,520
Aromatisse,LV8.5,10,7,2,520
Aromatisse,LV8.5,10,8,1,520
Aromatisse,LV8.5,11,0,10,520
Aromatisse,LV8.5,11,1,9,520
Aromatisse,LV8.5,11,2,7,520
Aromatisse,LV8.5,11,3,6,520
Aromatisse,LV8.5,11,4,4,520
Aromatisse,LV8.5,11,5,3,520
Aromatisse,LV8.5,11,6,1,520
Aromatisse,LV8.5,11,7,0,520
Aromatisse,LV8.5,12,0,8,520
Aromatisse,LV8.5,12,1,6,520
Aromatisse,LV8.5,12,2,5,520
Aromatisse,LV8.5,12,3,3,520
Aromatisse,LV8.5,12,4,2,520
Aromatisse,LV8.5,12,5,0,520
Aromatisse,LV8.5,13,0,5,520
Aromatisse,LV8.5,13,1,4,520
Aromatisse,LV8.5,13,2,2,520
Aromatisse,LV8.5,13,3,1,520
Aromatisse,LV8,13,14,15,520
Aromatisse,LV8,13,15,13,520
Aromatisse,LV8.5,14,0,3,520
Aromatisse,LV8.5,14,1,1,520
Aromatisse,LV8.5,14,2,0,520
Aromatisse,LV8,14,12,15,520
Aromatisse,LV8,14,13,14,520
Aromatisse,LV8,14,14,12,520
Aromatisse,LV8,14,15,11,520
Aromatisse,LV8.5,15,0,0,520
Aromatisse,LV8,15,11,14,520
Aromatisse,LV8,15,12,13,520
Aromatisse,LV8,15,13,11,520
Aromatisse,LV8,15,14,10,520
Aromatisse,LV8,15,15,8,520
