Name,Level,Attack_IV,Defense_IV,HP_IV,CP
Audino,LV13,0,0,8,520
Audino,LV13,0,1,6,520
Audino,LV13,0,2,5,520
Audino,LV13,0,3,3,520
Audino,LV13,0,4,2,520
Audino,LV12.5,0,8,15,520
Audino,LV12.5,0,10,12,520
Audino,LV12.5,0,11,11,520
Audino,LV12.5,0,12,9,520
Audino,LV12.5,0,13,8,520
Audino,LV12.5,0,14,7,520
Audino,LV12.5,0,15,5,520
Audino,LV13,1,1,2,520
Audino,LV13,1,2,1,520
Audino,LV12.5,1,5,15,520
Audino,LV12.5,1,7,12,520
Audino,LV12.5,1,8,11,520
Audino,LV12.5,1,9,9,520
Audino,LV12.5,1,10,8,520
Audino,LV12.5,1,12,5,520
Audino,LV12.5,1,13,4,520
Audino,LV12.5,1,15,1,520
Audino,LV12.5,2,2,15,520
Audino,LV12.5,2,3,14,520
Audino,LV12.5,2,4,12,520
Audino,LV12.5,2,5,11,520
Audino,LV12.5,2,6,9,520
Audino,LV12.5,2,7,8,520
Audino,LV12.5,2,8,7,520
Audino,LV12.5,2,9,5,520
Audino,LV12.5,2,10,4,520
Audino,LV12.5,2,12,1,520
Audino,LV12.5,2,13,0,520
Audino,LV12.5,3,0,14,520
Audino,LV12.5,3,1,12,520
Audino,LV12.5,3,2,11,520
Audino,LV12.5,3,4,8,520
Audino,LV12.5,3,5,7,520
Audino,LV12.5,3,6,5,520
Audino,LV12.5,3,7,4,520
Audino,LV12.5,3,9,1,520
Audino,LV12.5,3,10,0,520
Audino,LV12,3,13,15,520
Audino,LV12,3,14,14,520
Audino,LV12,3,15,12,520
Audino,LV12.5,4,0,10,520
Audino,LV12.5,4,1,8,520
Audino,LV12.5,4,2,7,520
Audino,LV12.5,4,4,4,520
Audino,LV12.5,4,5,3,520
Audino,LV12.5,4,6,1,520
Audino,LV12.5,4,7,0,520
Audino,LV12,4,10,15,520
Audino,LV12,4,11,14,520
Audino,LV12,4,12,12,520
Audino,LV12,4,13,11,520
Audino,LV12,4,14,10,520
Audino,LV12,4,15,8,520
Audino,LV12.5,5,0,6,520
Audino,LV12.5,5,1,4,520
Audino,LV12.5,5,2,3,520
Audino,LV12.5,5,4,0,520
Audino,LV12,5,7,15,520
Audino,LV12,5,8,14,520
Audino,LV12,5,10,11,520
Audino,LV12,5,11,10,520
Audino,LV12,5,12,8,520
Audino,LV12,5,13,7,520
Audino,LV12,5,14,6,520
Audino,LV12,5,15,4,520
Audino,LV12.5,6,0,2,520
Audino,LV12,6,5,14,520
Audino,LV12,6,6,13,520
Audino,LV12,6,7,11,520
Audino,LV12,6,8,10,520
Audino,LV12,6,9,8,520
Audino,LV12,6,10,7,520
Audino,LV12,6,11,6,520
Audino,LV12,6,12,4,520
Audino,LV12,6,13,3,520
Audino,LV12,6,14,2,520
Audino,LV12,6,15,0,520
Audino,LV12,7,2,14,520
Audino,LV12,7,3,13,520
Audino,LV12,7,4,12,520
Audino,LV12,7,5,10,520
Audino,LV12,7,6,9,520
Audino,LV12,7,7,7,520
Audino,LV12,7,8,6,520
Audino,LV12,7,10,3,520
Audino,LV12,7,11,2,520
Audino,LV12,8,0,13,520
Audino,LV12,8,1,12,520
Audino,LV12,8,3,9,520
Audino,LV12,8,4,8,520
Audino,LV12,8,5,6,520
Audino,LV12,8,6,5,520
Audino,LV12,8,7,3,520
Audino,LV12,8,8,2,520
Audino,LV12,8,9,1,520
Audino,LV11.5,8,13,15,520
Audino,LV11.5,8,14,14,520
Audino,LV11.5,8,15,13,520
Audino,LV12,9,1,8,520
Audino,LV12,9,2,7,520
Audino,LV12,9,3,5,520
Audino,LV12,9,4,4,520
Audino,LV12,9,5,2,520
Audino,LV12,9,6,1,520
Audino,LV12,9,7,0,520
Audino,LV11.5,9,11,14,520
Audino,LV11.5,9,12,13,520
Audino,LV11.5,9,14,10,520
Audino,LV11.5,9,15,9,520
Audino,LV12,10,0,6,520
Audino,LV12,10,1,4,520
Audino,LV12,10,2,3,520
Audino,LV12,10,3,1,520
Audino,LV12,10,4,0,520
Audino,LV11.5,10,8,15,520
Audino,LV11.5,10,9,13,520
Audino,LV11.5,10,10,12,520
Audino,LV11.5,10,11,10,520
Audino,LV11.5,10,12,9,520
Audino,LV11.5,10,13,8,520
Audino,LV11.5,10,14,6,520
Audino,LV11.5,10,15,5,520
Audino,LV12,11,0,2,520
Audino,LV11.5,11,5,15,520
Audino,LV11.5,11,7,12,520
Audino,LV11.5,11,8,11,520
Audino,LV11.5,11,9,9,520
Audino,LV11.5,11,10,8,520
Audino,LV11.5,11,12,5,520
Audino,LV11.5,11,13,4,520
Audino,LV11.5,11,15,1,520
Audino,LV11.5,12,2,15,520
Audino,LV11.5,12,3,14,520
Audino,LV11.5,12,5,11,520
Audino,LV11.5,12,6,10,520
Audino,LV11.5,12,7,8,520
Audino,LV11.5,12,8,7,520
Audino,LV11.5,12,10,4,520
Audino,LV11.5,12,11,3,520
Audino,LV11.5,12,12,1,520
Audino,LV11.5,12,13,0,520
Audino,LV11.5,13,0,15,520
Audino,LV11.5,13,1,13,520
Audino,LV11.5,13,2,12,520
Audino,LV11.5,13,3,10,520
Audino,LV11.5,13,4,9,520
Audino,LV11.5,13,5,7,520
Audino,LV11.5,13,6,6,520
Audino,LV11.5,13,8,3,520
Audino,LV11.5,13,9,2,520
Audino,LV11,13,15,15,520
Audino,LV11.5,14,0,11,520
Audino,LV11.5,14,1,9,520
Audino,LV11.5,14,2,8,520
Audino,LV11.5,14,3,6,520
Audino,LV11.5,14,4,5,520
Audino,LV11.5,14,5,4,520
Audino,LV11.5,14,6,2,520
Audino,LV11.5,14,7,1,520
Audino,LV11,14,12,15,520
Audino,LV11,14,13,14,520
Audino,LV11,14,14,12,520
Audino,LV11,14,15,11,520
Audino,LV11.5,15,0,7,520
Audino,LV11.5,15,1,6,520
Audino,LV11.5,15,2,4,520
Audino,LV11.5,15,3,3,520
Audino,LV11.5,15,4,1,520
Audino,LV11.5,15,5,0,520
Audino,LV11,15,10,14,520
Audino,LV11,15,11,13,520
Audino,LV11,15,12,11,520
Audino,LV11,15,13,10,520
Audino,LV11,15,14,9,520
Audino,LV11,15,15,7,520
