Name,Level,Attack_IV,Defense_IV,HP_IV,CP
Azumarill,LV14,0,0,3,520
Azumarill,LV14,0,1,1,520
Azumarill,LV14,0,2,0,520
Azumarill,LV13.5,0,3,15,520
Azumarill,LV13.5,0,5,12,520
Azumarill,LV13.5,0,7,9,520
Azumarill,LV13.5,0,9,6,520
Azumarill,LV13.5,0,10,5,520
Azumarill,LV13.5,0,11,3,520
Azumarill,LV13.5,0,12,2,520
Azumarill,LV13,0,15,15,520
Azumarill,LV13.5,1,0,15,520
Azumarill,LV13.5,1,1,14,520
Azumarill,LV13.5,1,2,12,520
Azumarill,LV13.5,1,3,11,520
Azumarill,LV13.5,1,4,9,520
Azumarill,LV13.5,1,5,8,520
Azumarill,LV13.5,1,6,6,520
Azumarill,LV13.5,1,7,5,520
Azumarill,LV13.5,1,8,3,520
Azumarill,LV13.5,1,9,2,520
Azumarill,LV13.5,1,10,1,520
Azumarill,LV13,1,12,15,520
Azumarill,LV13,1,13,14,520
Azumarill,LV13,1,14,12,520
Azumarill,LV13,1,15,11,520
Azumarill,LV13.5,2,0,11,520
Azumarill,LV13.5,2,1,10,520
Azumarill,LV13.5,2,2,8,520
Azumarill,LV13.5,2,3,7,520
Azumarill,LV13.5,2,4,5,520
Azumarill,LV13.5,2,5,4,520
Azumarill,LV13.5,2,6,2,520
Azumarill,LV13.5,2,7,1,520
Azumarill,LV13,2,10,14,520
Azumarill,LV13,2,11,13,520
Azumarill,LV13,2,12,11,520
Azumarill,LV13,2,13,10,520
Azumarill,LV13,2,14,8,520
Azumarill,LV13,2,15,7,520
Azumarill,LV13.5,3,0,7,520
Azumarill,LV13.5,3,1,6,520
Azumarill,LV13.5,3,2,4,520
Azumarill,LV13.5,3,3,3,520
Azumarill,LV13.5,3,4,1,520
Azumarill,LV13.5,3,5,0,520
Azumarill,LV13,3,7,14,520
Azumarill,LV13,3,8,13,520
Azumarill,LV13,3,9,11,520
Azumarill,LV13,3,10,10,520
Azumarill,LV13,3,12,7,520
Azumarill,LV13,3,13,6,520
Azumarill,LV13,3,14,4,520
Azumarill,LV13,3,15,3,520
Azumarill,LV13.5,4,0,3,520
Azumarill,LV13.5,4,1,2,520
Azumarill,LV13.5,4,2,0,520
Azumarill,LV13,4,4,15,520
Azumarill,LV13,4,5,13,520
Azumarill,LV13,4,6,12,520
