Name,Level,Attack_IV,Defense_IV,HP_IV,CP
Barboach,LV29.5,0,0,1,520
Barboach,LV29,0,1,4,520
Barboach,LV28.5,0,1,9,520
Barboach,LV28,0,1,14,520
Barboach,LV29,0,2,2,520
Barboach,LV28.5,0,2,7,520
Barboach,LV28.5,0,4,4,520
Barboach,LV28,0,4,9,520
Barboach,LV27.5,0,4,14,520
Barboach,LV28.5,0,5,2,520
Barboach,LV28,0,5,7,520
Barboach,LV27.5,0,6,11,520
Barboach,LV28,0,7,4,520
Barboach,LV27.5,0,7,9,520
Barboach,LV27,0,8,13,520
Barboach,LV28,0,9,1,520
Barboach,LV27.5,0,9,6,520
Barboach,LV27,0,9,11,520
Barboach,LV26.5,0,10,15,520
Barboach,LV27.5,0,11,3,520
Barboach,LV27,0,11,8,520
Barboach,LV26.5,0,12,12,520
Barboach,LV27.5,0,13,0,520
Barboach,LV27,0,13,5,520
Barboach,LV26.5,0,14,9,520
Barboach,LV27,0,15,2,520
Barboach,LV26,0,15,13,520
Barboach,LV28,1,0,13,520
Barboach,LV29,1,1,1,520
Barboach,LV28.5,1,1,6,520
Barboach,LV28,1,1,11,520
Barboach,LV28.5,1,2,4,520
Barboach,LV28,1,2,9,520
Barboach,LV27.5,1,3,13,520
Barboach,LV28.5,1,4,1,520
Barboach,LV28,1,4,6,520
Barboach,LV27.5,1,4,11,520
Barboach,LV28,1,5,4,520
Barboach,LV27,1,5,15,520
Barboach,LV27,1,6,13,520
Barboach,LV28,1,7,1,520
Barboach,LV27.5,1,7,6,520
Barboach,LV27,1,8,10,520
Barboach,LV27.5,1,9,3,520
Barboach,LV27,1,9,8,520
Barboach,LV26.5,1,10,12,520
Barboach,LV27.5,1,11,0,520
Barboach,LV27,1,11,5,520
Barboach,LV26.5,1,12,9,520
Barboach,LV27,1,13,2,520
Barboach,LV26,1,13,13,520
Barboach,LV26.5,1,14,6,520
Barboach,LV26,1,15,10,520
Barboach,LV27.5,2,0,15,520
Barboach,LV28.5,2,1,3,520
Barboach,LV28,2,1,8,520
Barboach,LV27.5,2,1,13,520
Barboach,LV28.5,2,2,1,520
Barboach,LV28,2,2,6,520
Barboach,LV27,2,3,15,520
Barboach,LV28,2,4,3,520
Barboach,LV27.5,2,4,8,520
Barboach,LV28,2,5,1,520
Barboach,LV27.5,2,5,6,520
Barboach,LV27,2,6,10,520
Barboach,LV27.5,2,7,3,520
Barboach,LV26.5,2,7,14,520
Barboach,LV26.5,2,8,12,520
Barboach,LV27.5,2,9,0,520
Barboach,LV27,2,9,5,520
Barboach,LV26.5,2,10,9,520
Barboach,LV27,2,11,2,520
Barboach,LV26,2,11,13,520
Barboach,LV26.5,2,12,6,520
Barboach,LV26,2,13,10,520
Barboach,LV26.5,2,14,3,520
Barboach,LV26,2,14,8,520
Barboach,LV25.5,2,14,14,520
Barboach,LV26,2,15,7,520
Barboach,LV27.5,3,0,12,520
Barboach,LV28.5,3,1,0,520
Barboach,LV28,3,1,5,520
Barboach,LV27.5,3,1,10,520
Barboach,LV28,3,2,3,520
Barboach,LV27,3,2,14,520
Barboach,LV27,3,3,12,520
Barboach,LV28,3,4,0,520
Barboach,LV27.5,3,4,5,520
Barboach,LV27,3,4,10,520
Barboach,LV26.5,3,5,14,520
Barboach,LV27,3,6,7,520
Barboach,LV27.5,3,7,0,520
Barboach,LV27,3,7,5,520
Barboach,LV26.5,3,8,9,520
Barboach,LV26,3,8,15,520
Barboach,LV27,3,9,2,520
Barboach,LV26,3,9,13,520
Barboach,LV26.5,3,10,6,520
Barboach,LV26,3,11,10,520
Barboach,LV26.5,3,12,3,520
Barboach,LV26,3,12,8,520
Barboach,LV25.5,3,12,14,520
Barboach,LV26,3,13,7,520
Barboach,LV26.5,3,14,0,520
Barboach,LV26,3,14,5,520
Barboach,LV25.5,3,14,11,520
Barboach,LV26,3,15,4,520
Barboach,LV25,3,15,15,520
Barboach,LV27.5,4,0,9,520
Barboach,LV27,4,0,14,520
Barboach,LV28,4,1,2,520
Barboach,LV27.5,4,1,7,520
Barboach,LV27,4,3,9,520
Barboach,LV27.5,4,4,2,520
Barboach,LV27,4,4,7,520
Barboach,LV26.5,4,5,11,520
Barboach,LV27,4,6,4,520
Barboach,LV26,4,6,15,520
Barboach,LV26,4,7,13,520
Barboach,LV27,4,8,1,520
Barboach,LV26.5,4,8,6,520
Barboach,LV26,4,9,10,520
Barboach,LV26.5,4,10,3,520
Barboach,LV25.5,4,10,14,520
Barboach,LV26,4,11,7,520
Barboach,LV26.5,4,12,0,520
Barboach,LV25.5,4,12,11,520
Barboach,LV26,4,13,4,520
Barboach,LV25,4,13,15,520
Barboach,LV25.5,4,14,8,520
Barboach,LV26,4,15,1,520
Barboach,LV25,4,15,12,520
Barboach,LV28,5,0,1,520
Barboach,LV27.5,5,0,6,520
Barboach,LV27,5,0,11,520
Barboach,LV27.5,5,1,4,520
Barboach,LV26.5,5,1,15,520
Barboach,LV26.5,5,2,13,520
Barboach,LV27.5,5,3,1,520
Barboach,LV27,5,3,6,520
Barboach,LV26.5,5,5,8,520
Barboach,LV27,5,6,1,520
Barboach,LV26,5,6,12,520
Barboach,LV26,5,7,10,520
Barboach,LV26.5,5,8,3,520
Barboach,LV26,5,9,7,520
Barboach,LV26.5,5,10,0,520
Barboach,LV25.5,5,10,11,520
Barboach,LV26,5,11,4,520
Barboach,LV25.5,5,12,8,520
