Name,Level,Attack_IV,Defense_IV,HP_IV,CP
Beedrill Mega Beedrill,LV6,0,8,15,520
Beedrill Mega Beedrill,LV6,0,9,14,520
Beedrill Mega Beedrill,LV6,0,10,13,520
Beedrill Mega Beedrill,LV6,0,15,7,520
Beedrill Mega Beedrill,LV6,1,7,15,520
Beedrill Mega Beedrill,LV6,1,8,14,520
Beedrill Mega Beedrill,LV6,1,9,13,520
Beedrill Mega Beedrill,LV6,1,13,8,520
Beedrill Mega Beedrill,LV6,1,14,7,520
Beedrill Mega Beedrill,LV6,1,15,6,520
Beedrill Mega Beedrill,LV6,2,6,15,520
Beedrill Mega Beedrill,LV6,2,7,14,520
Beedrill Mega Beedrill,LV6,2,11,9,520
Beedrill Mega Beedrill,LV6,2,12,8,520
Beedrill Mega Beedrill,LV6,2,13,7,520
Beedrill Mega Beedrill,LV6,2,14,6,520
Beedrill Mega Beedrill,LV6,2,15,5,520
Beedrill Mega Beedrill,LV6,3,5,15,520
Beedrill Mega Beedrill,LV6,3,6,14,520
Beedrill Mega Beedrill,LV6,3,10,9,520
Beedrill Mega Beedrill,LV6,3,11,8,520
Beedrill Mega Beedrill,LV6,3,12,7,520
Beedrill Mega Beedrill,LV6,3,13,6,520
Beedrill Mega Beedrill,LV6,3,14,5,520
Beedrill Mega Beedrill,LV6,3,15,4,520
Beedrill Mega Beedrill,LV6,4,4,15,520
Beedrill Mega Beedrill,LV6,4,5,14,520
Beedrill Mega Beedrill,LV6,4,9,9,520
Beedrill Mega Beedrill,LV6,4,10,8,520
Beedrill Mega Beedrill,LV6,4,11,7,520
Beedrill Mega Beedrill,LV6,4,12,6,520
Beedrill Mega Beedrill,LV6,4,13,5,520
Beedrill Mega Beedrill,LV6,4,14,4,520
Beedrill Mega Beedrill,LV6,4,15,3,520
Beedrill Mega Beedrill,LV6,5,3,15,520
Beedrill Mega Beedrill,LV6,5,4,14,520
Beedrill Mega Beedrill,LV6,5,8,9,520
Beedrill Mega Beedrill,LV6,5,9,8,520
Beedrill Mega Beedrill,LV6,5,10,7,520
Beedrill Mega Beedrill,LV6,5,11,6,520
Beedrill Mega Beedrill,LV6,5,12,5,520
Beedrill Mega Beedrill,LV6,5,13,4,520
Beedrill Mega Beedrill,LV6,5,14,3,520
Beedrill Mega Beedrill,LV6,5,15,2,520
Beedrill Mega Beedrill,LV6,6,2,15,520
Beedrill Mega Beedrill,LV6,6,3,14,520
Beedrill Mega Beedrill,LV6,6,7,9,520
Beedrill Mega Beedrill,LV6,6,8,8,520
Beedrill Mega Beedrill,LV6,6,9,7,520
Beedrill Mega Beedrill,LV6,6,10,6,520
Beedrill Mega Beedrill,LV6,6,11,5,520
Beedrill Mega Beedrill,LV6,6,12,4,520
Beedrill Mega Beedrill,LV6,6,13,3,520
Beedrill Mega Beedrill,LV6,6,14,2,520
Beedrill Mega Beedrill,LV6,6,15,1,520
Beedrill Mega Beedrill,LV6,7,1,15,520
Beedrill Mega Beedrill,LV6,7,2,14,520
Beedrill Mega Beedrill,LV6,7,6,9,520
Beedrill Mega Beedrill,LV6,7,7,8,520
Beedrill Mega Beedrill,LV6,7,8,7,520
Beedrill Mega Beedrill,LV6,7,9,6,520
Beedrill Mega Beedrill,LV6,7,10,5,520
Beedrill Mega Beedrill,LV6,7,11,4,520
Beedrill Mega Beedrill,LV6,7,12,3,520
Beedrill Mega Beedrill,LV6,7,13,2,520
Beedrill Mega Beedrill,LV6,7,14,1,520
Beedrill Mega Beedrill,LV6,7,15,0,520
Beedrill Mega Beedrill,LV6,8,0,15,520
Beedrill Mega Beedrill,LV6,8,1,14,520
Beedrill Mega Beedrill,LV6,8,2,13,520
Beedrill Mega Beedrill,LV6,8,5,9,520
Beedrill Mega Beedrill,LV6,8,6,8,520
Beedrill Mega Beedrill,LV6,8,7,7,520
Beedrill Mega Beedrill,LV6,8,8,6,520
Beedrill Mega Beedrill,LV6,8,9,5,520
Beedrill Mega Beedrill,LV6,8,10,4,520
Beedrill Mega Beedrill,LV6,8,11,3,520
Beedrill Mega Beedrill,LV6,8,12,2,520
Beedrill Mega Beedrill,LV6,9,0,14,520
Beedrill Mega Beedrill,LV6,9,1,13,520
Beedrill Mega Beedrill,LV6,9,4,9,520
Beedrill Mega Beedrill,LV6,9,5,8,520
Beedrill Mega Beedrill,LV6,9,6,7,520
Beedrill Mega Beedrill,LV6,9,7,6,520
Beedrill Mega Beedrill,LV6,9,8,5,520
Beedrill Mega Beedrill,LV6,9,9,4,520
Beedrill Mega Beedrill,LV6,9,10,3,520
Beedrill Mega Beedrill,LV6,10,0,13,520
Beedrill Mega Beedrill,LV6,10,3,9,520
Beedrill Mega Beedrill,LV6,10,4,8,520
Beedrill Mega Beedrill,LV6,10,5,7,520
Beedrill Mega Beedrill,LV6,10,6,6,520
Beedrill Mega Beedrill,LV6,10,7,5,520
Beedrill Mega Beedrill,LV6,10,8,4,520
Beedrill Mega Beedrill,LV6,10,9,3,520
Beedrill Mega Beedrill,LV6,11,0,12,520
Beedrill Mega Beedrill,LV6,11,3,8,520
Beedrill Mega Beedrill,LV6,11,4,7,520
Beedrill Mega Beedrill,LV6,11,5,6,520
Beedrill Mega Beedrill,LV6,11,6,5,520
Beedrill Mega Beedrill,LV6,11,7,4,520
Beedrill Mega Beedrill,LV6,11,8,3,520
Beedrill Mega Beedrill,LV6,12,2,8,520
Beedrill Mega Beedrill,LV6,12,3,7,520
Beedrill Mega Beedrill,LV6,12,4,6,520
Beedrill Mega Beedrill,LV6,12,5,5,520
Beedrill Mega Beedrill,LV6,12,6,4,520
Beedrill Mega Beedrill,LV6,12,7,3,520
Beedrill Mega Beedrill,LV6,13,1,8,520
Beedrill Mega Beedrill,LV6,13,2,7,520
Beedrill Mega Beedrill,LV6,13,3,6,520
Beedrill Mega Beedrill,LV6,13,4,5,520
Beedrill Mega Beedrill,LV6,13,5,4,520
Beedrill Mega Beedrill,LV6,13,6,3,520
Beedrill Mega Beedrill,LV6,14,1,7,520
Beedrill Mega Beedrill,LV6,14,2,6,520
Beedrill Mega Beedrill,LV6,14,3,5,520
Beedrill Mega Beedrill,LV6,14,4,4,520
Beedrill Mega Beedrill,LV6,14,5,3,520
Beedrill Mega Beedrill,LV6,14,6,2,520
Beedrill Mega Beedrill,LV6,15,0,7,520
Beedrill Mega Beedrill,LV6,15,1,6,520
Beedrill Mega Beedrill,LV6,15,2,5,520
Beedrill Mega Beedrill,LV6,15,3,4,520
Beedrill Mega Beedrill,LV6,15,4,3,520
Beedrill Mega Beedrill,LV6,15,5,2,520
