Name,Level,Attack_IV,Defense_IV,HP_IV,CP
Beheeyem,LV7.5,0,1,15,520
Beheeyem,LV7.5,0,2,14,520
Beheeyem,LV7.5,0,5,10,520
Beheeyem,LV7.5,0,6,9,520
Beheeyem,LV7.5,0,7,8,520
Beheeyem,LV7.5,0,8,7,520
Beheeyem,LV7.5,0,9,6,520
Beheeyem,LV7.5,0,10,5,520
Beheeyem,LV7.5,0,11,4,520
Beheeyem,LV7.5,0,12,3,520
Beheeyem,LV7.5,1,1,13,520
Beheeyem,LV7.5,1,2,12,520
Beheeyem,LV7.5,1,3,11,520
Beheeyem,LV7.5,1,4,10,520
Beheeyem,LV7.5,1,7,6,520
Beheeyem,LV7.5,1,8,5,520
Beheeyem,LV7.5,1,9,4,520
Beheeyem,LV7.5,1,10,3,520
Beheeyem,LV7.5,1,11,2,520
Beheeyem,LV7.5,1,12,1,520
Beheeyem,LV7.5,1,13,0,520
Beheeyem,LV7.5,2,0,13,520
Beheeyem,LV7.5,2,2,10,520
Beheeyem,LV7.5,2,3,9,520
Beheeyem,LV7.5,2,4,8,520
Beheeyem,LV7.5,2,5,7,520
Beheeyem,LV7.5,2,6,6,520
Beheeyem,LV7.5,2,7,5,520
Beheeyem,LV7.5,3,0,11,520
Beheeyem,LV7.5,3,1,10,520
Beheeyem,LV7.5,3,4,6,520
Beheeyem,LV7.5,3,5,5,520
Beheeyem,LV7.5,3,6,4,520
Beheeyem,LV7.5,3,7,3,520
Beheeyem,LV7.5,3,8,2,520
Beheeyem,LV7.5,3,9,1,520
Beheeyem,LV7.5,3,10,0,520
Beheeyem,LV7.5,4,0,9,520
Beheeyem,LV7.5,4,1,8,520
Beheeyem,LV7.5,4,2,7,520
Beheeyem,LV7.5,4,3,6,520
Beheeyem,LV7.5,4,4,5,520
Beheeyem,LV7.5,4,8,0,520
Beheeyem,LV7.5,5,2,5,520
Beheeyem,LV7.5,5,3,4,520
Beheeyem,LV7.5,5,4,3,520
Beheeyem,LV7.5,5,5,2,520
Beheeyem,LV7.5,5,6,1,520
Beheeyem,LV7.5,5,7,0,520
Beheeyem,LV7.5,6,0,6,520
Beheeyem,LV7.5,6,1,5,520
Beheeyem,LV7.5,6,5,0,520
Beheeyem,LV7.5,7,0,4,520
Beheeyem,LV7.5,7,1,3,520
Beheeyem,LV7.5,7,2,2,520
Beheeyem,LV7.5,7,3,1,520
Beheeyem,LV7.5,7,4,0,520
Beheeyem,LV7,8,14,15,520
Beheeyem,LV7,8,15,14,520
Beheeyem,LV7.5,9,0,1,520
Beheeyem,LV7.5,9,1,0,520
Beheeyem,LV7,9,13,15,520
Beheeyem,LV7,10,11,15,520
Beheeyem,LV7,10,12,14,520
Beheeyem,LV7,10,13,13,520
Beheeyem,LV7,10,14,12,520
Beheeyem,LV7,10,15,11,520
Beheeyem,LV7,11,10,15,520
Beheeyem,LV7,11,13,11,520
Beheeyem,LV7,11,14,10,520
Beheeyem,LV7,11,15,9,520
Beheeyem,LV7,12,8,15,520
Beheeyem,LV7,12,9,14,520
Beheeyem,LV7,12,10,13,520
Beheeyem,LV7,12,11,12,520
Beheeyem,LV7,12,12,11,520
Beheeyem,LV7,12,13,10,520
Beheeyem,LV7,13,7,15,520
Beheeyem,LV7,13,10,11,520
Beheeyem,LV7,13,11,10,520
Beheeyem,LV7,13,12,9,520
Beheeyem,LV7,13,13,8,520
Beheeyem,LV7,13,14,7,520
Beheeyem,LV7,13,15,6,520
Beheeyem,LV7,14,5,15,520
Beheeyem,LV7,14,6,14,520
Beheeyem,LV7,14,7,13,520
Beheeyem,LV7,14,8,12,520
Beheeyem,LV7,14,9,11,520
Beheeyem,LV7,14,10,10,520
Beheeyem,LV7,14,15,4,520
Beheeyem,LV7,15,4,15,520
Beheeyem,LV7,15,5,14,520
Beheeyem,LV7,15,8,10,520
Beheeyem,LV7,15,9,9,520
Beheeyem,LV7,15,10,8,520
Beheeyem,LV7,15,11,7,520
Beheeyem,LV7,15,12,6,520
Beheeyem,LV7,15,13,5,520
Beheeyem,LV7,15,14,4,520
Beheeyem,LV7,15,15,3,520
