Name,Level,Attack_IV,Defense_IV,HP_IV,CP
Bewear,LV6.5,0,12,14,520
Bewear,LV6.5,0,13,12,520
Bewear,LV6.5,0,14,10,520
Bewear,LV6.5,0,15,9,520
Bewear,LV6.5,1,10,15,520
Bewear,LV6.5,1,11,13,520
Bewear,LV6.5,1,12,11,520
Bewear,LV6.5,1,13,10,520
Bewear,LV6.5,1,14,8,520
Bewear,LV6.5,1,15,6,520
Bewear,LV6.5,2,9,14,520
Bewear,LV6.5,2,10,13,520
Bewear,LV6.5,2,11,11,520
Bewear,LV6.5,2,12,9,520
Bewear,LV6.5,2,13,7,520
Bewear,LV6.5,2,14,6,520
Bewear,LV6.5,2,15,4,520
Bewear,LV6.5,3,8,14,520
Bewear,LV6.5,3,9,12,520
Bewear,LV6.5,3,10,10,520
Bewear,LV6.5,3,11,8,520
Bewear,LV6.5,3,12,7,520
Bewear,LV6.5,3,13,5,520
Bewear,LV6.5,3,14,3,520
Bewear,LV6.5,3,15,2,520
Bewear,LV6.5,4,6,15,520
Bewear,LV6.5,4,7,13,520
Bewear,LV6.5,4,8,11,520
Bewear,LV6.5,4,9,10,520
Bewear,LV6.5,4,10,8,520
Bewear,LV6.5,4,11,6,520
Bewear,LV6.5,4,12,4,520
Bewear,LV6.5,4,13,3,520
Bewear,LV6.5,4,14,1,520
Bewear,LV6.5,5,5,15,520
Bewear,LV6.5,5,6,13,520
Bewear,LV6.5,5,7,11,520
Bewear,LV6.5,5,8,9,520
Bewear,LV6.5,5,9,7,520
Bewear,LV6.5,5,10,6,520
Bewear,LV6.5,5,11,4,520
Bewear,LV6.5,5,12,2,520
Bewear,LV6.5,5,13,0,520
Bewear,LV6.5,6,4,14,520
Bewear,LV6.5,6,5,12,520
Bewear,LV6.5,6,6,10,520
Bewear,LV6.5,6,7,9,520
Bewear,LV6.5,6,8,7,520
Bewear,LV6.5,6,9,5,520
Bewear,LV6.5,6,10,3,520
Bewear,LV6.5,6,11,2,520
Bewear,LV6.5,6,12,0,520
Bewear,LV6.5,7,3,14,520
Bewear,LV6.5,7,4,12,520
Bewear,LV6.5,7,5,10,520
Bewear,LV6.5,7,6,8,520
Bewear,LV6.5,7,7,6,520
Bewear,LV6.5,7,8,5,520
Bewear,LV6.5,7,9,3,520
Bewear,LV6.5,7,10,1,520
Bewear,LV6.5,8,1,15,520
Bewear,LV6.5,8,2,13,520
Bewear,LV6.5,8,3,11,520
Bewear,LV6.5,8,4,9,520
Bewear,LV6.5,8,4,10,520
Bewear,LV6.5,8,5,8,520
Bewear,LV6.5,8,6,6,520
Bewear,LV6.5,8,7,4,520
Bewear,LV6.5,8,8,2,520
Bewear,LV6.5,8,9,1,520
Bewear,LV6.5,9,0,15,520
Bewear,LV6.5,9,1,13,520
Bewear,LV6.5,9,2,11,520
Bewear,LV6.5,9,3,9,520
Bewear,LV6.5,9,4,7,520
Bewear,LV6.5,9,5,5,520
Bewear,LV6.5,9,6,4,520
Bewear,LV6.5,9,7,2,520
Bewear,LV6.5,9,8,0,520
Bewear,LV6.5,10,0,12,520
Bewear,LV6.5,10,1,11,520
Bewear,LV6.5,10,2,9,520
Bewear,LV6.5,10,3,7,520
Bewear,LV6.5,10,4,5,520
Bewear,LV6.5,10,5,3,520
Bewear,LV6.5,10,6,1,520
Bewear,LV6.5,10,7,0,520
Bewear,LV6.5,11,0,10,520
Bewear,LV6.5,11,1,8,520
Bewear,LV6.5,11,2,6,520
Bewear,LV6.5,11,3,5,520
Bewear,LV6.5,11,4,3,520
Bewear,LV6.5,11,5,1,520
Bewear,LV6.5,12,0,8,520
Bewear,LV6.5,12,1,6,520
Bewear,LV6.5,12,2,4,520
Bewear,LV6.5,12,3,2,520
Bewear,LV6.5,12,4,1,520
Bewear,LV6.5,13,0,6,520
Bewear,LV6.5,13,1,4,520
Bewear,LV6.5,13,2,2,520
Bewear,LV6.5,13,3,0,520
Bewear,LV6.5,14,0,3,520
Bewear,LV6.5,14,1,2,520
Bewear,LV6.5,14,2,0,520
Bewear,LV6.5,15,0,1,520
