Name,Level,Attack_IV,Defense_IV,HP_IV,CP
Bisharp,LV7.5,0,0,3,520
Bisharp,LV7.5,0,1,2,520
Bisharp,LV7.5,0,2,1,520
Bisharp,LV7.5,0,3,0,520
Bisharp,LV7,0,14,15,520
Bisharp,LV7,0,15,14,520
Bisharp,LV7.5,1,0,1,520
Bisharp,LV7,1,15,13,520
Bisharp,LV7.5,2,0,0,520
Bisharp,LV7,2,11,15,520
Bisharp,LV7,2,12,14,520
Bisharp,LV7,2,13,13,520
Bisharp,LV7,2,14,12,520
Bisharp,LV7,2,15,11,520
Bisharp,LV7,3,9,15,520
Bisharp,LV7,3,15,10,520
Bisharp,LV7,4,8,15,520
Bisharp,LV7,4,9,14,520
Bisharp,LV7,4,10,13,520
Bisharp,LV7,4,11,12,520
Bisharp,LV7,4,12,11,520
Bisharp,LV7,4,13,10,520
Bisharp,LV7,4,14,9,520
Bisharp,LV7,4,15,8,520
Bisharp,LV7,5,6,15,520
Bisharp,LV7,5,7,14,520
Bisharp,LV7,5,8,13,520
Bisharp,LV7,5,9,12,520
Bisharp,LV7,5,14,8,520
Bisharp,LV7,5,15,7,520
Bisharp,LV7,6,5,15,520
Bisharp,LV7,6,6,14,520
Bisharp,LV7,6,7,13,520
Bisharp,LV7,6,8,12,520
Bisharp,LV7,6,9,11,520
Bisharp,LV7,6,10,10,520
Bisharp,LV7,6,11,9,520
Bisharp,LV7,6,12,8,520
Bisharp,LV7,6,13,7,520
Bisharp,LV7,6,14,6,520
Bisharp,LV7,7,3,15,520
Bisharp,LV7,7,4,14,520
Bisharp,LV7,7,5,13,520
Bisharp,LV7,7,6,12,520
Bisharp,LV7,7,7,11,520
Bisharp,LV7,7,8,10,520
Bisharp,LV7,7,13,6,520
Bisharp,LV7,7,14,5,520
Bisharp,LV7,7,15,4,520
Bisharp,LV7,8,2,15,520
Bisharp,LV7,8,3,14,520
Bisharp,LV7,8,4,13,520
Bisharp,LV7,8,5,12,520
Bisharp,LV7,8,6,11,520
Bisharp,LV7,8,7,10,520
Bisharp,LV7,8,8,9,520
Bisharp,LV7,8,9,8,520
Bisharp,LV7,8,10,7,520
Bisharp,LV7,8,11,6,520
Bisharp,LV7,8,12,5,520
Bisharp,LV7,9,0,15,520
Bisharp,LV7,9,1,14,520
Bisharp,LV7,9,2,13,520
Bisharp,LV7,9,3,12,520
Bisharp,LV7,9,4,11,520
Bisharp,LV7,9,5,10,520
Bisharp,LV7,9,11,5,520
Bisharp,LV7,9,12,4,520
Bisharp,LV7,9,13,3,520
Bisharp,LV7,9,14,2,520
Bisharp,LV7,9,15,1,520
Bisharp,LV7,10,0,14,520
Bisharp,LV7,10,1,13,520
Bisharp,LV7,10,2,12,520
Bisharp,LV7,10,3,11,520
Bisharp,LV7,10,4,10,520
Bisharp,LV7,10,5,9,520
Bisharp,LV7,10,6,8,520
Bisharp,LV7,10,7,7,520
Bisharp,LV7,10,8,6,520
Bisharp,LV7,10,9,5,520
Bisharp,LV7,10,10,4,520
Bisharp,LV7,10,14,1,520
Bisharp,LV7,10,15,0,520
Bisharp,LV7,11,0,12,520
Bisharp,LV7,11,1,11,520
Bisharp,LV7,11,2,10,520
Bisharp,LV7,11,9,4,520
Bisharp,LV7,11,10,3,520
Bisharp,LV7,11,11,2,520
Bisharp,LV7,11,12,1,520
Bisharp,LV7,11,13,0,520
Bisharp,LV7,12,0,11,520
Bisharp,LV7,12,1,10,520
Bisharp,LV7,12,2,9,520
Bisharp,LV7,12,3,8,520
Bisharp,LV7,12,4,7,520
Bisharp,LV7,12,5,6,520
Bisharp,LV7,12,6,5,520
Bisharp,LV7,12,7,4,520
Bisharp,LV7,12,8,3,520
Bisharp,LV7,12,12,0,520
Bisharp,LV7,13,6,4,520
Bisharp,LV7,13,7,3,520
Bisharp,LV7,13,8,2,520
Bisharp,LV7,13,9,1,520
Bisharp,LV7,13,10,0,520
Bisharp,LV7,14,0,8,520
Bisharp,LV7,14,1,7,520
Bisharp,LV7,14,2,6,520
Bisharp,LV7,14,3,5,520
Bisharp,LV7,14,4,4,520
Bisharp,LV7,14,5,3,520
Bisharp,LV7,14,9,0,520
Bisharp,LV7,15,1,6,520
Bisharp,LV7,15,2,5,520
Bisharp,LV7,15,3,4,520
Bisharp,LV7,15,4,3,520
Bisharp,LV7,15,5,2,520
Bisharp,LV7,15,6,1,520
Bisharp,LV7,15,7,0,520
