Name,Level,Attack_IV,Defense_IV,HP_IV,CP
Blissey,LV7.5,1,13,14,520
Blissey,LV7.5,1,13,15,520
Blissey,LV7.5,1,14,11,520
Blissey,LV7.5,1,14,12,520
Blissey,LV7.5,1,15,8,520
Blissey,LV7.5,1,15,9,520
Blissey,LV7.5,2,10,15,520
Blissey,LV7.5,2,11,12,520
Blissey,LV7.5,2,11,13,520
Blissey,LV7.5,2,12,9,520
Blissey,LV7.5,2,12,10,520
Blissey,LV7.5,2,13,6,520
Blissey,LV7.5,2,13,7,520
Blissey,LV7.5,2,14,3,520
Blissey,LV7.5,2,14,4,520
Blissey,LV7.5,2,15,1,520
Blissey,LV7.5,2,15,2,520
Blissey,LV7.5,3,7,15,520
Blissey,LV7.5,3,8,12,520
Blissey,LV7.5,3,8,13,520
Blissey,LV7.5,3,9,10,520
Blissey,LV7.5,3,9,11,520
Blissey,LV7.5,3,10,7,520
Blissey,LV7.5,3,10,8,520
Blissey,LV7.5,3,11,4,520
Blissey,LV7.5,3,11,5,520
Blissey,LV7.5,3,12,1,520
Blissey,LV7.5,3,12,2,520
Blissey,LV7.5,4,5,14,520
Blissey,LV7.5,4,6,11,520
Blissey,LV7.5,4,6,12,520
Blissey,LV7.5,4,7,8,520
Blissey,LV7.5,4,7,9,520
Blissey,LV7.5,4,8,5,520
Blissey,LV7.5,4,8,6,520
Blissey,LV7.5,4,9,2,520
Blissey,LV7.5,4,9,3,520
Blissey,LV7.5,4,10,0,520
Blissey,LV7.5,5,2,15,520
Blissey,LV7.5,5,3,12,520
Blissey,LV7.5,5,3,13,520
Blissey,LV7.5,5,4,9,520
Blissey,LV7.5,5,4,10,520
Blissey,LV7.5,5,5,6,520
Blissey,LV7.5,5,5,7,520
Blissey,LV7.5,5,6,3,520
Blissey,LV7.5,5,6,4,520
Blissey,LV7.5,5,7,0,520
Blissey,LV7.5,5,7,1,520
Blissey,LV7.5,6,0,13,520
Blissey,LV7.5,6,0,14,520
Blissey,LV7.5,6,1,10,520
Blissey,LV7.5,6,1,11,520
Blissey,LV7.5,6,2,7,520
Blissey,LV7.5,6,2,8,520
Blissey,LV7.5,6,3,4,520
Blissey,LV7.5,6,3,5,520
Blissey,LV7.5,6,4,1,520
Blissey,LV7.5,6,4,2,520
Blissey,LV7.5,7,0,6,520
Blissey,LV7.5,7,0,7,520
Blissey,LV7.5,7,1,3,520
Blissey,LV7.5,7,1,4,520
Blissey,LV7.5,7,2,0,520
Blissey,LV7.5,7,2,1,520
Blissey,LV7,11,13,14,520
Blissey,LV7,11,13,15,520
Blissey,LV7,11,14,11,520
Blissey,LV7,11,14,12,520
Blissey,LV7,11,15,9,520
Blissey,LV7,11,15,10,520
Blissey,LV7,12,10,15,520
Blissey,LV7,12,11,13,520
Blissey,LV7,12,11,14,520
Blissey,LV7,12,12,10,520
Blissey,LV7,12,12,11,520
Blissey,LV7,12,13,7,520
Blissey,LV7,12,13,8,520
Blissey,LV7,12,14,4,520
Blissey,LV7,12,14,5,520
Blissey,LV7,12,15,2,520
Blissey,LV7,13,8,14,520
Blissey,LV7,13,8,15,520
Blissey,LV7,13,9,11,520
Blissey,LV7,13,9,12,520
Blissey,LV7,13,10,8,520
Blissey,LV7,13,10,9,520
Blissey,LV7,13,11,5,520
Blissey,LV7,13,11,6,520
Blissey,LV7,13,12,3,520
Blissey,LV7,13,12,4,520
Blissey,LV7,13,13,0,520
Blissey,LV7,13,13,1,520
Blissey,LV7,14,6,13,520
Blissey,LV7,14,6,14,520
Blissey,LV7,14,7,10,520
Blissey,LV7,14,7,11,520
Blissey,LV7,14,8,7,520
Blissey,LV7,14,8,8,520
Blissey,LV7,14,9,4,520
Blissey,LV7,14,9,5,520
Blissey,LV7,14,10,1,520
Blissey,LV7,14,10,2,520
Blissey,LV7,15,3,14,520
Blissey,LV7,15,3,15,520
Blissey,LV7,15,4,11,520
Blissey,LV7,15,4,12,520
Blissey,LV7,15,5,8,520
Blissey,LV7,15,5,9,520
Blissey,LV7,15,6,6,520
Blissey,LV7,15,7,3,520
Blissey,LV7,15,7,4,520
Blissey,LV7,15,8,0,520
Blissey,LV7,15,8,1,520
