Name,Level,Attack_IV,Defense_IV,HP_IV,CP
Boltund,LV9.5,0,1,15,520
Boltund,LV9.5,0,3,12,520
Boltund,LV9.5,0,4,11,520
Boltund,LV9.5,0,6,8,520
Boltund,LV9.5,0,7,7,520
Boltund,LV9.5,0,8,6,520
Boltund,LV9.5,0,10,3,520
Boltund,LV9.5,0,11,2,520
Boltund,LV9.5,0,12,1,520
Boltund,LV9.5,1,1,13,520
Boltund,LV9.5,1,2,12,520
Boltund,LV9.5,1,4,9,520
Boltund,LV9.5,1,5,8,520
Boltund,LV9.5,1,7,5,520
Boltund,LV9.5,1,8,4,520
Boltund,LV9.5,1,11,0,520
Boltund,LV9.5,2,0,13,520
Boltund,LV9.5,2,1,11,520
Boltund,LV9.5,2,2,10,520
Boltund,LV9.5,2,4,7,520
Boltund,LV9.5,2,5,6,520
Boltund,LV9.5,2,6,5,520
Boltund,LV9.5,2,8,2,520
Boltund,LV9.5,2,9,1,520
Boltund,LV9.5,2,10,0,520
Boltund,LV9,2,14,15,520
Boltund,LV9,2,15,14,520
Boltund,LV9.5,3,0,11,520
Boltund,LV9.5,3,2,8,520
Boltund,LV9.5,3,3,7,520
Boltund,LV9.5,3,5,4,520
Boltund,LV9.5,3,6,3,520
Boltund,LV9.5,3,7,2,520
Boltund,LV9,3,14,13,520
Boltund,LV9,3,15,12,520
Boltund,LV9.5,4,0,9,520
Boltund,LV9.5,4,1,8,520
Boltund,LV9.5,4,3,5,520
Boltund,LV9.5,4,4,4,520
Boltund,LV9.5,4,6,1,520
Boltund,LV9.5,4,7,0,520
Boltund,LV9,4,11,15,520
Boltund,LV9,4,12,14,520
Boltund,LV9,4,13,13,520
Boltund,LV9,4,15,10,520
Boltund,LV9.5,5,0,7,520
Boltund,LV9.5,5,1,6,520
Boltund,LV9.5,5,3,3,520
Boltund,LV9.5,5,4,2,520
Boltund,LV9.5,5,5,1,520
Boltund,LV9,5,10,15,520
Boltund,LV9,5,12,12,520
Boltund,LV9,5,13,11,520
Boltund,LV9.5,6,1,4,520
Boltund,LV9.5,6,2,3,520
Boltund,LV9,6,9,14,520
Boltund,LV9,6,10,13,520
Boltund,LV9,6,13,9,520
Boltund,LV9,6,14,8,520
Boltund,LV9.5,7,0,4,520
Boltund,LV9.5,7,2,1,520
Boltund,LV9.5,7,3,0,520
Boltund,LV9,7,7,15,520
Boltund,LV9,7,8,14,520
Boltund,LV9,7,10,11,520
Boltund,LV9,7,11,10,520
Boltund,LV9,7,14,6,520
Boltund,LV9,7,15,5,520
Boltund,LV9.5,8,0,2,520
Boltund,LV9.5,8,1,1,520
Boltund,LV9,8,7,13,520
Boltund,LV9,8,8,12,520
Boltund,LV9,8,9,11,520
Boltund,LV9,8,11,8,520
Boltund,LV9,8,12,7,520
Boltund,LV9,8,15,3,520
Boltund,LV9,9,5,14,520
Boltund,LV9,9,6,13,520
Boltund,LV9,9,8,10,520
Boltund,LV9,9,9,9,520
Boltund,LV9,9,12,5,520
Boltund,LV9,9,13,4,520
Boltund,LV9,9,14,3,520
Boltund,LV9,10,3,15,520
Boltund,LV9,10,4,14,520
Boltund,LV9,10,6,11,520
Boltund,LV9,10,7,10,520
Boltund,LV9,10,9,7,520
Boltund,LV9,10,10,6,520
Boltund,LV9,10,11,5,520
Boltund,LV9,10,13,2,520
Boltund,LV9,10,14,1,520
Boltund,LV9,10,15,0,520
Boltund,LV9,11,2,15,520
Boltund,LV9,11,3,13,520
Boltund,LV9,11,4,12,520
Boltund,LV9,11,6,9,520
Boltund,LV9,11,7,8,520
Boltund,LV9,11,8,7,520
Boltund,LV9,11,10,4,520
Boltund,LV9,11,11,3,520
Boltund,LV9,11,12,2,520
Boltund,LV9,12,1,14,520
Boltund,LV9,12,2,13,520
Boltund,LV9,12,4,10,520
Boltund,LV9,12,5,9,520
Boltund,LV9,12,7,6,520
Boltund,LV9,12,8,5,520
Boltund,LV9,12,9,4,520
Boltund,LV9,12,12,0,520
Boltund,LV9,13,0,14,520
Boltund,LV9,13,2,11,520
Boltund,LV9,13,3,10,520
Boltund,LV9,13,5,7,520
Boltund,LV9,13,6,6,520
Boltund,LV9,13,9,2,520
Boltund,LV9,13,10,1,520
Boltund,LV9,13,11,0,520
Boltund,LV9,14,0,12,520
Boltund,LV9,14,1,11,520
Boltund,LV9,14,3,8,520
Boltund,LV9,14,4,7,520
Boltund,LV9,14,6,4,520
Boltund,LV9,14,7,3,520
Boltund,LV9,14,8,2,520
Boltund,LV8.5,14,15,15,520
Boltund,LV9,15,1,9,520
Boltund,LV9,15,2,8,520
Boltund,LV9,15,4,5,520
Boltund,LV9,15,5,4,520
Boltund,LV9,15,8,0,520
Boltund,LV8.5,15,14,14,520
Boltund,LV8.5,15,15,13,520
