Name,Level,Attack_IV,Defense_IV,HP_IV,CP
Bonsly,LV17,0,0,7,520
Bonsly,LV17,0,1,6,520
Bonsly,LV17,0,2,5,520
Bonsly,LV17,0,3,4,520
Bonsly,LV17,0,4,3,520
Bonsly,LV16.5,0,5,10,520
Bonsly,LV16.5,0,6,9,520
Bonsly,LV17,0,7,0,520
Bonsly,LV16.5,0,7,8,520
Bonsly,LV16.5,0,8,7,520
Bonsly,LV16.5,0,9,6,520
Bonsly,LV16,0,9,15,520
Bonsly,LV16.5,0,10,5,520
Bonsly,LV16,0,10,14,520
Bonsly,LV16.5,0,11,4,520
Bonsly,LV16,0,11,13,520
Bonsly,LV16.5,0,12,3,520
Bonsly,LV16,0,12,12,520
Bonsly,LV16.5,0,13,2,520
Bonsly,LV16,0,13,11,520
Bonsly,LV16.5,0,14,1,520
Bonsly,LV16,0,14,10,520
Bonsly,LV16,0,15,9,520
Bonsly,LV16.5,1,1,12,520
Bonsly,LV16.5,1,2,11,520
Bonsly,LV16.5,1,3,10,520
Bonsly,LV16.5,1,4,9,520
Bonsly,LV16.5,1,5,8,520
Bonsly,LV16.5,1,6,7,520
Bonsly,LV16.5,1,7,6,520
Bonsly,LV16,1,7,15,520
Bonsly,LV16.5,1,8,5,520
Bonsly,LV16,1,8,14,520
Bonsly,LV16.5,1,9,4,520
Bonsly,LV16,1,9,13,520
Bonsly,LV16.5,1,10,3,520
Bonsly,LV16,1,10,12,520
Bonsly,LV16.5,1,11,2,520
Bonsly,LV16.5,1,12,1,520
Bonsly,LV16.5,1,13,0,520
Bonsly,LV16.5,2,0,11,520
Bonsly,LV16.5,2,1,10,520
Bonsly,LV16.5,2,2,9,520
Bonsly,LV15.5,2,14,15,520
Bonsly,LV17,3,0,0,520
Bonsly,LV16,3,6,11,520
Bonsly,LV16,3,7,10,520
Bonsly,LV16,3,8,9,520
Bonsly,LV16,3,9,8,520
Bonsly,LV16,3,10,7,520
Bonsly,LV16,3,11,6,520
Bonsly,LV16,3,12,5,520
Bonsly,LV16,3,13,4,520
Bonsly,LV16,3,14,3,520
Bonsly,LV16,3,15,2,520
Bonsly,LV16,4,2,13,520
Bonsly,LV16.5,4,3,3,520
Bonsly,LV16,4,3,12,520
Bonsly,LV16.5,4,4,2,520
Bonsly,LV16,4,4,11,520
