Name,Level,Attack_IV,Defense_IV,HP_IV,CP
Brionne,LV11.5,0,0,2,520
Brionne,LV11.5,0,1,1,520
Brionne,LV11.5,0,2,0,520
Brionne,LV11,0,3,13,520
Brionne,LV11,0,4,12,520
Brionne,LV11,0,5,11,520
Brionne,LV11,0,6,10,520
Brionne,LV11,0,7,9,520
Brionne,LV11,0,8,8,520
Brionne,LV11.5,1,0,0,520
Brionne,LV11,1,0,15,520
Brionne,LV11,1,3,11,520
Brionne,LV11,1,4,10,520
Brionne,LV11,1,5,9,520
Brionne,LV11,1,6,8,520
Brionne,LV11,1,7,7,520
Brionne,LV11,1,8,6,520
Brionne,LV11,1,9,5,520
Brionne,LV11,1,10,4,520
Brionne,LV11,1,11,3,520
Brionne,LV11,1,12,2,520
Brionne,LV11,1,13,1,520
Brionne,LV11,1,14,0,520
Brionne,LV10.5,1,14,15,520
Brionne,LV10.5,1,15,14,520
Brionne,LV11,2,0,13,520
Brionne,LV11,2,3,9,520
Brionne,LV11,2,4,8,520
Brionne,LV11,2,5,7,520
Brionne,LV11,2,6,6,520
Brionne,LV11,2,7,5,520
Brionne,LV11,2,8,4,520
Brionne,LV11,2,9,3,520
Brionne,LV11,2,10,2,520
Brionne,LV11,2,11,1,520
Brionne,LV11,2,12,0,520
Brionne,LV10.5,2,12,15,520
Brionne,LV10.5,2,13,14,520
Brionne,LV10.5,2,14,13,520
Brionne,LV10.5,2,15,12,520
Brionne,LV11,3,0,11,520
Brionne,LV11,3,4,6,520
Brionne,LV11,3,5,5,520
Brionne,LV11,3,6,4,520
Brionne,LV11,3,7,3,520
Brionne,LV11,3,8,2,520
Brionne,LV11,3,9,1,520
Brionne,LV11,3,10,0,520
Brionne,LV10.5,3,10,15,520
Brionne,LV10.5,3,11,14,520
Brionne,LV10.5,3,12,13,520
Brionne,LV10.5,3,13,12,520
Brionne,LV10.5,3,14,11,520
Brionne,LV10.5,3,15,10,520
Brionne,LV11,4,0,9,520
Brionne,LV11,4,1,8,520
Brionne,LV11,4,7,1,520
Brionne,LV11,4,8,0,520
Brionne,LV10.5,4,9,14,520
Brionne,LV10.5,4,10,13,520
Brionne,LV10.5,4,11,12,520
Brionne,LV10.5,4,12,11,520
Brionne,LV10.5,4,13,10,520
Brionne,LV10.5,4,14,9,520
Brionne,LV10.5,4,15,8,520
Brionne,LV11,5,0,7,520
Brionne,LV11,5,1,6,520
Brionne,LV11,5,2,5,520
Brionne,LV10.5,5,10,11,520
Brionne,LV10.5,5,11,10,520
Brionne,LV10.5,5,12,9,520
Brionne,LV10.5,5,13,8,520
Brionne,LV10.5,5,14,7,520
Brionne,LV10.5,5,15,6,520
Brionne,LV11,6,0,5,520
Brionne,LV11,6,1,4,520
Brionne,LV11,6,2,3,520
Brionne,LV11,6,3,2,520
