Name,Level,Attack_IV,Defense_IV,HP_IV,CP
Bronzor,LV50,2,14,11,520
Bronzor,LV50,2,15,10,520
Bronzor,LV48.5,3,8,15,520
Bronzor,LV48.5,3,9,14,520
Bronzor,LV48.5,3,10,13,520
Bronzor,LV48,3,10,15,520
Bronzor,LV48,3,11,14,520
Bronzor,LV48,3,12,13,520
Bronzor,LV47.5,3,12,15,520
Bronzor,LV50,3,13,5,520
Bronzor,LV47.5,3,13,14,520
Bronzor,LV50,3,14,4,520
Bronzor,LV47.5,3,14,13,520
Bronzor,LV47,3,14,15,520
Bronzor,LV50,3,15,3,520
Bronzor,LV49.5,3,15,5,520
Bronzor,LV47,3,15,14,520
Bronzor,LV50,4,0,11,520
Bronzor,LV50,4,1,10,520
Bronzor,LV50,4,5,6,520
Bronzor,LV48,4,5,13,520
Bronzor,LV47.5,4,5,15,520
Bronzor,LV50,4,6,5,520
Bronzor,LV48,4,6,12,520
Bronzor,LV47.5,4,6,14,520
Bronzor,LV50,4,7,4,520
Bronzor,LV48,4,7,11,520
Bronzor,LV47.5,4,7,13,520
Bronzor,LV47,4,7,15,520
Bronzor,LV50,4,8,3,520
Bronzor,LV48,4,8,10,520
Bronzor,LV47.5,4,8,12,520
Bronzor,LV47,4,8,14,520
Bronzor,LV50,4,9,2,520
Bronzor,LV49.5,4,9,4,520
Bronzor,LV47.5,4,9,11,520
Bronzor,LV47,4,9,13,520
Bronzor,LV46.5,4,9,15,520
Bronzor,LV50,4,10,1,520
Bronzor,LV49.5,4,10,3,520
Bronzor,LV47.5,4,10,10,520
Bronzor,LV47,4,10,12,520
Bronzor,LV46.5,4,10,14,520
Bronzor,LV50,4,11,0,520
Bronzor,LV49.5,4,11,2,520
Bronzor,LV47.5,4,11,9,520
Bronzor,LV47,4,11,11,520
Bronzor,LV46.5,4,11,13,520
Bronzor,LV46,4,11,15,520
Bronzor,LV49.5,4,12,1,520
Bronzor,LV49,4,12,3,520
Bronzor,LV47,4,12,10,520
Bronzor,LV46.5,4,12,12,520
Bronzor,LV46,4,12,14,520
Bronzor,LV49.5,4,13,0,520
Bronzor,LV49,4,13,2,520
Bronzor,LV47,4,13,9,520
Bronzor,LV46.5,4,13,11,520
Bronzor,LV46,4,13,13,520
Bronzor,LV45.5,4,13,15,520
Bronzor,LV49,4,14,1,520
Bronzor,LV48.5,4,14,3,520
Bronzor,LV46.5,4,14,10,520
Bronzor,LV46,4,14,12,520
Bronzor,LV45.5,4,14,14,520
Bronzor,LV49,4,15,0,520
Bronzor,LV48.5,4,15,2,520
Bronzor,LV46,4,15,11,520
Bronzor,LV45.5,4,15,13,520
Bronzor,LV45,4,15,15,520
Bronzor,LV50,5,0,4,520
Bronzor,LV49.5,5,0,6,520
Bronzor,LV49,5,0,8,520
Bronzor,LV48.5,5,0,10,520
Bronzor,LV50,5,1,3,520
Bronzor,LV49.5,5,1,5,520
Bronzor,LV49,5,1,7,520
Bronzor,LV48.5,5,1,9,520
Bronzor,LV50,5,2,2,520
Bronzor,LV49.5,5,2,4,520
Bronzor,LV49,5,2,6,520
Bronzor,LV48.5,5,2,8,520
Bronzor,LV50,5,3,1,520
Bronzor,LV49.5,5,3,3,520
Bronzor,LV49,5,3,5,520
Bronzor,LV48.5,5,3,7,520
Bronzor,LV50,5,4,0,520
Bronzor,LV49.5,5,4,2,520
Bronzor,LV49,5,4,4,520
Bronzor,LV48.5,5,4,6,520
Bronzor,LV49.5,5,5,1,520
Bronzor,LV49,5,5,3,520
Bronzor,LV48.5,5,5,5,520
Bronzor,LV49.5,5,6,0,520
Bronzor,LV49,5,6,2,520
Bronzor,LV48.5,5,6,4,520
Bronzor,LV46,5,6,13,520
Bronzor,LV45.5,5,6,15,520
Bronzor,LV49,5,7,1,520
Bronzor,LV48.5,5,7,3,520
Bronzor,LV46,5,7,12,520
Bronzor,LV45.5,5,7,14,520
Bronzor,LV49,5,8,0,520
Bronzor,LV48.5,5,8,2,520
Bronzor,LV48,5,8,4,520
Bronzor,LV46,5,8,11,520
Bronzor,LV45.5,5,8,13,520
Bronzor,LV45,5,8,15,520
Bronzor,LV48.5,5,9,1,520
Bronzor,LV48,5,9,3,520
Bronzor,LV45.5,5,9,12,520
Bronzor,LV45,5,9,14,520
Bronzor,LV48.5,5,10,0,520
