Name,Level,Attack_IV,Defense_IV,HP_IV,CP
Bruxish,LV8.5,0,6,15,520
Bruxish,LV8.5,0,9,11,520
Bruxish,LV8.5,0,10,10,520
Bruxish,LV8.5,0,11,9,520
Bruxish,LV8.5,0,12,8,520
Bruxish,LV8.5,1,5,14,520
Bruxish,LV8.5,1,6,13,520
Bruxish,LV8.5,1,7,12,520
Bruxish,LV8.5,1,10,8,520
Bruxish,LV8.5,1,11,7,520
Bruxish,LV8.5,1,12,6,520
Bruxish,LV8.5,1,13,5,520
Bruxish,LV8.5,1,14,4,520
Bruxish,LV8.5,1,15,3,520
Bruxish,LV8.5,2,3,15,520
Bruxish,LV8.5,2,4,14,520
Bruxish,LV8.5,2,6,11,520
Bruxish,LV8.5,2,7,10,520
Bruxish,LV8.5,2,8,9,520
Bruxish,LV8.5,2,9,8,520
Bruxish,LV8.5,2,13,3,520
Bruxish,LV8.5,2,14,2,520
Bruxish,LV8.5,2,15,1,520
Bruxish,LV8.5,3,3,13,520
Bruxish,LV8.5,3,4,12,520
Bruxish,LV8.5,3,5,11,520
Bruxish,LV8.5,3,8,7,520
Bruxish,LV8.5,3,9,6,520
Bruxish,LV8.5,3,10,5,520
Bruxish,LV8.5,3,11,4,520
Bruxish,LV8.5,3,12,3,520
Bruxish,LV8.5,4,0,15,520
Bruxish,LV8.5,4,1,14,520
Bruxish,LV8.5,4,2,13,520
Bruxish,LV8.5,4,4,10,520
Bruxish,LV8.5,4,5,9,520
Bruxish,LV8.5,4,6,8,520
Bruxish,LV8.5,4,7,7,520
Bruxish,LV8.5,4,10,3,520
Bruxish,LV8.5,4,11,2,520
Bruxish,LV8.5,4,12,1,520
Bruxish,LV8.5,4,13,0,520
Bruxish,LV8.5,5,1,12,520
Bruxish,LV8.5,5,2,11,520
Bruxish,LV8.5,5,3,10,520
Bruxish,LV8.5,5,6,6,520
Bruxish,LV8.5,5,7,5,520
Bruxish,LV8.5,5,8,4,520
Bruxish,LV8.5,5,9,3,520
Bruxish,LV8.5,5,10,2,520
Bruxish,LV8.5,6,0,12,520
Bruxish,LV8.5,6,2,9,520
Bruxish,LV8.5,6,3,8,520
Bruxish,LV8.5,6,4,7,520
Bruxish,LV8.5,6,5,6,520
Bruxish,LV8.5,6,8,2,520
Bruxish,LV8.5,6,9,1,520
Bruxish,LV8.5,6,10,0,520
Bruxish,LV8.5,7,0,10,520
Bruxish,LV8.5,7,1,9,520
Bruxish,LV8.5,7,2,8,520
Bruxish,LV8.5,7,4,5,520
Bruxish,LV8.5,7,5,4,520
Bruxish,LV8.5,7,6,3,520
Bruxish,LV8.5,7,7,2,520
Bruxish,LV8.5,7,8,1,520
Bruxish,LV8.5,8,1,7,520
Bruxish,LV8.5,8,2,6,520
Bruxish,LV8.5,8,3,5,520
Bruxish,LV8.5,8,4,4,520
Bruxish,LV8.5,8,7,0,520
Bruxish,LV8,8,14,15,520
Bruxish,LV8,8,15,14,520
Bruxish,LV8.5,9,0,7,520
Bruxish,LV8.5,9,3,3,520
Bruxish,LV8.5,9,4,2,520
Bruxish,LV8.5,9,5,1,520
Bruxish,LV8.5,9,6,0,520
Bruxish,LV8,9,13,15,520
Bruxish,LV8.5,10,0,5,520
Bruxish,LV8.5,10,1,4,520
Bruxish,LV8.5,10,2,3,520
Bruxish,LV8.5,10,3,2,520
Bruxish,LV8,10,11,15,520
Bruxish,LV8,10,12,14,520
Bruxish,LV8,10,13,13,520
Bruxish,LV8,10,14,12,520
Bruxish,LV8,10,15,11,520
Bruxish,LV8.5,11,2,1,520
Bruxish,LV8.5,11,3,0,520
Bruxish,LV8,11,10,15,520
Bruxish,LV8,11,13,11,520
Bruxish,LV8,11,14,10,520
Bruxish,LV8,11,15,9,520
Bruxish,LV8.5,12,0,2,520
Bruxish,LV8.5,12,1,1,520
Bruxish,LV8.5,12,2,0,520
Bruxish,LV8,12,9,14,520
Bruxish,LV8,12,10,13,520
Bruxish,LV8,12,11,12,520
Bruxish,LV8,12,12,11,520
Bruxish,LV8,12,13,10,520
Bruxish,LV8,13,7,15,520
Bruxish,LV8,13,8,14,520
Bruxish,LV8,13,9,13,520
Bruxish,LV8,13,12,9,520
Bruxish,LV8,13,13,8,520
Bruxish,LV8,13,14,7,520
Bruxish,LV8,13,15,6,520
Bruxish,LV8,14,8,12,520
Bruxish,LV8,14,9,11,520
Bruxish,LV8,14,10,10,520
Bruxish,LV8,14,11,9,520
Bruxish,LV8,14,15,4,520
Bruxish,LV8,15,5,14,520
Bruxish,LV8,15,6,13,520
Bruxish,LV8,15,7,12,520
Bruxish,LV8,15,10,8,520
Bruxish,LV8,15,11,7,520
Bruxish,LV8,15,12,6,520
Bruxish,LV8,15,13,5,520
Bruxish,LV8,15,14,4,520
Bruxish,LV8,15,15,3,520
