Name,Level,Attack_IV,Defense_IV,HP_IV,CP
Buizel,LV22,0,2,0,520
Buizel,LV21.5,0,2,7,520
Buizel,LV21.5,0,3,5,520
Buizel,LV21,0,3,12,520
Buizel,LV21.5,0,4,3,520
Buizel,LV21,0,4,10,520
Buizel,LV21,0,5,8,520
Buizel,LV20.5,0,6,13,520
Buizel,LV20.5,0,7,11,520
Buizel,LV20.5,0,8,9,520
Buizel,LV20.5,0,9,7,520
Buizel,LV20.5,0,10,5,520
Buizel,LV20.5,0,11,3,520
Buizel,LV20.5,0,12,1,520
Buizel,LV20,0,14,5,520
Buizel,LV20,0,15,3,520
Buizel,LV22,1,1,0,520
Buizel,LV21.5,1,1,7,520
Buizel,LV21.5,1,2,5,520
Buizel,LV21,1,2,12,520
Buizel,LV21,1,3,10,520
Buizel,LV20.5,1,4,15,520
Buizel,LV20.5,1,5,13,520
Buizel,LV20.5,1,6,11,520
Buizel,LV20,1,9,12,520
Buizel,LV20,1,10,10,520
Buizel,LV20.5,1,11,1,520
Buizel,LV20,1,11,8,520
Buizel,LV20,1,12,6,520
Buizel,LV19.5,1,12,14,520
Buizel,LV19.5,1,13,12,520
Buizel,LV19.5,1,14,10,520
Buizel,LV19.5,1,15,8,520
Buizel,LV22,2,0,0,520
Buizel,LV21.5,2,0,7,520
Buizel,LV21.5,2,1,5,520
Buizel,LV21,2,1,12,520
Buizel,LV21,2,2,10,520
Buizel,LV20.5,2,3,15,520
Buizel,LV20.5,2,4,13,520
Buizel,LV21,2,5,3,520
Buizel,LV21,2,6,1,520
Buizel,LV20,2,7,14,520
Buizel,LV20,2,8,12,520
Buizel,LV20,2,9,10,520
Buizel,LV20,2,10,8,520
Buizel,LV20,2,11,6,520
Buizel,LV19.5,2,11,14,520
Buizel,LV20,2,12,4,520
Buizel,LV19.5,2,12,12,520
Buizel,LV20,2,13,2,520
Buizel,LV19.5,2,13,10,520
Buizel,LV20,2,14,0,520
Buizel,LV19.5,2,14,8,520
Buizel,LV19.5,2,15,6,520
Buizel,LV19,2,15,14,520
Buizel,LV21.5,3,0,5,520
Buizel,LV21,3,0,12,520
Buizel,LV20.5,3,2,15,520
Buizel,LV21,3,3,5,520
Buizel,LV21,3,4,3,520
Buizel,LV21,3,5,1,520
Buizel,LV20.5,3,5,8,520
Buizel,LV20.5,3,6,6,520
Buizel,LV20,3,6,14,520
Buizel,LV20.5,3,7,4,520
Buizel,LV20,3,7,12,520
Buizel,LV20.5,3,8,2,520
Buizel,LV20.5,3,9,0,520
Buizel,LV20,3,12,2,520
Buizel,LV20,3,13,0,520
Buizel,LV19.5,3,15,4,520
Buizel,LV19,3,15,12,520
Buizel,LV20.5,4,1,15,520
Buizel,LV21,4,2,5,520
Buizel,LV21,4,3,3,520
Buizel,LV21,4,4,1,520
Buizel,LV20.5,4,4,8,520
Buizel,LV20.5,4,5,6,520
Buizel,LV20,4,5,14,520
Buizel,LV20.5,4,6,4,520
Buizel,LV20.5,4,7,2,520
Buizel,LV20.5,4,8,0,520
Buizel,LV19.5,4,8,15,520
Buizel,LV19.5,4,9,13,520
Buizel,LV19.5,4,10,11,520
Buizel,LV19.5,4,11,9,520
Buizel,LV19.5,4,12,7,520
Buizel,LV19,4,12,15,520
Buizel,LV19.5,4,13,5,520
Buizel,LV19,4,13,13,520
Buizel,LV20.5,5,0,15,520
Buizel,LV21,5,1,5,520
Buizel,LV21,5,2,3,520
Buizel,LV21,5,3,1,520
Buizel,LV20.5,5,3,8,520
Buizel,LV20.5,5,4,6,520
Buizel,LV20.5,5,5,4,520
Buizel,LV20.5,5,6,2,520
Buizel,LV20,5,6,9,520
Buizel,LV20.5,5,7,0,520
Buizel,LV20,5,7,7,520
Buizel,LV19.5,5,7,15,520
Buizel,LV20,5,8,5,520
Buizel,LV19.5,5,8,13,520
Buizel,LV20,5,9,3,520
Buizel,LV19.5,5,9,11,520
Buizel,LV20,5,10,1,520
Buizel,LV19.5,5,10,9,520
Buizel,LV19.5,5,11,7,520
Buizel,LV19,5,11,15,520
Buizel,LV19.5,5,12,5,520
Buizel,LV19,5,12,13,520
Buizel,LV19.5,5,13,3,520
Buizel,LV19,5,13,11,520
Buizel,LV19.5,5,14,1,520
Buizel,LV19,5,14,9,520
Buizel,LV19,5,15,7,520
Buizel,LV21,6,0,5,520
Buizel,LV21,6,1,3,520
Buizel,LV21,6,2,1,520
Buizel,LV20.5,6,2,8,520
Buizel,LV20.5,6,3,6,520
Buizel,LV20.5,6,4,4,520
Buizel,LV20,6,5,9,520
Buizel,LV20,6,6,7,520
Buizel,LV19.5,6,6,15,520
Buizel,LV20,6,7,5,520
Buizel,LV19.5,6,7,13,520
Buizel,LV20,6,8,3,520
Buizel,LV20,6,9,1,520
Buizel,LV19,6,10,15,520
Buizel,LV19.5,6,12,3,520
Buizel,LV19.5,6,13,1,520
Buizel,LV19,6,14,7,520
Buizel,LV18.5,6,14,15,520
Buizel,LV19,6,15,5,520
Buizel,LV18.5,6,15,13,520
Buizel,LV21,7,0,3,520
Buizel,LV21,7,1,1,520
Buizel,LV20.5,7,1,8,520
Buizel,LV20.5,7,2,6,520
Buizel,LV20,7,3,11,520
Buizel,LV20,7,4,9,520
Buizel,LV20,7,5,7,520
Buizel,LV19.5,7,5,15,520
Buizel,LV20,7,6,5,520
Buizel,LV20,7,7,3,520
Buizel,LV20,7,8,1,520
Buizel,LV18.5,7,13,15,520
Buizel,LV18.5,7,14,13,520
Buizel,LV19,7,15,3,520
Buizel,LV18.5,7,15,11,520
Buizel,LV21,8,0,1,520
Buizel,LV20.5,8,0,8,520
Buizel,LV20.5,8,1,6,520
Buizel,LV20,8,2,11,520
Buizel,LV20,8,3,9,520
Buizel,LV20,8,4,7,520
Buizel,LV19.5,8,4,15,520
Buizel,LV20,8,5,5,520
Buizel,LV19.5,8,7,8,520
Buizel,LV19.5,8,8,6,520
Buizel,LV19.5,8,9,4,520
Buizel,LV19,8,9,12,520
Buizel,LV19.5,8,10,2,520
Buizel,LV19,8,10,10,520
Buizel,LV19,8,11,8,520
Buizel,LV19,8,12,6,520
Buizel,LV20.5,9,0,6,520
Buizel,LV20.5,9,1,4,520
Buizel,LV20,9,2,9,520
Buizel,LV20,9,3,7,520
Buizel,LV19.5,9,3,15,520
Buizel,LV19.5,9,6,8,520
Buizel,LV19.5,9,7,6,520
Buizel,LV19,9,7,14,520
Buizel,LV19.5,9,8,4,520
Buizel,LV19,9,8,12,520
