Name,Level,Attack_IV,Defense_IV,HP_IV,CP
Camerupt Mega Camerupt,LV6.5,0,0,11,520
Camerupt Mega Camerupt,LV6.5,0,1,10,520
Camerupt Mega Camerupt,LV6.5,0,2,9,520
Camerupt Mega Camerupt,LV6.5,0,3,8,520
Camerupt Mega Camerupt,LV6.5,0,4,7,520
Camerupt Mega Camerupt,LV6.5,0,5,6,520
Camerupt Mega Camerupt,LV6.5,0,6,5,520
Camerupt Mega Camerupt,LV6.5,0,7,4,520
Camerupt Mega Camerupt,LV6.5,0,8,3,520
Camerupt Mega Camerupt,LV6.5,0,9,2,520
Camerupt Mega Camerupt,LV6.5,0,10,1,520
Camerupt Mega Camerupt,LV6.5,0,11,0,520
Camerupt Mega Camerupt,LV6.5,1,0,9,520
Camerupt Mega Camerupt,LV6.5,1,1,8,520
Camerupt Mega Camerupt,LV6.5,1,2,7,520
Camerupt Mega Camerupt,LV6.5,1,3,6,520
Camerupt Mega Camerupt,LV6.5,1,9,1,520
Camerupt Mega Camerupt,LV6.5,1,10,0,520
Camerupt Mega Camerupt,LV6.5,2,0,8,520
Camerupt Mega Camerupt,LV6.5,2,1,7,520
Camerupt Mega Camerupt,LV6.5,2,2,6,520
Camerupt Mega Camerupt,LV6.5,2,3,5,520
Camerupt Mega Camerupt,LV6.5,2,4,4,520
Camerupt Mega Camerupt,LV6.5,2,5,3,520
Camerupt Mega Camerupt,LV6.5,2,6,2,520
Camerupt Mega Camerupt,LV6.5,2,7,1,520
Camerupt Mega Camerupt,LV6.5,2,8,0,520
Camerupt Mega Camerupt,LV6.5,3,5,2,520
Camerupt Mega Camerupt,LV6.5,3,6,1,520
Camerupt Mega Camerupt,LV6.5,3,7,0,520
Camerupt Mega Camerupt,LV6.5,4,0,5,520
Camerupt Mega Camerupt,LV6.5,4,1,4,520
Camerupt Mega Camerupt,LV6.5,4,2,3,520
Camerupt Mega Camerupt,LV6.5,4,3,2,520
Camerupt Mega Camerupt,LV6.5,4,4,1,520
Camerupt Mega Camerupt,LV6.5,4,5,0,520
Camerupt Mega Camerupt,LV6.5,5,1,3,520
Camerupt Mega Camerupt,LV6.5,5,2,2,520
Camerupt Mega Camerupt,LV6.5,5,3,1,520
Camerupt Mega Camerupt,LV6.5,5,4,0,520
Camerupt Mega Camerupt,LV6.5,6,0,2,520
Camerupt Mega Camerupt,LV6.5,7,0,1,520
Camerupt Mega Camerupt,LV6.5,7,1,0,520
Camerupt Mega Camerupt,LV6,10,14,15,520
Camerupt Mega Camerupt,LV6,10,15,14,520
Camerupt Mega Camerupt,LV6,11,15,13,520
Camerupt Mega Camerupt,LV6,12,11,15,520
Camerupt Mega Camerupt,LV6,12,12,14,520
Camerupt Mega Camerupt,LV6,12,13,13,520
Camerupt Mega Camerupt,LV6,12,14,12,520
Camerupt Mega Camerupt,LV6,12,15,11,520
Camerupt Mega Camerupt,LV6,13,10,15,520
Camerupt Mega Camerupt,LV6,13,11,14,520
Camerupt Mega Camerupt,LV6,13,12,13,520
Camerupt Mega Camerupt,LV6,13,13,12,520
Camerupt Mega Camerupt,LV6,13,14,11,520
Camerupt Mega Camerupt,LV6,13,15,10,520
Camerupt Mega Camerupt,LV6,14,8,15,520
Camerupt Mega Camerupt,LV6,14,9,14,520
Camerupt Mega Camerupt,LV6,14,10,13,520
Camerupt Mega Camerupt,LV6,14,11,12,520
Camerupt Mega Camerupt,LV6,15,7,15,520
Camerupt Mega Camerupt,LV6,15,8,14,520
Camerupt Mega Camerupt,LV6,15,9,13,520
Camerupt Mega Camerupt,LV6,15,10,12,520
Camerupt Mega Camerupt,LV6,15,11,11,520
Camerupt Mega Camerupt,LV6,15,12,10,520
Camerupt Mega Camerupt,LV6,15,13,9,520
Camerupt Mega Camerupt,LV6,15,14,8,520
Camerupt Mega Camerupt,LV6,15,15,7,520
