Name,Level,Attack_IV,Defense_IV,HP_IV,CP
Cetitan,LV6.5,0,14,14,520
Cetitan,LV6.5,0,15,11,520
Cetitan,LV6.5,0,15,12,520
Cetitan,LV6.5,1,13,13,520
Cetitan,LV6.5,1,14,10,520
Cetitan,LV6.5,1,14,11,520
Cetitan,LV6.5,1,15,8,520
Cetitan,LV6.5,2,11,15,520
Cetitan,LV6.5,2,12,12,520
Cetitan,LV6.5,2,12,13,520
Cetitan,LV6.5,2,13,10,520
Cetitan,LV6.5,2,14,7,520
Cetitan,LV6.5,2,15,4,520
Cetitan,LV6.5,2,15,5,520
Cetitan,LV6.5,3,10,14,520
Cetitan,LV6.5,3,10,15,520
Cetitan,LV6.5,3,11,11,520
Cetitan,LV6.5,3,11,12,520
Cetitan,LV6.5,3,12,9,520
Cetitan,LV6.5,3,13,6,520
Cetitan,LV6.5,3,13,7,520
Cetitan,LV6.5,3,14,4,520
Cetitan,LV6.5,3,15,1,520
Cetitan,LV6.5,4,9,13,520
Cetitan,LV6.5,4,9,14,520
Cetitan,LV6.5,4,10,11,520
Cetitan,LV6.5,4,11,8,520
Cetitan,LV6.5,4,12,5,520
Cetitan,LV6.5,4,12,6,520
Cetitan,LV6.5,4,13,3,520
Cetitan,LV6.5,4,14,0,520
Cetitan,LV6.5,4,14,1,520
Cetitan,LV6.5,5,8,13,520
Cetitan,LV6.5,5,9,10,520
Cetitan,LV6.5,5,10,7,520
Cetitan,LV6.5,5,10,8,520
Cetitan,LV6.5,5,11,5,520
Cetitan,LV6.5,5,12,2,520
Cetitan,LV6.5,5,12,3,520
Cetitan,LV6.5,5,13,0,520
Cetitan,LV6.5,6,6,15,520
Cetitan,LV6.5,6,7,12,520
Cetitan,LV6.5,6,7,13,520
Cetitan,LV6.5,6,8,9,520
Cetitan,LV6.5,6,8,10,520
Cetitan,LV6.5,6,9,7,520
Cetitan,LV6.5,6,10,4,520
Cetitan,LV6.5,6,11,2,520
Cetitan,LV6.5,7,5,14,520
Cetitan,LV6.5,7,5,15,520
Cetitan,LV6.5,7,6,12,520
Cetitan,LV6.5,7,7,9,520
Cetitan,LV6.5,7,8,6,520
Cetitan,LV6.5,7,8,7,520
Cetitan,LV6.5,7,9,4,520
Cetitan,LV6.5,7,10,1,520
Cetitan,LV6.5,8,4,14,520
Cetitan,LV6.5,8,5,11,520
Cetitan,LV6.5,8,6,8,520
Cetitan,LV6.5,8,6,9,520
Cetitan,LV6.5,8,7,6,520
Cetitan,LV6.5,8,8,3,520
Cetitan,LV6.5,8,9,0,520
Cetitan,LV6.5,8,9,1,520
Cetitan,LV6.5,9,3,13,520
Cetitan,LV6.5,9,3,14,520
Cetitan,LV6.5,9,4,11,520
Cetitan,LV6.5,9,5,8,520
Cetitan,LV6.5,9,6,5,520
Cetitan,LV6.5,9,7,2,520
Cetitan,LV6.5,9,7,3,520
Cetitan,LV6.5,9,8,0,520
Cetitan,LV6.5,10,2,13,520
Cetitan,LV6.5,10,3,10,520
Cetitan,LV6.5,10,3,11,520
Cetitan,LV6.5,10,4,7,520
Cetitan,LV6.5,10,4,8,520
Cetitan,LV6.5,10,5,5,520
Cetitan,LV6.5,10,6,2,520
Cetitan,LV6.5,10,7,0,520
Cetitan,LV6.5,11,1,13,520
Cetitan,LV6.5,11,2,10,520
Cetitan,LV6.5,11,3,7,520
Cetitan,LV6.5,11,4,4,520
Cetitan,LV6.5,11,5,1,520
Cetitan,LV6.5,11,5,2,520
Cetitan,LV6.5,12,0,12,520
Cetitan,LV6.5,12,0,13,520
Cetitan,LV6.5,12,1,9,520
Cetitan,LV6.5,12,1,10,520
Cetitan,LV6.5,12,2,6,520
Cetitan,LV6.5,12,2,7,520
Cetitan,LV6.5,12,3,4,520
Cetitan,LV6.5,12,4,1,520
Cetitan,LV6.5,13,0,9,520
Cetitan,LV6.5,13,1,6,520
Cetitan,LV6.5,13,2,3,520
Cetitan,LV6.5,13,2,4,520
Cetitan,LV6.5,13,3,1,520
Cetitan,LV6.5,14,0,6,520
Cetitan,LV6.5,14,1,3,520
Cetitan,LV6.5,14,2,0,520
Cetitan,LV6.5,15,0,3,520
Cetitan,LV6.5,15,1,0,520
