Name,Level,Attack_IV,Defense_IV,HP_IV,CP
Chandelure,LV6.5,0,0,5,520
Chandelure,LV6.5,0,1,4,520
Chandelure,LV6.5,0,5,1,520
Chandelure,LV6.5,0,6,0,520
Chandelure,LV6.5,1,0,4,520
Chandelure,LV6.5,1,1,3,520
Chandelure,LV6.5,1,2,2,520
Chandelure,LV6.5,2,0,3,520
Chandelure,LV6.5,2,1,2,520
Chandelure,LV6.5,2,2,1,520
Chandelure,LV6.5,2,3,0,520
Chandelure,LV6.5,3,1,1,520
Chandelure,LV6.5,3,2,0,520
Chandelure,LV6,5,15,15,520
Chandelure,LV6,7,12,15,520
Chandelure,LV6,7,13,14,520
Chandelure,LV6,7,14,13,520
Chandelure,LV6,8,12,14,520
Chandelure,LV6,8,13,13,520
Chandelure,LV6,8,14,12,520
Chandelure,LV6,8,15,11,520
Chandelure,LV6,9,9,15,520
Chandelure,LV6,9,13,12,520
Chandelure,LV6,9,14,11,520
Chandelure,LV6,9,15,10,520
Chandelure,LV6,10,8,15,520
Chandelure,LV6,10,9,14,520
Chandelure,LV6,10,10,13,520
Chandelure,LV6,10,11,12,520
Chandelure,LV6,10,14,10,520
Chandelure,LV6,10,15,9,520
Chandelure,LV6,11,8,14,520
Chandelure,LV6,11,9,13,520
Chandelure,LV6,11,10,12,520
Chandelure,LV6,11,11,11,520
Chandelure,LV6,11,12,10,520
Chandelure,LV6,11,15,8,520
Chandelure,LV6,12,5,15,520
Chandelure,LV6,12,6,14,520
Chandelure,LV6,12,10,11,520
Chandelure,LV6,12,11,10,520
Chandelure,LV6,12,12,9,520
Chandelure,LV6,12,13,8,520
Chandelure,LV6,13,4,15,520
Chandelure,LV6,13,5,14,520
Chandelure,LV6,13,6,13,520
Chandelure,LV6,13,7,12,520
Chandelure,LV6,13,11,9,520
Chandelure,LV6,13,12,8,520
Chandelure,LV6,13,13,7,520
Chandelure,LV6,13,14,6,520
Chandelure,LV6,14,4,14,520
Chandelure,LV6,14,5,13,520
Chandelure,LV6,14,6,12,520
Chandelure,LV6,14,7,11,520
Chandelure,LV6,14,8,10,520
Chandelure,LV6,14,9,9,520
Chandelure,LV6,14,12,7,520
Chandelure,LV6,14,13,6,520
Chandelure,LV6,14,14,5,520
Chandelure,LV6,14,15,4,520
Chandelure,LV6,15,1,15,520
Chandelure,LV6,15,6,11,520
Chandelure,LV6,15,7,10,520
Chandelure,LV6,15,8,9,520
Chandelure,LV6,15,9,8,520
Chandelure,LV6,15,10,7,520
Chandelure,LV6,15,13,5,520
Chandelure,LV6,15,14,4,520
Chandelure,LV6,15,15,3,520
