Name,Level,Attack_IV,Defense_IV,HP_IV,CP
Chatot,LV12,0,0,11,520
Chatot,LV12,0,1,9,520
Chatot,LV12,0,5,1,520
Chatot,LV11.5,0,6,15,520
Chatot,LV11.5,0,7,13,520
Chatot,LV11.5,0,8,11,520
Chatot,LV11.5,0,9,9,520
Chatot,LV11.5,0,10,7,520
Chatot,LV11.5,0,11,5,520
Chatot,LV11.5,0,14,0,520
Chatot,LV11,0,15,15,520
Chatot,LV12,1,0,9,520
Chatot,LV11.5,1,5,15,520
Chatot,LV11.5,1,6,13,520
Chatot,LV11.5,1,7,11,520
Chatot,LV11.5,1,8,9,520
Chatot,LV11.5,1,9,7,520
Chatot,LV11.5,1,10,5,520
Chatot,LV11.5,1,11,3,520
Chatot,LV11,1,14,15,520
Chatot,LV11,1,15,13,520
Chatot,LV11.5,2,4,15,520
Chatot,LV11.5,2,5,13,520
Chatot,LV11.5,2,6,11,520
Chatot,LV11.5,2,7,9,520
Chatot,LV11.5,2,8,7,520
Chatot,LV11.5,2,9,5,520
Chatot,LV11.5,2,10,3,520
Chatot,LV11.5,2,11,1,520
Chatot,LV11,2,15,11,520
Chatot,LV11.5,3,3,15,520
Chatot,LV11.5,3,4,13,520
Chatot,LV11.5,3,7,7,520
Chatot,LV11.5,3,8,5,520
Chatot,LV11.5,3,9,3,520
Chatot,LV11.5,3,10,1,520
Chatot,LV11,3,12,14,520
Chatot,LV11,3,13,12,520
Chatot,LV11,3,15,9,520
Chatot,LV11.5,4,2,15,520
Chatot,LV11.5,4,8,3,520
Chatot,LV11.5,4,9,1,520
Chatot,LV11,4,11,14,520
Chatot,LV11,4,12,12,520
Chatot,LV11,4,13,10,520
Chatot,LV11.5,5,1,15,520
Chatot,LV11.5,5,8,1,520
Chatot,LV11,5,10,14,520
Chatot,LV11,5,11,12,520
Chatot,LV11,5,12,10,520
Chatot,LV11,5,13,8,520
Chatot,LV11.5,6,0,15,520
Chatot,LV11.5,6,1,13,520
Chatot,LV11.5,6,7,1,520
Chatot,LV11,6,9,14,520
Chatot,LV11,6,10,12,520
Chatot,LV11,6,11,10,520
Chatot,LV11,6,12,8,520
Chatot,LV11,6,13,6,520
Chatot,LV11.5,7,0,13,520
Chatot,LV11,7,8,14,520
Chatot,LV11,7,9,12,520
Chatot,LV11,7,10,10,520
Chatot,LV11,7,11,8,520
Chatot,LV11,7,12,6,520
Chatot,LV11,7,13,4,520
Chatot,LV11,7,15,1,520
Chatot,LV11.5,8,0,11,520
Chatot,LV11,8,9,10,520
Chatot,LV11,8,10,8,520
Chatot,LV11,8,11,6,520
Chatot,LV11,8,12,4,520
Chatot,LV11,8,13,2,520
Chatot,LV11.5,9,0,9,520
Chatot,LV11,9,9,8,520
Chatot,LV11,9,10,6,520
Chatot,LV11,9,11,4,520
Chatot,LV11,9,12,2,520
Chatot,LV11,9,13,0,520
Chatot,LV10.5,9,15,14,520
Chatot,LV11.5,10,0,7,520
Chatot,LV11,10,9,6,520
Chatot,LV11,10,10,4,520
Chatot,LV11,10,11,2,520
Chatot,LV11,10,12,0,520
Chatot,LV10.5,10,14,14,520
Chatot,LV10.5,10,15,12,520
Chatot,LV11.5,11,0,5,520
Chatot,LV11.5,11,1,3,520
Chatot,LV11.5,11,2,1,520
Chatot,LV11,11,9,4,520
Chatot,LV11,11,10,2,520
Chatot,LV11,11,11,0,520
Chatot,LV10.5,11,13,14,520
Chatot,LV10.5,11,14,12,520
Chatot,LV10.5,11,15,10,520
Chatot,LV11.5,12,0,3,520
Chatot,LV11.5,12,1,1,520
Chatot,LV11,12,8,4,520
Chatot,LV11,12,9,2,520
Chatot,LV11,12,10,0,520
Chatot,LV10.5,12,12,14,520
Chatot,LV10.5,12,13,12,520
Chatot,LV10.5,12,14,10,520
Chatot,LV10.5,12,15,8,520
Chatot,LV11.5,13,0,1,520
Chatot,LV11,13,2,14,520
Chatot,LV11,13,7,4,520
Chatot,LV11,13,8,2,520
Chatot,LV11,13,9,0,520
Chatot,LV10.5,13,11,14,520
Chatot,LV10.5,13,12,12,520
Chatot,LV10.5,13,13,10,520
Chatot,LV10.5,13,14,8,520
Chatot,LV11,14,1,14,520
Chatot,LV11,14,2,12,520
Chatot,LV11,14,3,10,520
Chatot,LV11,14,6,4,520
Chatot,LV11,14,7,2,520
Chatot,LV11,14,8,0,520
Chatot,LV10.5,14,10,14,520
Chatot,LV10.5,14,11,12,520
Chatot,LV10.5,14,12,10,520
Chatot,LV10.5,14,13,8,520
Chatot,LV10.5,14,14,6,520
Chatot,LV11,15,0,14,520
Chatot,LV11,15,1,12,520
Chatot,LV11,15,2,10,520
Chatot,LV11,15,3,8,520
Chatot,LV11,15,4,6,520
Chatot,LV11,15,5,4,520
Chatot,LV11,15,6,2,520
Chatot,LV11,15,7,0,520
Chatot,LV10.5,15,9,14,520
Chatot,LV10.5,15,10,12,520
Chatot,LV10.5,15,11,10,520
Chatot,LV10.5,15,12,8,520
Chatot,LV10.5,15,13,6,520
Chatot,LV10.5,15,14,4,520
