Name,Level,Attack_IV,Defense_IV,HP_IV,CP
Chesnaught,LV7,0,2,15,520
Chesnaught,LV7,0,3,14,520
Chesnaught,LV7,0,4,13,520
Chesnaught,LV7,0,5,12,520
Chesnaught,LV7,0,6,11,520
Chesnaught,LV7,0,7,10,520
Chesnaught,LV7,0,8,9,520
Chesnaught,LV7,0,9,8,520
Chesnaught,LV7,0,10,7,520
Chesnaught,LV7,0,11,6,520
Chesnaught,LV7,0,12,5,520
Chesnaught,LV7,0,13,4,520
Chesnaught,LV7,0,14,3,520
Chesnaught,LV7,0,15,2,520
Chesnaught,LV7,1,0,15,520
Chesnaught,LV7,1,1,14,520
Chesnaught,LV7,1,2,13,520
Chesnaught,LV7,1,3,12,520
Chesnaught,LV7,1,4,11,520
Chesnaught,LV7,1,5,10,520
Chesnaught,LV7,1,6,9,520
Chesnaught,LV7,1,9,6,520
Chesnaught,LV7,1,10,5,520
Chesnaught,LV7,1,11,4,520
Chesnaught,LV7,1,12,3,520
Chesnaught,LV7,1,13,2,520
Chesnaught,LV7,1,14,1,520
Chesnaught,LV7,1,15,0,520
Chesnaught,LV7,2,0,13,520
Chesnaught,LV7,2,1,12,520
Chesnaught,LV7,2,2,11,520
Chesnaught,LV7,2,11,2,520
Chesnaught,LV7,2,12,1,520
Chesnaught,LV7,2,13,0,520
Chesnaught,LV7,5,2,4,520
Chesnaught,LV7,5,3,3,520
Chesnaught,LV7,5,4,2,520
Chesnaught,LV7,6,1,3,520
Chesnaught,LV7,6,2,2,520
Chesnaught,LV7,6,3,1,520
Chesnaught,LV6.5,11,13,15,520
Chesnaught,LV6.5,11,14,14,520
Chesnaught,LV6.5,11,15,13,520
Chesnaught,LV6.5,12,11,15,520
Chesnaught,LV6.5,12,12,14,520
Chesnaught,LV6.5,12,13,13,520
Chesnaught,LV6.5,12,14,12,520
Chesnaught,LV6.5,12,15,11,520
Chesnaught,LV6.5,13,9,15,520
Chesnaught,LV6.5,13,10,14,520
Chesnaught,LV6.5,13,11,13,520
Chesnaught,LV6.5,13,12,12,520
Chesnaught,LV6.5,13,13,11,520
Chesnaught,LV6.5,13,14,10,520
Chesnaught,LV6.5,13,15,9,520
Chesnaught,LV6.5,14,7,15,520
Chesnaught,LV6.5,14,8,14,520
Chesnaught,LV6.5,14,9,13,520
Chesnaught,LV6.5,14,10,12,520
Chesnaught,LV6.5,14,11,11,520
Chesnaught,LV6.5,14,12,10,520
Chesnaught,LV6.5,14,13,9,520
Chesnaught,LV6.5,14,14,8,520
Chesnaught,LV6.5,14,15,7,520
Chesnaught,LV6.5,15,6,14,520
Chesnaught,LV6.5,15,7,13,520
Chesnaught,LV6.5,15,8,12,520
Chesnaught,LV6.5,15,9,11,520
Chesnaught,LV6.5,15,10,10,520
Chesnaught,LV6.5,15,11,9,520
Chesnaught,LV6.5,15,12,8,520
Chesnaught,LV6.5,15,13,7,520
Chesnaught,LV6.5,15,14,6,520
