Name,Level,Attack_IV,Defense_IV,HP_IV,CP
Chespin,LV20.5,0,0,10,520
Chespin,LV21,0,1,1,520
Chespin,LV20.5,0,2,7,520
Chespin,LV20,0,2,15,520
Chespin,LV20,0,3,13,520
Chespin,LV20.5,0,4,4,520
Chespin,LV20,0,4,12,520
Chespin,LV20.5,0,5,3,520
Chespin,LV20,0,6,9,520
Chespin,LV20.5,0,7,0,520
Chespin,LV20,0,8,6,520
Chespin,LV19.5,0,8,14,520
Chespin,LV20,0,9,5,520
Chespin,LV19.5,0,9,13,520
Chespin,LV20,0,11,2,520
Chespin,LV19.5,0,11,10,520
Chespin,LV20,0,12,1,520
Chespin,LV19.5,0,12,9,520
Chespin,LV20,0,13,0,520
Chespin,LV19.5,0,14,6,520
Chespin,LV19.5,0,15,5,520
Chespin,LV19,0,15,13,520
Chespin,LV21,1,0,0,520
Chespin,LV20.5,1,0,7,520
Chespin,LV20,1,0,15,520
Chespin,LV20.5,1,2,4,520
Chespin,LV20,1,2,12,520
Chespin,LV20.5,1,3,3,520
Chespin,LV20,1,4,9,520
Chespin,LV20.5,1,5,0,520
Chespin,LV20,1,6,6,520
Chespin,LV19.5,1,6,14,520
Chespin,LV20,1,7,5,520
Chespin,LV19.5,1,7,13,520
Chespin,LV19.5,1,8,11,520
Chespin,LV20,1,9,2,520
Chespin,LV19.5,1,9,10,520
Chespin,LV20,1,10,1,520
Chespin,LV19.5,1,11,7,520
Chespin,LV19.5,1,12,6,520
Chespin,LV19,1,12,14,520
Chespin,LV19,1,13,13,520
Chespin,LV19.5,1,15,2,520
Chespin,LV19,1,15,10,520
Chespin,LV20.5,2,0,4,520
Chespin,LV20,2,0,12,520
Chespin,LV20.5,2,1,3,520
Chespin,LV20,2,2,9,520
Chespin,LV20.5,2,3,0,520
Chespin,LV20,2,4,6,520
Chespin,LV19.5,2,4,14,520
Chespin,LV20,2,5,5,520
Chespin,LV19.5,2,5,13,520
Chespin,LV19.5,2,6,11,520
Chespin,LV20,2,7,2,520
Chespin,LV19.5,2,7,10,520
Chespin,LV20,2,8,1,520
Chespin,LV19.5,2,9,7,520
Chespin,LV19.5,2,10,6,520
Chespin,LV19,2,10,14,520
Chespin,LV19.5,2,12,3,520
Chespin,LV19,2,12,11,520
Chespin,LV19.5,2,13,2,520
Chespin,LV19,2,13,10,520
Chespin,LV19,2,15,7,520
Chespin,LV20,3,0,9,520
Chespin,LV20.5,3,1,0,520
Chespin,LV20,3,2,6,520
Chespin,LV19.5,3,2,14,520
Chespin,LV20,3,3,5,520
Chespin,LV19.5,3,3,13,520
Chespin,LV19.5,3,4,11,520
Chespin,LV20,3,5,2,520
Chespin,LV19.5,3,5,10,520
Chespin,LV20,3,6,1,520
Chespin,LV19.5,3,7,7,520
Chespin,LV19.5,3,8,6,520
Chespin,LV19,3,8,14,520
Chespin,LV19.5,3,10,3,520
Chespin,LV19,3,10,11,520
Chespin,LV19.5,3,11,2,520
Chespin,LV19,3,11,10,520
Chespin,LV19,3,13,7,520
Chespin,LV19,3,14,6,520
Chespin,LV18.5,3,14,14,520
Chespin,LV18.5,3,15,13,520
Chespin,LV20,4,1,5,520
Chespin,LV19.5,4,1,13,520
Chespin,LV20,4,3,2,520
Chespin,LV19.5,4,3,10,520
Chespin,LV20,4,4,1,520
Chespin,LV19.5,4,5,7,520
Chespin,LV19.5,4,6,6,520
Chespin,LV19,4,6,14,520
