Name,Level,Attack_IV,Defense_IV,HP_IV,CP
Chinchou,LV20.5,0,0,5,520
Chinchou,LV20,0,0,14,520
Chinchou,LV20.5,0,1,3,520
Chinchou,LV20,0,1,12,520
Chinchou,LV20.5,0,2,1,520
Chinchou,LV20,0,2,10,520
Chinchou,LV20,0,3,8,520
Chinchou,LV19.5,0,5,14,520
Chinchou,LV20,0,6,3,520
Chinchou,LV19.5,0,6,12,520
Chinchou,LV20,0,7,1,520
Chinchou,LV19.5,0,8,9,520
Chinchou,LV19.5,0,9,7,520
Chinchou,LV19.5,0,10,5,520
Chinchou,LV19,0,10,15,520
Chinchou,LV19,0,11,13,520
Chinchou,LV19.5,0,12,2,520
Chinchou,LV19.5,0,13,0,520
Chinchou,LV19,0,13,10,520
Chinchou,LV19,0,14,8,520
Chinchou,LV19,0,15,6,520
Chinchou,LV20.5,1,0,1,520
Chinchou,LV20,1,2,7,520
Chinchou,LV20,1,3,5,520
Chinchou,LV20,1,4,3,520
Chinchou,LV20,1,5,1,520
Chinchou,LV19.5,1,6,9,520
Chinchou,LV19.5,1,7,7,520
Chinchou,LV19.5,1,8,5,520
Chinchou,LV19,1,8,15,520
Chinchou,LV19,1,9,13,520
Chinchou,LV19.5,1,11,0,520
Chinchou,LV19,1,12,8,520
Chinchou,LV19,1,13,6,520
Chinchou,LV19,1,15,3,520
Chinchou,LV18.5,1,15,13,520
Chinchou,LV20,2,0,7,520
Chinchou,LV20,2,1,5,520
Chinchou,LV19.5,2,1,15,520
Chinchou,LV20,2,2,3,520
Chinchou,LV19.5,2,2,13,520
Chinchou,LV19.5,2,3,11,520
Chinchou,LV19.5,2,4,9,520
Chinchou,LV19.5,2,5,7,520
Chinchou,LV19.5,2,6,5,520
Chinchou,LV19,2,6,15,520
Chinchou,LV19,2,7,13,520
Chinchou,LV19.5,2,8,2,520
Chinchou,LV19.5,2,9,0,520
Chinchou,LV19,2,10,8,520
Chinchou,LV19,2,11,6,520
Chinchou,LV19,2,13,3,520
Chinchou,LV18.5,2,13,13,520
Chinchou,LV19,2,14,1,520
Chinchou,LV18.5,2,14,11,520
Chinchou,LV18.5,2,15,9,520
Chinchou,LV19.5,3,0,13,520
Chinchou,LV20,3,1,2,520
Chinchou,LV19.5,3,1,11,520
Chinchou,LV20,3,2,0,520
Chinchou,LV19.5,3,2,9,520
