Name,Level,Attack_IV,Defense_IV,HP_IV,CP
Clefable,LV8.5,0,2,15,520
Clefable,LV8.5,0,3,14,520
Clefable,LV8.5,0,4,12,520
Clefable,LV8.5,0,5,11,520
Clefable,LV8.5,0,7,8,520
Clefable,LV8.5,0,8,7,520
Clefable,LV8.5,0,10,4,520
Clefable,LV8.5,0,11,3,520
Clefable,LV8.5,0,12,2,520
Clefable,LV8.5,1,0,15,520
Clefable,LV8.5,1,1,14,520
Clefable,LV8.5,1,3,11,520
Clefable,LV8.5,1,4,10,520
Clefable,LV8.5,1,5,8,520
Clefable,LV8.5,1,6,7,520
Clefable,LV8.5,1,7,6,520
Clefable,LV8.5,1,8,4,520
Clefable,LV8.5,1,9,3,520
Clefable,LV8.5,1,10,2,520
Clefable,LV8.5,2,0,13,520
Clefable,LV8.5,2,1,11,520
Clefable,LV8.5,2,2,10,520
Clefable,LV8.5,2,4,7,520
Clefable,LV8.5,2,5,6,520
Clefable,LV8.5,2,7,3,520
Clefable,LV8.5,2,8,2,520
Clefable,LV8.5,2,9,1,520
Clefable,LV8.5,3,0,10,520
Clefable,LV8.5,3,1,9,520
Clefable,LV8.5,3,2,7,520
Clefable,LV8.5,3,3,6,520
Clefable,LV8.5,3,4,5,520
Clefable,LV8.5,3,5,3,520
Clefable,LV8.5,3,6,2,520
Clefable,LV8.5,3,7,1,520
Clefable,LV8.5,4,0,8,520
Clefable,LV8.5,4,1,6,520
Clefable,LV8.5,4,2,5,520
Clefable,LV8.5,4,3,4,520
Clefable,LV8.5,4,4,2,520
Clefable,LV8.5,4,5,1,520
Clefable,LV8.5,4,6,0,520
Clefable,LV8.5,5,0,5,520
Clefable,LV8.5,5,1,4,520
Clefable,LV8.5,5,3,1,520
Clefable,LV8.5,5,4,0,520
Clefable,LV8.5,6,0,3,520
Clefable,LV8.5,6,2,0,520
Clefable,LV8,6,13,15,520
Clefable,LV8,6,14,13,520
Clefable,LV8,6,15,12,520
Clefable,LV8,7,11,15,520
Clefable,LV8,7,13,12,520
Clefable,LV8,7,14,11,520
Clefable,LV8,7,15,10,520
Clefable,LV8,8,9,15,520
Clefable,LV8,8,10,14,520
Clefable,LV8,8,11,12,520
Clefable,LV8,8,12,11,520
Clefable,LV8,8,13,10,520
Clefable,LV8,8,15,7,520
Clefable,LV8,9,7,15,520
Clefable,LV8,9,8,14,520
Clefable,LV8,9,10,11,520
Clefable,LV8,9,11,10,520
Clefable,LV8,9,12,9,520
Clefable,LV8,9,13,7,520
Clefable,LV8,9,14,6,520
Clefable,LV8,9,15,5,520
Clefable,LV8,10,6,14,520
Clefable,LV8,10,7,13,520
Clefable,LV8,10,9,10,520
Clefable,LV8,10,10,9,520
Clefable,LV8,10,12,6,520
Clefable,LV8,10,13,5,520
Clefable,LV8,10,14,4,520
Clefable,LV8,11,5,13,520
Clefable,LV8,11,6,12,520
Clefable,LV8,11,7,10,520
Clefable,LV8,11,8,9,520
Clefable,LV8,11,9,8,520
Clefable,LV8,11,10,6,520
Clefable,LV8,11,11,5,520
Clefable,LV8,11,12,4,520
Clefable,LV8,11,13,3,520
Clefable,LV8,11,14,1,520
Clefable,LV8,11,15,0,520
Clefable,LV8,12,2,15,520
Clefable,LV8,12,3,13,520
Clefable,LV8,12,4,12,520
Clefable,LV8,12,5,11,520
Clefable,LV8,12,6,9,520
Clefable,LV8,12,7,8,520
Clefable,LV8,12,8,7,520
Clefable,LV8,12,9,5,520
Clefable,LV8,12,10,4,520
Clefable,LV8,12,11,3,520
Clefable,LV8,12,13,0,520
Clefable,LV8,13,0,15,520
Clefable,LV8,13,1,14,520
Clefable,LV8,13,2,12,520
Clefable,LV8,13,3,11,520
Clefable,LV8,13,4,10,520
Clefable,LV8,13,5,8,520
Clefable,LV8,13,6,7,520
Clefable,LV8,13,7,6,520
Clefable,LV8,13,8,4,520
Clefable,LV8,13,9,3,520
Clefable,LV8,13,10,2,520
Clefable,LV8,14,0,13,520
Clefable,LV8,14,1,11,520
Clefable,LV8,14,2,10,520
Clefable,LV8,14,3,9,520
Clefable,LV8,14,4,7,520
Clefable,LV8,14,5,6,520
Clefable,LV8,14,6,5,520
Clefable,LV8,14,7,3,520
Clefable,LV8,14,8,2,520
Clefable,LV8,14,9,1,520
Clefable,LV8,15,1,9,520
Clefable,LV8,15,2,8,520
Clefable,LV8,15,3,6,520
Clefable,LV8,15,4,5,520
Clefable,LV8,15,5,4,520
Clefable,LV8,15,6,2,520
Clefable,LV8,15,7,1,520
Clefable,LV8,15,8,0,520
