Name,Level,Attack_IV,Defense_IV,HP_IV,CP
Cleffa,LV45,0,0,1,520
Cleffa,LV43.5,0,0,6,520
Cleffa,LV43,0,0,8,520
Cleffa,LV42.5,0,0,10,520
Cleffa,LV44.5,0,1,1,520
Cleffa,LV43,0,1,6,520
Cleffa,LV42.5,0,1,8,520
Cleffa,LV42,0,1,10,520
Cleffa,LV44,0,2,1,520
Cleffa,LV42.5,0,2,6,520
Cleffa,LV42,0,2,8,520
Cleffa,LV41.5,0,2,10,520
Cleffa,LV43.5,0,3,1,520
Cleffa,LV42,0,3,6,520
Cleffa,LV41.5,0,3,8,520
Cleffa,LV41,0,3,10,520
Cleffa,LV43,0,4,1,520
Cleffa,LV41.5,0,4,6,520
Cleffa,LV41,0,4,8,520
Cleffa,LV40.5,0,4,10,520
Cleffa,LV40,0,4,12,520
Cleffa,LV39.5,0,4,14,520
Cleffa,LV42.5,0,5,1,520
Cleffa,LV42,0,5,3,520
Cleffa,LV40.5,0,5,8,520
Cleffa,LV40,0,5,10,520
Cleffa,LV39.5,0,5,12,520
Cleffa,LV39,0,5,14,520
Cleffa,LV42,0,6,1,520
Cleffa,LV41.5,0,6,3,520
Cleffa,LV40,0,6,8,520
Cleffa,LV41.5,0,7,1,520
Cleffa,LV41,0,7,3,520
Cleffa,LV40.5,0,7,5,520
Cleffa,LV39,0,7,11,520
Cleffa,LV38.5,0,7,13,520
Cleffa,LV38,0,7,15,520
Cleffa,LV40.5,0,8,3,520
Cleffa,LV40,0,8,5,520
Cleffa,LV39.5,0,8,7,520
Cleffa,LV39,0,8,9,520
Cleffa,LV38.5,0,8,11,520
Cleffa,LV41,0,9,0,520
Cleffa,LV37.5,0,9,14,520
Cleffa,LV40.5,0,10,0,520
Cleffa,LV39,0,10,6,520
Cleffa,LV38.5,0,10,8,520
Cleffa,LV38,0,10,10,520
Cleffa,LV37.5,0,10,12,520
Cleffa,LV40,0,11,0,520
Cleffa,LV39.5,0,11,2,520
Cleffa,LV39,0,11,4,520
Cleffa,LV38.5,0,11,6,520
Cleffa,LV37,0,11,13,520
Cleffa,LV36.5,0,11,15,520
Cleffa,LV38,0,12,7,520
Cleffa,LV37.5,0,12,9,520
Cleffa,LV37,0,12,11,520
Cleffa,LV39,0,13,1,520
Cleffa,LV38.5,0,13,3,520
Cleffa,LV38,0,13,5,520
Cleffa,LV36,0,13,14,520
Cleffa,LV37.5,0,14,6,520
Cleffa,LV37,0,14,8,520
Cleffa,LV36.5,0,14,10,520
Cleffa,LV38.5,0,15,0,520
Cleffa,LV38,0,15,2,520
Cleffa,LV37.5,0,15,4,520
Cleffa,LV36,0,15,11,520
Cleffa,LV35.5,0,15,13,520
Cleffa,LV43,1,0,4,520
Cleffa,LV42.5,1,0,6,520
Cleffa,LV42,1,0,8,520
Cleffa,LV40.5,1,0,13,520
Cleffa,LV40,1,0,15,520
Cleffa,LV42.5,1,1,4,520
Cleffa,LV42,1,1,6,520
Cleffa,LV41.5,1,1,8,520
Cleffa,LV42,1,2,4,520
Cleffa,LV41.5,1,2,6,520
Cleffa,LV41,1,2,8,520
Cleffa,LV41.5,1,3,4,520
Cleffa,LV41,1,3,6,520
Cleffa,LV40.5,1,3,8,520
Cleffa,LV39.5,1,3,12,520
Cleffa,LV39,1,3,14,520
Cleffa,LV42,1,4,1,520
Cleffa,LV41,1,4,4,520
Cleffa,LV40.5,1,4,6,520
Cleffa,LV40,1,4,8,520
Cleffa,LV39.5,1,4,10,520
Cleffa,LV39,1,4,12,520
Cleffa,LV38.5,1,4,14,520
Cleffa,LV41.5,1,5,1,520
Cleffa,LV40,1,5,6,520
Cleffa,LV39.5,1,5,8,520
Cleffa,LV41,1,6,1,520
Cleffa,LV38.5,1,6,11,520
Cleffa,LV38,1,6,13,520
Cleffa,LV37.5,1,6,15,520
Cleffa,LV40.5,1,7,1,520
Cleffa,LV40,1,7,3,520
Cleffa,LV39.5,1,7,5,520
Cleffa,LV39,1,7,7,520
Cleffa,LV38.5,1,7,9,520
Cleffa,LV38,1,7,11,520
Cleffa,LV40,1,8,1,520
Cleffa,LV39.5,1,8,3,520
Cleffa,LV39,1,8,5,520
Cleffa,LV37,1,8,14,520
Cleffa,LV38,1,9,8,520
Cleffa,LV37.5,1,9,10,520
Cleffa,LV37,1,9,12,520
Cleffa,LV39.5,1,10,0,520
Cleffa,LV39,1,10,2,520
Cleffa,LV38.5,1,10,4,520
Cleffa,LV38,1,10,6,520
Cleffa,LV36,1,10,15,520
Cleffa,LV37,1,11,9,520
Cleffa,LV36.5,1,11,11,520
Cleffa,LV36,1,11,13,520
Cleffa,LV38.5,1,12,1,520
Cleffa,LV38,1,12,3,520
Cleffa,LV37.5,1,12,5,520
Cleffa,LV37,1,12,7,520
Cleffa,LV35.5,1,12,14,520
Cleffa,LV36.5,1,13,8,520
Cleffa,LV36,1,13,10,520
Cleffa,LV35.5,1,13,12,520
Cleffa,LV38,1,14,0,520
Cleffa,LV37.5,1,14,2,520
Cleffa,LV37,1,14,4,520
Cleffa,LV36.5,1,14,6,520
Cleffa,LV35,1,14,13,520
Cleffa,LV34.5,1,14,15,520
Cleffa,LV36,1,15,7,520
Cleffa,LV35.5,1,15,9,520
Cleffa,LV42.5,2,0,2,520
Cleffa,LV42,2,0,4,520
Cleffa,LV41.5,2,0,6,520
Cleffa,LV40,2,0,11,520
Cleffa,LV42,2,1,2,520
Cleffa,LV41.5,2,1,4,520
Cleffa,LV41,2,1,6,520
Cleffa,LV41.5,2,2,2,520
Cleffa,LV41,2,2,4,520
Cleffa,LV40.5,2,2,6,520
Cleffa,LV39,2,2,12,520
Cleffa,LV38.5,2,2,14,520
Cleffa,LV40.5,2,3,4,520
Cleffa,LV40,2,3,6,520
Cleffa,LV39.5,2,3,8,520
Cleffa,LV39,2,3,10,520
Cleffa,LV38.5,2,3,12,520
Cleffa,LV40,2,4,4,520
Cleffa,LV39.5,2,4,6,520
Cleffa,LV39,2,4,8,520
Cleffa,LV37.5,2,4,15,520
Cleffa,LV38,2,5,11,520
Cleffa,LV37.5,2,5,13,520
Cleffa,LV37,2,5,15,520
Cleffa,LV40,2,6,1,520
Cleffa,LV39.5,2,6,3,520
Cleffa,LV39,2,6,5,520
Cleffa,LV38.5,2,6,7,520
Cleffa,LV38,2,6,9,520
Cleffa,LV37.5,2,6,11,520
Cleffa,LV39.5,2,7,1,520
Cleffa,LV39,2,7,3,520
Cleffa,LV38.5,2,7,5,520
Cleffa,LV36.5,2,7,14,520
Cleffa,LV37.5,2,8,8,520
Cleffa,LV37,2,8,10,520
Cleffa,LV36.5,2,8,12,520
Cleffa,LV39,2,9,0,520
Cleffa,LV38.5,2,9,2,520
Cleffa,LV38,2,9,4,520
Cleffa,LV37.5,2,9,6,520
Cleffa,LV36,2,9,13,520
Cleffa,LV35.5,2,9,15,520
Cleffa,LV36.5,2,10,9,520
Cleffa,LV36,2,10,11,520
Cleffa,LV38,2,11,1,520
Cleffa,LV37.5,2,11,3,520
Cleffa,LV37,2,11,5,520
Cleffa,LV36.5,2,11,7,520
Cleffa,LV35,2,11,14,520
Cleffa,LV36,2,12,8,520
Cleffa,LV35.5,2,12,10,520
Cleffa,LV35,2,12,12,520
Cleffa,LV37.5,2,13,0,520
Cleffa,LV37,2,13,2,520
Cleffa,LV36.5,2,13,4,520
Cleffa,LV36,2,13,6,520
Cleffa,LV34.5,2,13,13,520
Cleffa,LV35.5,2,14,7,520
Cleffa,LV35,2,14,9,520
Cleffa,LV36.5,2,15,1,520
Cleffa,LV36,2,15,3,520
Cleffa,LV34.5,2,15,10,520
Cleffa,LV34,2,15,12,520
Cleffa,LV41.5,3,0,2,520
Cleffa,LV41,3,0,4,520
Cleffa,LV38.5,3,0,14,520
Cleffa,LV41,3,1,2,520
Cleffa,LV40.5,3,1,4,520
Cleffa,LV39.5,3,1,8,520
Cleffa,LV39,3,1,10,520
Cleffa,LV38.5,3,1,12,520
Cleffa,LV38,3,1,14,520
Cleffa,LV40.5,3,2,2,520
Cleffa,LV40,3,2,4,520
Cleffa,LV39.5,3,2,6,520
Cleffa,LV39,3,2,8,520
Cleffa,LV38.5,3,2,10,520
Cleffa,LV40,3,3,2,520
Cleffa,LV39.5,3,3,4,520
Cleffa,LV39,3,3,6,520
Cleffa,LV37,3,3,15,520
Cleffa,LV38,3,4,9,520
Cleffa,LV37.5,3,4,11,520
Cleffa,LV37,3,4,13,520
Cleffa,LV39.5,3,5,1,520
Cleffa,LV39,3,5,3,520
Cleffa,LV38.5,3,5,5,520
Cleffa,LV38,3,5,7,520
Cleffa,LV37.5,3,5,9,520
Cleffa,LV39,3,6,1,520
Cleffa,LV38.5,3,6,3,520
Cleffa,LV36.5,3,6,12,520
Cleffa,LV36,3,6,14,520
Cleffa,LV37.5,3,7,6,520
Cleffa,LV37,3,7,8,520
Cleffa,LV36.5,3,7,10,520
Cleffa,LV38.5,3,8,0,520
Cleffa,LV38,3,8,2,520
Cleffa,LV37.5,3,8,4,520
Cleffa,LV37,3,8,6,520
Cleffa,LV35.5,3,8,13,520
Cleffa,LV35,3,8,15,520
Cleffa,LV36.5,3,9,7,520
Cleffa,LV36,3,9,9,520
Cleffa,LV35.5,3,9,11,520
Cleffa,LV37.5,3,10,1,520
Cleffa,LV37,3,10,3,520
Cleffa,LV36.5,3,10,5,520
Cleffa,LV36,3,10,7,520
Cleffa,LV35,3,10,12,520
Cleffa,LV34.5,3,10,14,520
Cleffa,LV35.5,3,11,8,520
Cleffa,LV35,3,11,10,520
Cleffa,LV34,3,11,15,520
Cleffa,LV37,3,12,0,520
Cleffa,LV36.5,3,12,2,520
Cleffa,LV36,3,12,4,520
Cleffa,LV35.5,3,12,6,520
Cleffa,LV34.5,3,12,11,520
Cleffa,LV34,3,12,13,520
Cleffa,LV35,3,13,7,520
Cleffa,LV34.5,3,13,9,520
Cleffa,LV33.5,3,13,14,520
Cleffa,LV36,3,14,1,520
Cleffa,LV35.5,3,14,3,520
Cleffa,LV34,3,14,10,520
Cleffa,LV33.5,3,14,12,520
Cleffa,LV35,3,15,4,520
Cleffa,LV34.5,3,15,6,520
Cleffa,LV34,3,15,8,520
Cleffa,LV33,3,15,13,520
Cleffa,LV40.5,4,0,2,520
Cleffa,LV40,4,0,4,520
Cleffa,LV39.5,4,0,6,520
Cleffa,LV39,4,0,8,520
Cleffa,LV38.5,4,0,10,520
Cleffa,LV38,4,0,12,520
Cleffa,LV40,4,1,2,520
Cleffa,LV39.5,4,1,4,520
Cleffa,LV39,4,1,6,520
Cleffa,LV38.5,4,1,8,520
Cleffa,LV37,4,1,15,520
Cleffa,LV37.5,4,2,11,520
Cleffa,LV37,4,2,13,520
Cleffa,LV36.5,4,2,15,520
Cleffa,LV38,4,3,7,520
Cleffa,LV37.5,4,3,9,520
Cleffa,LV37,4,3,11,520
Cleffa,LV39,4,4,1,520
Cleffa,LV38.5,4,4,3,520
Cleffa,LV38,4,4,5,520
Cleffa,LV37.5,4,4,7,520
Cleffa,LV36,4,4,14,520
Cleffa,LV36.5,4,5,10,520
Cleffa,LV36,4,5,12,520
Cleffa,LV37.5,4,6,4,520
Cleffa,LV37,4,6,6,520
Cleffa,LV36.5,4,6,8,520
Cleffa,LV36,4,6,10,520
Cleffa,LV35,4,6,15,520
Cleffa,LV38,4,7,0,520
Cleffa,LV37.5,4,7,2,520
Cleffa,LV37,4,7,4,520
Cleffa,LV35.5,4,7,11,520
Cleffa,LV35,4,7,13,520
Cleffa,LV36,4,8,7,520
Cleffa,LV35.5,4,8,9,520
Cleffa,LV37,4,9,1,520
Cleffa,LV36.5,4,9,3,520
Cleffa,LV36,4,9,5,520
Cleffa,LV34.5,4,9,12,520
Cleffa,LV34,4,9,14,520
Cleffa,LV35.5,4,10,6,520
Cleffa,LV35,4,10,8,520
Cleffa,LV34.5,4,10,10,520
Cleffa,LV33.5,4,10,15,520
Cleffa,LV36.5,4,11,0,520
Cleffa,LV36,4,11,2,520
Cleffa,LV35.5,4,11,4,520
Cleffa,LV34,4,11,11,520
Cleffa,LV33.5,4,11,13,520
Cleffa,LV35,4,12,5,520
Cleffa,LV34.5,4,12,7,520
Cleffa,LV34,4,12,9,520
Cleffa,LV33,4,12,14,520
Cleffa,LV35.5,4,13,1,520
Cleffa,LV33.5,4,13,10,520
Cleffa,LV32.5,4,13,15,520
Cleffa,LV35,4,14,2,520
Cleffa,LV34.5,4,14,4,520
Cleffa,LV34,4,14,6,520
Cleffa,LV32.5,4,14,13,520
Cleffa,LV33.5,4,15,7,520
Cleffa,LV33,4,15,9,520
Cleffa,LV32,4,15,14,520
Cleffa,LV37.5,5,0,11,520
Cleffa,LV37,5,0,13,520
Cleffa,LV36.5,5,0,15,520
Cleffa,LV38,5,1,7,520
Cleffa,LV37.5,5,1,9,520
Cleffa,LV37,5,1,11,520
Cleffa,LV39,5,2,1,520
Cleffa,LV38.5,5,2,3,520
Cleffa,LV38,5,2,5,520
Cleffa,LV37.5,5,2,7,520
Cleffa,LV37,5,2,9,520
Cleffa,LV38.5,5,3,1,520
Cleffa,LV38,5,3,3,520
Cleffa,LV36,5,3,12,520
Cleffa,LV35.5,5,3,14,520
Cleffa,LV36.5,5,4,8,520
Cleffa,LV36,5,4,10,520
Cleffa,LV38,5,5,0,520
Cleffa,LV37.5,5,5,2,520
Cleffa,LV37,5,5,4,520
Cleffa,LV36.5,5,5,6,520
Cleffa,LV35,5,5,13,520
Cleffa,LV34.5,5,5,15,520
Cleffa,LV35.5,5,6,9,520
Cleffa,LV35,5,6,11,520
Cleffa,LV36.5,5,7,3,520
Cleffa,LV36,5,7,5,520
Cleffa,LV35.5,5,7,7,520
Cleffa,LV34,5,7,14,520
Cleffa,LV36.5,5,8,1,520
Cleffa,LV34.5,5,8,10,520
Cleffa,LV34,5,8,12,520
Cleffa,LV35.5,5,9,4,520
Cleffa,LV35,5,9,6,520
Cleffa,LV34.5,5,9,8,520
Cleffa,LV33.5,5,9,13,520
Cleffa,LV33,5,9,15,520
Cleffa,LV36,5,10,0,520
Cleffa,LV35.5,5,10,2,520
Cleffa,LV34,5,10,9,520
Cleffa,LV33.5,5,10,11,520
Cleffa,LV35,5,11,3,520
Cleffa,LV34.5,5,11,5,520
Cleffa,LV34,5,11,7,520
Cleffa,LV33,5,11,12,520
Cleffa,LV32.5,5,11,14,520
Cleffa,LV33.5,5,12,8,520
Cleffa,LV33,5,12,10,520
Cleffa,LV32,5,12,15,520
Cleffa,LV35,5,13,0,520
Cleffa,LV34.5,5,13,2,520
Cleffa,LV34,5,13,4,520
Cleffa,LV32.5,5,13,11,520
Cleffa,LV33.5,5,14,5,520
Cleffa,LV33,5,14,7,520
Cleffa,LV32,5,14,12,520
Cleffa,LV31.5,5,14,14,520
Cleffa,LV34,5,15,1,520
Cleffa,LV32.5,5,15,8,520
Cleffa,LV32,5,15,10,520
Cleffa,LV31,5,15,15,520
Cleffa,LV39,6,0,1,520
Cleffa,LV38.5,6,0,3,520
Cleffa,LV38,6,0,5,520
Cleffa,LV37.5,6,0,7,520
Cleffa,LV37,6,0,9,520
Cleffa,LV36,6,0,14,520
Cleffa,LV38.5,6,1,1,520
Cleffa,LV38,6,1,3,520
Cleffa,LV36,6,1,12,520
Cleffa,LV35.5,6,1,14,520
Cleffa,LV36.5,6,2,8,520
Cleffa,LV36,6,2,10,520
Cleffa,LV35.5,6,2,12,520
Cleffa,LV38,6,3,0,520
Cleffa,LV37.5,6,3,2,520
Cleffa,LV37,6,3,4,520
Cleffa,LV36.5,6,3,6,520
Cleffa,LV36,6,3,8,520
Cleffa,LV34.5,6,3,15,520
Cleffa,LV37.5,6,4,0,520
Cleffa,LV37,6,4,2,520
Cleffa,LV35,6,4,11,520
Cleffa,LV34.5,6,4,13,520
Cleffa,LV36,6,5,5,520
Cleffa,LV35.5,6,5,7,520
Cleffa,LV35,6,5,9,520
Cleffa,LV34,6,5,14,520
Cleffa,LV36.5,6,6,1,520
Cleffa,LV36,6,6,3,520
Cleffa,LV35.5,6,6,5,520
Cleffa,LV34,6,6,12,520
Cleffa,LV35,6,7,6,520
Cleffa,LV34.5,6,7,8,520
Cleffa,LV34,6,7,10,520
Cleffa,LV33,6,7,15,520
Cleffa,LV36,6,8,0,520
Cleffa,LV35.5,6,8,2,520
Cleffa,LV35,6,8,4,520
Cleffa,LV33.5,6,8,11,520
Cleffa,LV33,6,8,13,520
Cleffa,LV34,6,9,7,520
Cleffa,LV33.5,6,9,9,520
Cleffa,LV32.5,6,9,14,520
Cleffa,LV35,6,10,1,520
Cleffa,LV34.5,6,10,3,520
Cleffa,LV34,6,10,5,520
Cleffa,LV33,6,10,10,520
Cleffa,LV32.5,6,10,12,520
Cleffa,LV33.5,6,11,6,520
Cleffa,LV33,6,11,8,520
Cleffa,LV32,6,11,13,520
Cleffa,LV34.5,6,12,0,520
Cleffa,LV34,6,12,2,520
Cleffa,LV32.5,6,12,9,520
Cleffa,LV32,6,12,11,520
Cleffa,LV33.5,6,13,3,520
Cleffa,LV33,6,13,5,520
Cleffa,LV31.5,6,13,12,520
Cleffa,LV32.5,6,14,6,520
Cleffa,LV32,6,14,8,520
Cleffa,LV31,6,14,13,520
Cleffa,LV33.5,6,15,0,520
Cleffa,LV33,6,15,2,520
Cleffa,LV32.5,6,15,4,520
Cleffa,LV31.5,6,15,9,520
Cleffa,LV31,6,15,11,520
Cleffa,LV30.5,6,15,14,520
Cleffa,LV36.5,7,0,8,520
Cleffa,LV36,7,0,10,520
Cleffa,LV38,7,1,0,520
Cleffa,LV37.5,7,1,2,520
Cleffa,LV37,7,1,4,520
Cleffa,LV36.5,7,1,6,520
Cleffa,LV36,7,1,8,520
Cleffa,LV35,7,1,13,520
Cleffa,LV34.5,7,1,15,520
Cleffa,LV37.5,7,2,0,520
Cleffa,LV37,7,2,2,520
Cleffa,LV35,7,2,11,520
Cleffa,LV34.5,7,2,13,520
Cleffa,LV35.5,7,3,7,520
Cleffa,LV35,7,3,9,520
Cleffa,LV36.5,7,4,1,520
Cleffa,LV36,7,4,3,520
Cleffa,LV35.5,7,4,5,520
Cleffa,LV34,7,4,12,520
Cleffa,LV33.5,7,4,14,520
Cleffa,LV34.5,7,5,8,520
Cleffa,LV34,7,5,10,520
Cleffa,LV33,7,5,15,520
Cleffa,LV35.5,7,6,2,520
Cleffa,LV35,7,6,4,520
Cleffa,LV34.5,7,6,6,520
Cleffa,LV33,7,6,13,520
Cleffa,LV35.5,7,7,0,520
Cleffa,LV33.5,7,7,9,520
Cleffa,LV33,7,7,11,520
Cleffa,LV34.5,7,8,3,520
Cleffa,LV34,7,8,5,520
Cleffa,LV33.5,7,8,7,520
Cleffa,LV32.5,7,8,12,520
Cleffa,LV34.5,7,9,1,520
Cleffa,LV33,7,9,8,520
Cleffa,LV32.5,7,9,10,520
Cleffa,LV31.5,7,9,15,520
Cleffa,LV34,7,10,2,520
Cleffa,LV33.5,7,10,4,520
Cleffa,LV33,7,10,6,520
Cleffa,LV32,7,10,11,520
Cleffa,LV32.5,7,11,7,520
Cleffa,LV32,7,11,9,520
Cleffa,LV31,7,11,14,520
Cleffa,LV33.5,7,12,1,520
Cleffa,LV33,7,12,3,520
Cleffa,LV31.5,7,12,10,520
Cleffa,LV30.5,7,12,15,520
Cleffa,LV32.5,7,13,4,520
Cleffa,LV32,7,13,6,520
Cleffa,LV31,7,13,11,520
Cleffa,LV30.5,7,13,13,520
Cleffa,LV33,7,14,0,520
Cleffa,LV31.5,7,14,7,520
Cleffa,LV31,7,14,9,520
Cleffa,LV30,7,14,14,520
Cleffa,LV32.5,7,15,1,520
Cleffa,LV32,7,15,3,520
Cleffa,LV30.5,7,15,10,520
Cleffa,LV37.5,8,0,0,520
Cleffa,LV35.5,8,0,9,520
Cleffa,LV35,8,0,11,520
Cleffa,LV36,8,1,5,520
Cleffa,LV35.5,8,1,7,520
Cleffa,LV35,8,1,9,520
Cleffa,LV34,8,1,14,520
Cleffa,LV36.5,8,2,1,520
Cleffa,LV36,8,2,3,520
Cleffa,LV35.5,8,2,5,520
Cleffa,LV34,8,2,12,520
Cleffa,LV33.5,8,2,14,520
Cleffa,LV34.5,8,3,8,520
Cleffa,LV34,8,3,10,520
Cleffa,LV33,8,3,15,520
Cleffa,LV35,8,4,4,520
Cleffa,LV34.5,8,4,6,520
Cleffa,LV33,8,4,13,520
Cleffa,LV35.5,8,5,0,520
Cleffa,LV35,8,5,2,520
Cleffa,LV33.5,8,5,9,520
Cleffa,LV33,8,5,11,520
Cleffa,LV34,8,6,5,520
Cleffa,LV33.5,8,6,7,520
Cleffa,LV32.5,8,6,12,520
Cleffa,LV32,8,6,14,520
Cleffa,LV34.5,8,7,1,520
Cleffa,LV34,8,7,3,520
Cleffa,LV32.5,8,7,10,520
Cleffa,LV31.5,8,7,15,520
Cleffa,LV33.5,8,8,4,520
Cleffa,LV33,8,8,6,520
Cleffa,LV31.5,8,8,13,520
Cleffa,LV34,8,9,0,520
Cleffa,LV33.5,8,9,2,520
Cleffa,LV32,8,9,9,520
Cleffa,LV31,8,9,14,520
Cleffa,LV33,8,10,3,520
Cleffa,LV32.5,8,10,5,520
Cleffa,LV31.5,8,10,10,520
Cleffa,LV31,8,10,12,520
Cleffa,LV32,8,11,6,520
Cleffa,LV31.5,8,11,8,520
Cleffa,LV30.5,8,11,13,520
Cleffa,LV33,8,12,0,520
Cleffa,LV32.5,8,12,2,520
Cleffa,LV32,8,12,4,520
Cleffa,LV31,8,12,9,520
Cleffa,LV30,8,12,14,520
Cleffa,LV31.5,8,13,5,520
Cleffa,LV30,8,13,12,520
Cleffa,LV32,8,14,1,520
Cleffa,LV31,8,14,6,520
Cleffa,LV30.5,8,14,8,520
Cleffa,LV31.5,8,15,2,520
Cleffa,LV31,8,15,4,520
Cleffa,LV30,8,15,9,520
Cleffa,LV29.5,8,15,14,520
Cleffa,LV36.5,9,0,1,520
