Name,Level,Attack_IV,Defense_IV,HP_IV,CP
Cloyster,LV8,0,4,15,520
Cloyster,LV8,0,6,14,520
Cloyster,LV8,0,7,13,520
Cloyster,LV8,0,9,12,520
Cloyster,LV8,0,11,11,520
Cloyster,LV8,0,13,10,520
Cloyster,LV8,0,15,9,520
Cloyster,LV8,1,1,15,520
Cloyster,LV8,1,3,14,520
Cloyster,LV8,1,5,13,520
Cloyster,LV8,1,6,12,520
Cloyster,LV8,1,8,11,520
Cloyster,LV8,1,10,10,520
Cloyster,LV8,1,12,9,520
Cloyster,LV8,1,13,8,520
Cloyster,LV8,1,14,8,520
Cloyster,LV8,1,15,7,520
Cloyster,LV8,2,0,14,520
Cloyster,LV8,2,2,13,520
Cloyster,LV8,2,3,12,520
Cloyster,LV8,2,5,11,520
Cloyster,LV8,2,7,10,520
Cloyster,LV8,2,9,9,520
Cloyster,LV8,2,11,8,520
Cloyster,LV8,2,12,7,520
Cloyster,LV8,2,13,7,520
Cloyster,LV8,2,14,6,520
Cloyster,LV8,3,1,12,520
Cloyster,LV8,3,2,11,520
Cloyster,LV8,3,4,10,520
Cloyster,LV8,3,6,9,520
Cloyster,LV8,3,8,8,520
Cloyster,LV8,3,10,7,520
Cloyster,LV8,3,12,6,520
Cloyster,LV8,3,13,5,520
Cloyster,LV8,3,15,4,520
Cloyster,LV8,4,0,11,520
Cloyster,LV8,4,2,10,520
Cloyster,LV8,4,3,9,520
Cloyster,LV8,4,5,8,520
Cloyster,LV8,4,7,7,520
Cloyster,LV8,4,9,6,520
Cloyster,LV8,4,11,5,520
Cloyster,LV8,4,12,4,520
Cloyster,LV8,4,14,3,520
Cloyster,LV8,5,1,9,520
Cloyster,LV8,5,2,8,520
Cloyster,LV8,5,4,7,520
Cloyster,LV8,5,6,6,520
Cloyster,LV8,5,8,5,520
Cloyster,LV8,5,10,4,520
Cloyster,LV8,5,12,3,520
Cloyster,LV8,5,13,2,520
Cloyster,LV8,5,14,2,520
Cloyster,LV8,5,15,1,520
Cloyster,LV8,6,0,8,520
Cloyster,LV8,6,1,7,520
Cloyster,LV8,6,3,6,520
Cloyster,LV8,6,5,5,520
Cloyster,LV8,6,7,4,520
Cloyster,LV8,6,9,3,520
Cloyster,LV8,6,11,2,520
Cloyster,LV8,6,13,1,520
Cloyster,LV8,6,15,0,520
Cloyster,LV8,7,1,6,520
Cloyster,LV8,7,2,5,520
Cloyster,LV8,7,4,4,520
Cloyster,LV8,7,6,3,520
Cloyster,LV8,7,8,2,520
Cloyster,LV8,7,10,1,520
Cloyster,LV8,7,12,0,520
Cloyster,LV8,8,0,5,520
Cloyster,LV8,8,2,4,520
Cloyster,LV8,8,3,3,520
Cloyster,LV8,8,5,2,520
Cloyster,LV8,8,7,1,520
Cloyster,LV8,8,9,0,520
Cloyster,LV8,9,1,3,520
Cloyster,LV8,9,3,2,520
Cloyster,LV8,9,4,1,520
Cloyster,LV8,9,6,0,520
Cloyster,LV8,10,0,2,520
Cloyster,LV8,10,2,1,520
Cloyster,LV8,10,4,0,520
Cloyster,LV7.5,10,13,15,520
Cloyster,LV7.5,10,15,14,520
Cloyster,LV8,11,1,0,520
Cloyster,LV7.5,11,10,15,520
Cloyster,LV7.5,11,12,14,520
Cloyster,LV7.5,11,14,13,520
Cloyster,LV7.5,11,15,12,520
Cloyster,LV7.5,12,7,15,520
Cloyster,LV7.5,12,9,14,520
Cloyster,LV7.5,12,11,13,520
Cloyster,LV7.5,12,13,12,520
Cloyster,LV7.5,12,15,11,520
Cloyster,LV7.5,13,5,15,520
Cloyster,LV7.5,13,6,14,520
Cloyster,LV7.5,13,7,14,520
Cloyster,LV7.5,13,8,13,520
Cloyster,LV7.5,13,10,12,520
Cloyster,LV7.5,13,12,11,520
Cloyster,LV7.5,13,14,10,520
Cloyster,LV7.5,13,15,9,520
Cloyster,LV7.5,14,2,15,520
Cloyster,LV7.5,14,4,14,520
Cloyster,LV7.5,14,6,13,520
Cloyster,LV7.5,14,7,12,520
Cloyster,LV7.5,14,9,11,520
Cloyster,LV7.5,14,11,10,520
Cloyster,LV7.5,14,13,9,520
Cloyster,LV7.5,14,15,8,520
Cloyster,LV7.5,15,0,15,520
Cloyster,LV7.5,15,1,14,520
Cloyster,LV7.5,15,3,13,520
Cloyster,LV7.5,15,5,12,520
Cloyster,LV7.5,15,7,11,520
Cloyster,LV7.5,15,8,10,520
Cloyster,LV7.5,15,10,9,520
Cloyster,LV7.5,15,12,8,520
Cloyster,LV7.5,15,14,7,520
