Name,Level,Attack_IV,Defense_IV,HP_IV,CP
Combee,LV49.5,11,13,15,520
Combee,LV49,11,14,15,520
Combee,LV50,11,15,11,520
Combee,LV49,11,15,14,520
Combee,LV50,12,9,15,520
Combee,LV50,12,10,14,520
Combee,LV49.5,12,11,14,520
Combee,LV49.5,12,12,13,520
Combee,LV49,12,12,14,520
Combee,LV49,12,13,13,520
Combee,LV50,12,14,9,520
Combee,LV49,12,14,12,520
Combee,LV48.5,12,14,13,520
Combee,LV50,12,15,8,520
Combee,LV48.5,12,15,12,520
Combee,LV47.5,12,15,15,520
Combee,LV50,13,8,13,520
Combee,LV50,13,9,12,520
Combee,LV49.5,13,10,12,520
Combee,LV48.5,13,10,15,520
Combee,LV49.5,13,11,11,520
Combee,LV49,13,11,12,520
Combee,LV48,13,11,15,520
Combee,LV49,13,12,11,520
Combee,LV47.5,13,12,15,520
Combee,LV50,13,13,7,520
Combee,LV49,13,13,10,520
Combee,LV48.5,13,13,11,520
Combee,LV47.5,13,13,14,520
Combee,LV50,13,14,6,520
Combee,LV48.5,13,14,10,520
Combee,LV47,13,14,14,520
Combee,LV50,13,15,5,520
Combee,LV48.5,13,15,9,520
Combee,LV48,13,15,10,520
Combee,LV47,13,15,13,520
Combee,LV50,14,4,15,520
Combee,LV50,14,5,14,520
Combee,LV49.5,14,6,14,520
Combee,LV49,14,7,14,520
Combee,LV50,14,8,10,520
Combee,LV48.5,14,8,14,520
Combee,LV50,14,9,9,520
Combee,LV49.5,14,9,10,520
Combee,LV48.5,14,9,13,520
Combee,LV49.5,14,10,9,520
Combee,LV48,14,10,13,520
Combee,LV49,14,11,9,520
Combee,LV48,14,11,12,520
Combee,LV47.5,14,11,13,520
Combee,LV49,14,12,8,520
Combee,LV47.5,14,12,12,520
Combee,LV48.5,14,13,8,520
Combee,LV47,14,13,12,520
Combee,LV46,14,13,15,520
Combee,LV50,14,14,3,520
Combee,LV48.5,14,14,7,520
Combee,LV47,14,14,11,520
Combee,LV45.5,14,14,15,520
Combee,LV50,14,15,2,520
Combee,LV48.5,14,15,6,520
Combee,LV48,14,15,7,520
Combee,LV47,14,15,10,520
Combee,LV46.5,14,15,11,520
Combee,LV45.5,14,15,14,520
Combee,LV50,15,4,12,520
Combee,LV49,15,4,15,520
Combee,LV49.5,15,5,12,520
Combee,LV48.5,15,5,15,520
Combee,LV49.5,15,6,11,520
Combee,LV49,15,6,12,520
Combee,LV48,15,6,15,520
Combee,LV49,15,7,11,520
Combee,LV47.5,15,7,15,520
Combee,LV50,15,8,7,520
Combee,LV48.5,15,8,11,520
Combee,LV47.5,15,8,14,520
Combee,LV47,15,8,15,520
Combee,LV50,15,9,6,520
Combee,LV49.5,15,9,7,520
Combee,LV48.5,15,9,10,520
Combee,LV48,15,9,11,520
Combee,LV47,15,9,14,520
Combee,LV49.5,15,10,6,520
Combee,LV48,15,10,10,520
Combee,LV46.5,15,10,14,520
Combee,LV49.5,15,11,5,520
Combee,LV49,15,11,6,520
Combee,LV47.5,15,11,10,520
Combee,LV46.5,15,11,13,520
Combee,LV49,15,12,5,520
Combee,LV47.5,15,12,9,520
Combee,LV46,15,12,13,520
Combee,LV49,15,13,4,520
Combee,LV48.5,15,13,5,520
Combee,LV47,15,13,9,520
Combee,LV46,15,13,12,520
Combee,LV45.5,15,13,13,520
Combee,LV48.5,15,14,4,520
Combee,LV47,15,14,8,520
Combee,LV45.5,15,14,12,520
Combee,LV44.5,15,14,15,520
Combee,LV48.5,15,15,3,520
Combee,LV47,15,15,7,520
Combee,LV46.5,15,15,8,520
Combee,LV45.5,15,15,11,520
Combee,LV44,15,15,15,520
