Name,Level,Attack_IV,Defense_IV,HP_IV,CP
Comfey,LV10,0,0,6,520
Comfey,LV10,0,2,5,520
Comfey,LV10,0,3,4,520
Comfey,LV10,0,5,3,520
Comfey,LV10,0,8,1,520
Comfey,LV10,0,10,0,520
Comfey,LV9.5,0,11,15,520
Comfey,LV9.5,0,14,13,520
Comfey,LV10,1,1,4,520
Comfey,LV10,1,2,3,520
Comfey,LV10,1,4,2,520
Comfey,LV10,1,5,1,520
Comfey,LV10,1,7,0,520
Comfey,LV9.5,1,8,15,520
Comfey,LV9.5,1,10,14,520
Comfey,LV9.5,1,11,13,520
Comfey,LV9.5,1,13,12,520
Comfey,LV9.5,1,14,11,520
Comfey,LV10,2,0,3,520
Comfey,LV10,2,1,2,520
Comfey,LV10,2,3,1,520
Comfey,LV10,2,4,0,520
Comfey,LV9.5,2,6,15,520
Comfey,LV9.5,2,7,14,520
Comfey,LV9.5,2,10,12,520
Comfey,LV9.5,2,13,10,520
Comfey,LV9.5,2,15,9,520
Comfey,LV10,3,0,1,520
Comfey,LV10,3,2,0,520
Comfey,LV9.5,3,3,15,520
Comfey,LV9.5,3,6,13,520
Comfey,LV9.5,3,7,12,520
Comfey,LV9.5,3,9,11,520
Comfey,LV9.5,3,10,10,520
Comfey,LV9.5,3,12,9,520
Comfey,LV9.5,3,13,8,520
Comfey,LV9.5,3,15,7,520
Comfey,LV9.5,4,2,14,520
Comfey,LV9.5,4,3,13,520
Comfey,LV9.5,4,5,12,520
Comfey,LV9.5,4,6,11,520
Comfey,LV9.5,4,8,10,520
Comfey,LV9.5,4,9,9,520
Comfey,LV9.5,4,11,8,520
Comfey,LV9.5,4,12,7,520
Comfey,LV9.5,4,14,6,520
Comfey,LV9.5,4,15,5,520
Comfey,LV9.5,5,1,13,520
Comfey,LV9.5,5,2,12,520
Comfey,LV9.5,5,4,11,520
Comfey,LV9.5,5,5,10,520
Comfey,LV9.5,5,8,8,520
Comfey,LV9.5,5,10,7,520
Comfey,LV9.5,5,11,6,520
Comfey,LV9.5,5,13,5,520
Comfey,LV9.5,5,14,4,520
Comfey,LV9.5,6,0,12,520
Comfey,LV9.5,6,1,11,520
Comfey,LV9.5,6,4,9,520
Comfey,LV9.5,6,7,7,520
Comfey,LV9.5,6,10,5,520
Comfey,LV9.5,6,12,4,520
Comfey,LV9.5,6,13,3,520
Comfey,LV9.5,6,15,2,520
Comfey,LV9.5,7,0,10,520
Comfey,LV9.5,7,3,8,520
Comfey,LV9.5,7,4,7,520
Comfey,LV9.5,7,6,6,520
Comfey,LV9.5,7,9,4,520
Comfey,LV9.5,7,11,3,520
Comfey,LV9.5,7,12,2,520
Comfey,LV9.5,7,14,1,520
Comfey,LV9.5,8,0,8,520
Comfey,LV9.5,8,2,7,520
Comfey,LV9.5,8,3,6,520
Comfey,LV9.5,8,5,5,520
Comfey,LV9.5,8,8,3,520
Comfey,LV9.5,8,11,1,520
Comfey,LV9.5,8,13,0,520
Comfey,LV9.5,9,1,6,520
Comfey,LV9.5,9,2,5,520
Comfey,LV9.5,9,4,4,520
Comfey,LV9.5,9,7,2,520
Comfey,LV9.5,9,9,1,520
Comfey,LV9.5,9,10,0,520
Comfey,LV9,9,13,15,520
Comfey,LV9.5,10,0,5,520
Comfey,LV9.5,10,1,4,520
Comfey,LV9.5,10,3,3,520
Comfey,LV9.5,10,6,1,520
Comfey,LV9.5,10,8,0,520
Comfey,LV9,10,10,15,520
Comfey,LV9,10,12,14,520
Comfey,LV9,10,13,13,520
Comfey,LV9,10,15,12,520
Comfey,LV9.5,11,2,2,520
Comfey,LV9.5,11,5,0,520
Comfey,LV9,11,8,15,520
Comfey,LV9,11,9,14,520
Comfey,LV9,11,11,13,520
Comfey,LV9,11,12,12,520
Comfey,LV9,11,14,11,520
Comfey,LV9,11,15,10,520
Comfey,LV9.5,12,1,1,520
Comfey,LV9.5,12,3,0,520
Comfey,LV9,12,5,15,520
Comfey,LV9,12,7,14,520
Comfey,LV9,12,8,13,520
Comfey,LV9,12,10,12,520
Comfey,LV9,12,11,11,520
Comfey,LV9,12,13,10,520
Comfey,LV9,12,14,9,520
Comfey,LV9.5,13,0,0,520
Comfey,LV9,13,3,15,520
Comfey,LV9,13,4,14,520
Comfey,LV9,13,6,13,520
Comfey,LV9,13,7,12,520
Comfey,LV9,13,9,11,520
Comfey,LV9,13,10,10,520
Comfey,LV9,13,12,9,520
Comfey,LV9,13,13,8,520
Comfey,LV9,13,15,7,520
Comfey,LV9,14,0,15,520
Comfey,LV9,14,2,14,520
Comfey,LV9,14,3,13,520
Comfey,LV9,14,5,12,520
Comfey,LV9,14,6,11,520
Comfey,LV9,14,8,10,520
Comfey,LV9,14,9,9,520
Comfey,LV9,14,11,8,520
Comfey,LV9,14,12,7,520
Comfey,LV9,14,14,6,520
Comfey,LV9,14,15,5,520
Comfey,LV9,15,1,13,520
Comfey,LV9,15,2,12,520
Comfey,LV9,15,4,11,520
Comfey,LV9,15,5,10,520
Comfey,LV9,15,7,9,520
Comfey,LV9,15,8,8,520
Comfey,LV9,15,10,7,520
Comfey,LV9,15,11,6,520
Comfey,LV9,15,13,5,520
Comfey,LV9,15,14,4,520
