Name,Level,Attack_IV,Defense_IV,HP_IV,CP
Corphish,LV18.5,0,1,0,520
Corphish,LV18,0,1,7,520
Corphish,LV18,0,2,6,520
Corphish,LV17.5,0,3,12,520
Corphish,LV18,0,4,3,520
Corphish,LV18,0,5,2,520
Corphish,LV18,0,6,1,520
Corphish,LV17.5,0,6,8,520
Corphish,LV17.5,0,7,7,520
Corphish,LV17,0,9,12,520
Corphish,LV17.5,0,10,3,520
Corphish,LV17,0,10,11,520
Corphish,LV17.5,0,11,2,520
Corphish,LV17.5,0,12,1,520
Corphish,LV17,0,13,7,520
Corphish,LV17,0,14,6,520
Corphish,LV16.5,0,14,14,520
Corphish,LV17,0,15,5,520
Corphish,LV16.5,0,15,13,520
Corphish,LV17.5,1,0,14,520
Corphish,LV18,1,1,5,520
Corphish,LV17.5,1,1,13,520
Corphish,LV18,1,2,4,520
Corphish,LV17.5,1,3,10,520
Corphish,LV17.5,1,4,9,520
Corphish,LV18,1,5,0,520
Corphish,LV17.5,1,6,6,520
Corphish,LV17,1,6,14,520
Corphish,LV17.5,1,7,5,520
Corphish,LV17.5,1,8,4,520
Corphish,LV17,1,9,10,520
Corphish,LV17,1,10,9,520
Corphish,LV17,1,14,4,520
Corphish,LV16.5,1,14,12,520
Corphish,LV17,1,15,3,520
Corphish,LV16.5,1,15,11,520
Corphish,LV17.5,2,0,12,520
Corphish,LV17.5,2,1,11,520
Corphish,LV18,2,2,2,520
Corphish,LV18,2,3,1,520
Corphish,LV17.5,2,3,8,520
Corphish,LV17.5,2,4,7,520
Corphish,LV17,2,4,15,520
Corphish,LV17,2,6,12,520
Corphish,LV17.5,2,7,3,520
Corphish,LV17,2,7,11,520
Corphish,LV17.5,2,8,2,520
Corphish,LV17.5,2,9,1,520
Corphish,LV17,2,10,7,520
Corphish,LV16.5,2,10,15,520
Corphish,LV17,2,11,6,520
Corphish,LV16.5,2,11,14,520
Corphish,LV16.5,2,14,10,520
Corphish,LV16.5,2,15,9,520
Corphish,LV18,3,0,3,520
Corphish,LV17.5,3,1,9,520
Corphish,LV17,3,3,14,520
Corphish,LV17.5,3,4,5,520
Corphish,LV17,3,4,13,520
Corphish,LV17.5,3,5,4,520
Corphish,LV17,3,6,10,520
Corphish,LV17,3,7,9,520
Corphish,LV17.5,3,8,0,520
Corphish,LV17,3,10,5,520
Corphish,LV16.5,3,10,13,520
Corphish,LV17,3,11,4,520
Corphish,LV16.5,3,11,12,520
Corphish,LV17,3,12,3,520
