Name,Level,Attack_IV,Defense_IV,HP_IV,CP
Crawdaunt,LV8.5,0,1,7,520
Crawdaunt,LV8.5,0,2,6,520
Crawdaunt,LV8.5,0,3,5,520
Crawdaunt,LV8.5,0,4,4,520
Crawdaunt,LV8.5,0,5,3,520
Crawdaunt,LV8.5,1,0,7,520
Crawdaunt,LV8.5,1,1,6,520
Crawdaunt,LV8.5,1,5,1,520
Crawdaunt,LV8.5,1,6,0,520
Crawdaunt,LV8,1,12,15,520
Crawdaunt,LV8,1,13,14,520
Crawdaunt,LV8,1,14,13,520
Crawdaunt,LV8,1,15,12,520
Crawdaunt,LV8.5,2,2,3,520
Crawdaunt,LV8.5,2,3,2,520
Crawdaunt,LV8.5,2,4,1,520
Crawdaunt,LV8.5,2,5,0,520
Crawdaunt,LV8,2,11,15,520
Crawdaunt,LV8,2,12,14,520
Crawdaunt,LV8.5,3,0,4,520
Crawdaunt,LV8.5,3,1,3,520
Crawdaunt,LV8.5,3,2,2,520
Crawdaunt,LV8,3,12,12,520
Crawdaunt,LV8,3,13,11,520
Crawdaunt,LV8,3,14,10,520
Crawdaunt,LV8,3,15,9,520
Crawdaunt,LV8,4,8,15,520
Crawdaunt,LV8,4,9,14,520
Crawdaunt,LV8,4,10,13,520
Crawdaunt,LV8,4,11,12,520
Crawdaunt,LV8,4,12,11,520
Crawdaunt,LV8.5,5,0,1,520
Crawdaunt,LV8.5,5,1,0,520
Crawdaunt,LV8,5,7,15,520
Crawdaunt,LV8,5,8,14,520
Crawdaunt,LV8,5,11,10,520
Crawdaunt,LV8,5,12,9,520
Crawdaunt,LV8,5,13,8,520
Crawdaunt,LV8,5,14,7,520
Crawdaunt,LV8,5,15,6,520
Crawdaunt,LV8.5,6,0,0,520
Crawdaunt,LV8,6,8,12,520
Crawdaunt,LV8,6,9,11,520
Crawdaunt,LV8,6,10,10,520
Crawdaunt,LV8,6,11,9,520
Crawdaunt,LV8,6,12,8,520
Crawdaunt,LV8,7,5,14,520
Crawdaunt,LV8,7,6,13,520
Crawdaunt,LV8,7,7,12,520
Crawdaunt,LV8,7,8,11,520
Crawdaunt,LV8,7,12,6,520
Crawdaunt,LV8,7,13,5,520
Crawdaunt,LV8,7,14,4,520
Crawdaunt,LV8,7,15,3,520
Crawdaunt,LV8,8,3,15,520
Crawdaunt,LV8,8,4,14,520
Crawdaunt,LV8,8,5,13,520
Crawdaunt,LV8,8,8,9,520
Crawdaunt,LV8,8,9,8,520
Crawdaunt,LV8,8,10,7,520
Crawdaunt,LV8,8,11,6,520
Crawdaunt,LV8,8,12,5,520
Crawdaunt,LV8,8,13,4,520
Crawdaunt,LV8,8,14,3,520
Crawdaunt,LV8,8,15,2,520
Crawdaunt,LV8,9,2,15,520
Crawdaunt,LV8,9,5,11,520
Crawdaunt,LV8,9,6,10,520
Crawdaunt,LV8,9,7,9,520
Crawdaunt,LV8,9,8,8,520
Crawdaunt,LV8,9,9,7,520
Crawdaunt,LV8,10,2,13,520
Crawdaunt,LV8,10,3,12,520
Crawdaunt,LV8,10,4,11,520
Crawdaunt,LV8,10,5,10,520
Crawdaunt,LV8,10,9,5,520
Crawdaunt,LV8,10,10,4,520
Crawdaunt,LV8,10,11,3,520
Crawdaunt,LV8,10,12,2,520
Crawdaunt,LV8,10,13,1,520
Crawdaunt,LV8,10,14,0,520
Crawdaunt,LV8,11,0,14,520
Crawdaunt,LV8,11,1,13,520
Crawdaunt,LV8,11,2,12,520
Crawdaunt,LV8,11,6,7,520
Crawdaunt,LV8,11,7,6,520
Crawdaunt,LV8,11,8,5,520
Crawdaunt,LV8,11,9,4,520
Crawdaunt,LV8,11,10,3,520
Crawdaunt,LV8,11,11,2,520
Crawdaunt,LV8,12,0,13,520
Crawdaunt,LV8,12,3,9,520
Crawdaunt,LV8,12,4,8,520
Crawdaunt,LV8,12,5,7,520
Crawdaunt,LV8,12,6,6,520
Crawdaunt,LV8,13,1,10,520
Crawdaunt,LV8,13,2,9,520
Crawdaunt,LV8,13,3,8,520
Crawdaunt,LV8,13,7,3,520
Crawdaunt,LV8,13,8,2,520
Crawdaunt,LV8,13,9,1,520
Crawdaunt,LV8,13,10,0,520
Crawdaunt,LV8,14,0,10,520
Crawdaunt,LV8,14,1,9,520
Crawdaunt,LV8,14,4,5,520
Crawdaunt,LV8,14,5,4,520
Crawdaunt,LV8,14,6,3,520
Crawdaunt,LV8,14,7,2,520
Crawdaunt,LV8,14,8,1,520
Crawdaunt,LV8,14,9,0,520
Crawdaunt,LV8,15,1,7,520
Crawdaunt,LV8,15,2,6,520
Crawdaunt,LV8,15,3,5,520
Crawdaunt,LV8,15,4,4,520
Crawdaunt,LV8,15,5,3,520
Crawdaunt,LV7.5,15,15,15,520
