Name,Level,Attack_IV,Defense_IV,HP_IV,CP
Crobat,LV8,0,0,6,520
Crobat,LV8,0,1,5,520
Crobat,LV8,0,2,4,520
Crobat,LV8,1,0,4,520
Crobat,LV8,1,1,3,520
Crobat,LV8,1,2,2,520
Crobat,LV8,2,0,2,520
Crobat,LV8,2,1,1,520
Crobat,LV8,2,2,0,520
Crobat,LV7.5,2,14,15,520
Crobat,LV7.5,2,15,14,520
Crobat,LV8,3,0,0,520
Crobat,LV7.5,3,12,15,520
Crobat,LV7.5,3,13,14,520
Crobat,LV7.5,3,14,13,520
Crobat,LV7.5,4,10,15,520
Crobat,LV7.5,4,11,14,520
Crobat,LV7.5,4,12,13,520
Crobat,LV7.5,4,13,12,520
Crobat,LV7.5,5,8,15,520
Crobat,LV7.5,5,9,14,520
Crobat,LV7.5,5,10,13,520
Crobat,LV7.5,5,11,12,520
Crobat,LV7.5,5,12,11,520
Crobat,LV7.5,5,15,7,520
Crobat,LV7.5,6,6,15,520
Crobat,LV7.5,6,7,14,520
Crobat,LV7.5,6,8,13,520
Crobat,LV7.5,6,9,12,520
Crobat,LV7.5,6,10,11,520
Crobat,LV7.5,6,11,10,520
Crobat,LV7.5,6,14,6,520
Crobat,LV7.5,6,15,5,520
Crobat,LV7.5,7,5,14,520
Crobat,LV7.5,7,6,13,520
Crobat,LV7.5,7,7,12,520
Crobat,LV7.5,7,8,11,520
Crobat,LV7.5,7,9,10,520
Crobat,LV7.5,7,10,9,520
Crobat,LV7.5,7,14,4,520
Crobat,LV7.5,7,15,3,520
Crobat,LV7.5,8,4,13,520
Crobat,LV7.5,8,5,12,520
Crobat,LV7.5,8,6,11,520
Crobat,LV7.5,8,7,10,520
Crobat,LV7.5,8,8,9,520
Crobat,LV7.5,8,9,8,520
Crobat,LV7.5,8,10,7,520
Crobat,LV7.5,8,14,2,520
Crobat,LV7.5,8,15,1,520
Crobat,LV7.5,9,1,15,520
Crobat,LV7.5,9,2,14,520
Crobat,LV7.5,9,4,11,520
Crobat,LV7.5,9,5,10,520
Crobat,LV7.5,9,6,9,520
Crobat,LV7.5,9,7,8,520
Crobat,LV7.5,9,8,7,520
Crobat,LV7.5,9,9,6,520
Crobat,LV7.5,10,0,14,520
Crobat,LV7.5,10,1,13,520
Crobat,LV7.5,10,3,10,520
Crobat,LV7.5,10,4,9,520
Crobat,LV7.5,10,5,8,520
Crobat,LV7.5,10,6,7,520
Crobat,LV7.5,10,7,6,520
Crobat,LV7.5,10,8,5,520
Crobat,LV7.5,10,9,4,520
Crobat,LV7.5,10,10,3,520
Crobat,LV7.5,11,0,12,520
Crobat,LV7.5,11,1,11,520
Crobat,LV7.5,11,3,8,520
Crobat,LV7.5,11,4,7,520
Crobat,LV7.5,11,5,6,520
Crobat,LV7.5,11,6,5,520
Crobat,LV7.5,11,7,4,520
Crobat,LV7.5,11,8,3,520
Crobat,LV7.5,11,9,2,520
Crobat,LV7.5,11,10,1,520
Crobat,LV7.5,11,11,0,520
Crobat,LV7.5,12,0,10,520
Crobat,LV7.5,12,1,9,520
Crobat,LV7.5,12,3,6,520
Crobat,LV7.5,12,4,5,520
Crobat,LV7.5,12,5,4,520
Crobat,LV7.5,12,6,3,520
Crobat,LV7.5,12,7,2,520
Crobat,LV7.5,12,8,1,520
Crobat,LV7.5,12,9,0,520
Crobat,LV7.5,13,0,8,520
Crobat,LV7.5,13,1,7,520
Crobat,LV7.5,13,4,3,520
Crobat,LV7.5,13,5,2,520
Crobat,LV7.5,13,6,1,520
Crobat,LV7.5,13,7,0,520
Crobat,LV7.5,14,0,6,520
Crobat,LV7.5,14,1,5,520
Crobat,LV7.5,14,4,1,520
Crobat,LV7.5,14,5,0,520
Crobat,LV7.5,15,0,4,520
Crobat,LV7.5,15,1,3,520
Crobat,LV7.5,15,2,2,520
