Name,Level,Attack_IV,Defense_IV,HP_IV,CP
Cryogonal,LV7.5,0,2,8,520
Cryogonal,LV7.5,0,3,7,520
Cryogonal,LV7.5,0,4,6,520
Cryogonal,LV7.5,0,5,5,520
Cryogonal,LV7.5,0,6,4,520
Cryogonal,LV7.5,0,7,3,520
Cryogonal,LV7.5,0,10,1,520
Cryogonal,LV7.5,0,11,0,520
Cryogonal,LV7.5,1,0,7,520
Cryogonal,LV7.5,1,3,5,520
Cryogonal,LV7.5,1,4,4,520
Cryogonal,LV7.5,1,5,3,520
Cryogonal,LV7.5,1,6,2,520
Cryogonal,LV7.5,1,7,1,520
Cryogonal,LV7.5,2,0,5,520
Cryogonal,LV7.5,2,3,3,520
Cryogonal,LV7.5,2,4,2,520
Cryogonal,LV7.5,2,5,1,520
Cryogonal,LV7.5,2,6,0,520
Cryogonal,LV7.5,3,0,3,520
Cryogonal,LV7.5,3,3,1,520
Cryogonal,LV7.5,3,4,0,520
Cryogonal,LV7.5,4,0,1,520
Cryogonal,LV7,6,13,15,520
Cryogonal,LV7,7,11,15,520
Cryogonal,LV7,7,12,14,520
Cryogonal,LV7,7,13,13,520
Cryogonal,LV7,7,14,12,520
Cryogonal,LV7,8,9,15,520
Cryogonal,LV7,8,10,14,520
Cryogonal,LV7,8,11,13,520
Cryogonal,LV7,8,12,12,520
Cryogonal,LV7,8,13,11,520
Cryogonal,LV7,8,14,10,520
Cryogonal,LV7,9,6,15,520
Cryogonal,LV7,9,9,13,520
Cryogonal,LV7,9,10,12,520
Cryogonal,LV7,9,11,11,520
Cryogonal,LV7,9,12,10,520
Cryogonal,LV7,9,13,9,520
Cryogonal,LV7,9,14,8,520
Cryogonal,LV7,10,4,15,520
Cryogonal,LV7,10,5,14,520
Cryogonal,LV7,10,6,13,520
Cryogonal,LV7,10,9,11,520
Cryogonal,LV7,10,10,10,520
Cryogonal,LV7,10,11,9,520
Cryogonal,LV7,10,12,8,520
Cryogonal,LV7,10,13,7,520
Cryogonal,LV7,10,14,6,520
Cryogonal,LV7,11,2,15,520
Cryogonal,LV7,11,3,14,520
Cryogonal,LV7,11,4,13,520
Cryogonal,LV7,11,5,12,520
Cryogonal,LV7,11,6,11,520
Cryogonal,LV7,11,9,9,520
Cryogonal,LV7,11,10,8,520
Cryogonal,LV7,11,11,7,520
Cryogonal,LV7,11,12,6,520
Cryogonal,LV7,11,13,5,520
Cryogonal,LV7,11,14,4,520
Cryogonal,LV7,12,0,15,520
Cryogonal,LV7,12,1,14,520
Cryogonal,LV7,12,2,13,520
Cryogonal,LV7,12,3,12,520
Cryogonal,LV7,12,4,11,520
Cryogonal,LV7,12,5,10,520
Cryogonal,LV7,12,6,9,520
Cryogonal,LV7,12,9,7,520
Cryogonal,LV7,12,10,6,520
Cryogonal,LV7,12,11,5,520
Cryogonal,LV7,12,12,4,520
Cryogonal,LV7,12,13,3,520
Cryogonal,LV7,13,0,13,520
Cryogonal,LV7,13,1,12,520
Cryogonal,LV7,13,2,11,520
Cryogonal,LV7,13,3,10,520
Cryogonal,LV7,13,4,9,520
Cryogonal,LV7,13,5,8,520
Cryogonal,LV7,13,6,7,520
Cryogonal,LV7,13,9,5,520
Cryogonal,LV7,13,10,4,520
Cryogonal,LV7,13,11,3,520
Cryogonal,LV7,13,12,2,520
Cryogonal,LV7,13,15,0,520
Cryogonal,LV7,14,0,11,520
Cryogonal,LV7,14,1,10,520
Cryogonal,LV7,14,2,9,520
Cryogonal,LV7,14,3,8,520
Cryogonal,LV7,14,4,7,520
Cryogonal,LV7,14,5,6,520
Cryogonal,LV7,14,8,4,520
Cryogonal,LV7,14,9,3,520
Cryogonal,LV7,14,10,2,520
Cryogonal,LV7,14,11,1,520
Cryogonal,LV7,14,12,0,520
Cryogonal,LV7,15,0,9,520
Cryogonal,LV7,15,1,8,520
Cryogonal,LV7,15,2,7,520
Cryogonal,LV7,15,3,6,520
Cryogonal,LV7,15,4,5,520
Cryogonal,LV7,15,7,3,520
Cryogonal,LV7,15,8,2,520
Cryogonal,LV7,15,9,1,520
Cryogonal,LV7,15,10,0,520
