Name,Level,Attack_IV,Defense_IV,HP_IV,CP
Cubone,LV23,0,0,1,520
Cubone,LV22.5,0,0,7,520
Cubone,LV23,0,1,0,520
Cubone,LV22.5,0,1,6,520
Cubone,LV22.5,0,2,5,520
Cubone,LV22.5,0,3,4,520
Cubone,LV22.5,0,4,3,520
Cubone,LV22.5,0,5,2,520
Cubone,LV22,0,8,6,520
Cubone,LV22,0,9,5,520
Cubone,LV22,0,10,4,520
Cubone,LV22,0,11,3,520
Cubone,LV22,0,12,2,520
Cubone,LV22,0,13,1,520
Cubone,LV21.5,0,13,8,520
Cubone,LV21.5,0,14,7,520
Cubone,LV21,0,14,14,520
Cubone,LV21.5,0,15,6,520
Cubone,LV21,0,15,13,520
Cubone,LV22.5,1,0,4,520
Cubone,LV22.5,1,1,3,520
Cubone,LV22.5,1,2,2,520
Cubone,LV21.5,1,2,15,520
Cubone,LV22.5,1,3,1,520
Cubone,LV21.5,1,3,14,520
Cubone,LV22.5,1,4,0,520
Cubone,LV21.5,1,4,13,520
Cubone,LV21.5,1,5,12,520
Cubone,LV21.5,1,6,11,520
Cubone,LV21.5,1,7,10,520
Cubone,LV21.5,1,8,9,520
Cubone,LV22,1,9,2,520
Cubone,LV21.5,1,9,8,520
Cubone,LV21,1,9,15,520
Cubone,LV22,1,10,1,520
Cubone,LV21,1,10,14,520
Cubone,LV22,1,11,0,520
Cubone,LV21.5,1,15,3,520
Cubone,LV22.5,2,0,1,520
Cubone,LV22,2,0,7,520
Cubone,LV21.5,2,0,14,520
Cubone,LV22.5,2,1,0,520
Cubone,LV22,2,1,6,520
Cubone,LV21.5,2,1,13,520
Cubone,LV22,2,2,5,520
Cubone,LV21.5,2,2,12,520
Cubone,LV21.5,2,3,11,520
Cubone,LV21.5,2,4,10,520
Cubone,LV21.5,2,5,9,520
Cubone,LV21.5,2,6,8,520
Cubone,LV21,2,6,15,520
Cubone,LV21.5,2,7,7,520
Cubone,LV21,2,7,14,520
Cubone,LV21.5,2,8,6,520
Cubone,LV21,2,8,13,520
Cubone,LV21.5,2,9,5,520
Cubone,LV21,2,9,12,520
Cubone,LV21.5,2,10,4,520
Cubone,LV21,2,10,11,520
Cubone,LV21,2,11,10,520
Cubone,LV21,2,12,9,520
Cubone,LV21,2,13,8,520
Cubone,LV21,2,14,7,520
Cubone,LV21.5,2,15,0,520
Cubone,LV22,3,0,4,520
Cubone,LV21.5,3,0,11,520
Cubone,LV22,3,1,3,520
Cubone,LV21.5,3,1,10,520
Cubone,LV22,3,2,2,520
Cubone,LV21.5,3,2,9,520
Cubone,LV22,3,3,1,520
Cubone,LV21.5,3,3,8,520
Cubone,LV21,3,3,15,520
Cubone,LV21.5,3,4,7,520
Cubone,LV21,3,4,14,520
Cubone,LV21.5,3,5,6,520
Cubone,LV21.5,3,6,5,520
Cubone,LV21.5,3,7,4,520
Cubone,LV21,3,7,11,520
Cubone,LV21.5,3,8,3,520
Cubone,LV21,3,8,10,520
Cubone,LV21.5,3,9,2,520
Cubone,LV21,3,9,9,520
Cubone,LV21.5,3,10,1,520
Cubone,LV21,3,10,8,520
Cubone,LV20.5,3,10,15,520
Cubone,LV21,3,11,7,520
Cubone,LV20.5,3,11,14,520
Cubone,LV21,3,12,6,520
Cubone,LV20.5,3,12,13,520
Cubone,LV21,3,13,5,520
Cubone,LV20.5,3,13,12,520
Cubone,LV21,3,14,4,520
Cubone,LV20.5,3,14,11,520
Cubone,LV20.5,3,15,10,520
Cubone,LV22,4,0,1,520
Cubone,LV22,4,1,0,520
Cubone,LV21.5,4,4,4,520
Cubone,LV21.5,4,5,3,520
Cubone,LV21.5,4,6,2,520
Cubone,LV21.5,4,7,1,520
Cubone,LV20.5,4,7,15,520
