Name,Level,Attack_IV,Defense_IV,HP_IV,CP
Cursola,LV6.5,0,15,15,520
Cursola,LV7,1,0,0,520
Cursola,LV6.5,1,13,15,520
Cursola,LV6.5,1,14,14,520
Cursola,LV6.5,2,13,14,520
Cursola,LV6.5,2,14,13,520
Cursola,LV6.5,2,15,12,520
Cursola,LV6.5,3,10,15,520
Cursola,LV6.5,3,11,14,520
Cursola,LV6.5,3,12,13,520
Cursola,LV6.5,3,15,11,520
Cursola,LV6.5,4,10,14,520
Cursola,LV6.5,4,11,13,520
Cursola,LV6.5,4,12,12,520
Cursola,LV6.5,4,13,11,520
Cursola,LV6.5,4,14,10,520
Cursola,LV6.5,5,7,15,520
Cursola,LV6.5,5,8,14,520
Cursola,LV6.5,5,9,13,520
Cursola,LV6.5,5,12,11,520
Cursola,LV6.5,5,13,10,520
Cursola,LV6.5,5,14,9,520
Cursola,LV6.5,5,15,8,520
Cursola,LV6.5,6,7,14,520
Cursola,LV6.5,6,8,13,520
Cursola,LV6.5,6,9,12,520
Cursola,LV6.5,6,10,11,520
Cursola,LV6.5,6,11,10,520
Cursola,LV6.5,6,14,8,520
Cursola,LV6.5,6,15,7,520
Cursola,LV6.5,7,4,15,520
Cursola,LV6.5,7,5,14,520
Cursola,LV6.5,7,9,11,520
Cursola,LV6.5,7,10,10,520
Cursola,LV6.5,7,11,9,520
Cursola,LV6.5,7,12,8,520
Cursola,LV6.5,8,3,15,520
Cursola,LV6.5,8,4,14,520
Cursola,LV6.5,8,5,13,520
Cursola,LV6.5,8,6,12,520
Cursola,LV6.5,8,7,11,520
Cursola,LV6.5,8,11,8,520
Cursola,LV6.5,8,12,7,520
Cursola,LV6.5,8,13,6,520
Cursola,LV6.5,8,14,5,520
Cursola,LV6.5,9,5,12,520
Cursola,LV6.5,9,6,11,520
Cursola,LV6.5,9,7,10,520
Cursola,LV6.5,9,8,9,520
Cursola,LV6.5,9,9,8,520
Cursola,LV6.5,9,13,5,520
Cursola,LV6.5,9,14,4,520
Cursola,LV6.5,9,15,3,520
Cursola,LV6.5,10,0,15,520
Cursola,LV6.5,10,1,14,520
Cursola,LV6.5,10,2,13,520
Cursola,LV6.5,10,3,12,520
Cursola,LV6.5,10,4,11,520
Cursola,LV6.5,10,8,8,520
Cursola,LV6.5,10,9,7,520
Cursola,LV6.5,10,10,6,520
Cursola,LV6.5,10,11,5,520
Cursola,LV6.5,10,14,3,520
Cursola,LV6.5,10,15,2,520
Cursola,LV6.5,11,0,14,520
Cursola,LV6.5,11,1,13,520
Cursola,LV6.5,11,2,12,520
Cursola,LV6.5,11,3,11,520
Cursola,LV6.5,11,4,10,520
Cursola,LV6.5,11,5,9,520
Cursola,LV6.5,11,6,8,520
Cursola,LV6.5,11,9,6,520
Cursola,LV6.5,11,10,5,520
Cursola,LV6.5,11,11,4,520
Cursola,LV6.5,11,12,3,520
Cursola,LV6.5,11,15,1,520
Cursola,LV6.5,12,3,10,520
Cursola,LV6.5,12,4,9,520
Cursola,LV6.5,12,5,8,520
Cursola,LV6.5,12,6,7,520
Cursola,LV6.5,12,7,6,520
Cursola,LV6.5,12,11,3,520
Cursola,LV6.5,12,12,2,520
Cursola,LV6.5,12,13,1,520
Cursola,LV6.5,13,0,11,520
Cursola,LV6.5,13,1,10,520
Cursola,LV6.5,13,5,7,520
Cursola,LV6.5,13,6,6,520
Cursola,LV6.5,13,7,5,520
Cursola,LV6.5,13,8,4,520
Cursola,LV6.5,13,12,1,520
Cursola,LV6.5,13,13,0,520
Cursola,LV6.5,14,0,10,520
Cursola,LV6.5,14,1,9,520
Cursola,LV6.5,14,2,8,520
Cursola,LV6.5,14,3,7,520
Cursola,LV6.5,14,7,4,520
Cursola,LV6.5,14,8,3,520
Cursola,LV6.5,14,9,2,520
Cursola,LV6.5,14,12,0,520
Cursola,LV6.5,15,0,9,520
Cursola,LV6.5,15,1,8,520
Cursola,LV6.5,15,2,7,520
Cursola,LV6.5,15,3,6,520
Cursola,LV6.5,15,4,5,520
Cursola,LV6.5,15,8,2,520
Cursola,LV6.5,15,9,1,520
Cursola,LV6.5,15,10,0,520
