Name,Level,Attack_IV,Defense_IV,HP_IV,CP
Darmanitan Galarian Form Standard Mode,LV6.5,0,13,11,520
Darmanitan Galarian Form Standard Mode,LV6.5,0,14,9,520
Darmanitan Galarian Form Standard Mode,LV6.5,0,15,7,520
Darmanitan Galarian Form Standard Mode,LV6.5,1,10,15,520
Darmanitan Galarian Form Standard Mode,LV6.5,1,11,13,520
Darmanitan Galarian Form Standard Mode,LV6.5,1,12,11,520
Darmanitan Galarian Form Standard Mode,LV6.5,1,13,9,520
Darmanitan Galarian Form Standard Mode,LV6.5,1,14,7,520
Darmanitan Galarian Form Standard Mode,LV6.5,1,15,5,520
Darmanitan Galarian Form Standard Mode,LV6.5,2,9,15,520
Darmanitan Galarian Form Standard Mode,LV6.5,2,10,13,520
Darmanitan Galarian Form Standard Mode,LV6.5,2,11,11,520
Darmanitan Galarian Form Standard Mode,LV6.5,2,12,9,520
Darmanitan Galarian Form Standard Mode,LV6.5,2,13,7,520
Darmanitan Galarian Form Standard Mode,LV6.5,2,14,5,520
Darmanitan Galarian Form Standard Mode,LV6.5,2,15,3,520
Darmanitan Galarian Form Standard Mode,LV6.5,3,8,15,520
Darmanitan Galarian Form Standard Mode,LV6.5,3,9,13,520
Darmanitan Galarian Form Standard Mode,LV6.5,3,10,11,520
Darmanitan Galarian Form Standard Mode,LV6.5,3,11,9,520
Darmanitan Galarian Form Standard Mode,LV6.5,3,12,7,520
Darmanitan Galarian Form Standard Mode,LV6.5,3,13,5,520
Darmanitan Galarian Form Standard Mode,LV6.5,3,14,3,520
Darmanitan Galarian Form Standard Mode,LV6.5,3,15,1,520
Darmanitan Galarian Form Standard Mode,LV6.5,4,7,15,520
Darmanitan Galarian Form Standard Mode,LV6.5,4,8,13,520
Darmanitan Galarian Form Standard Mode,LV6.5,4,9,11,520
Darmanitan Galarian Form Standard Mode,LV6.5,4,10,9,520
Darmanitan Galarian Form Standard Mode,LV6.5,4,11,7,520
Darmanitan Galarian Form Standard Mode,LV6.5,4,12,5,520
Darmanitan Galarian Form Standard Mode,LV6.5,4,13,3,520
Darmanitan Galarian Form Standard Mode,LV6.5,4,15,0,520
Darmanitan Galarian Form Standard Mode,LV6.5,5,6,15,520
Darmanitan Galarian Form Standard Mode,LV6.5,5,7,13,520
Darmanitan Galarian Form Standard Mode,LV6.5,5,8,11,520
Darmanitan Galarian Form Standard Mode,LV6.5,5,9,9,520
Darmanitan Galarian Form Standard Mode,LV6.5,5,10,7,520
Darmanitan Galarian Form Standard Mode,LV6.5,5,11,5,520
Darmanitan Galarian Form Standard Mode,LV6.5,5,12,3,520
