Name,Level,Attack_IV,Defense_IV,HP_IV,CP
Deoxys Defense Form,LV9.5,0,1,1,520
Deoxys Defense Form,LV9.5,0,3,0,520
Deoxys Defense Form,LV9.5,0,4,0,520
Deoxys Defense Form,LV9,0,7,15,520
Deoxys Defense Form,LV9,0,9,14,520
Deoxys Defense Form,LV9,0,10,14,520
Deoxys Defense Form,LV9,0,12,13,520
Deoxys Defense Form,LV9,0,14,12,520
Deoxys Defense Form,LV9,1,2,15,520
Deoxys Defense Form,LV9,1,3,15,520
Deoxys Defense Form,LV9,1,5,14,520
Deoxys Defense Form,LV9,1,7,13,520
Deoxys Defense Form,LV9,1,9,12,520
Deoxys Defense Form,LV9,1,11,11,520
Deoxys Defense Form,LV9,1,12,11,520
Deoxys Defense Form,LV9,1,14,10,520
Deoxys Defense Form,LV9,2,0,14,520
Deoxys Defense Form,LV9,2,2,13,520
Deoxys Defense Form,LV9,2,3,13,520
Deoxys Defense Form,LV9,2,5,12,520
Deoxys Defense Form,LV9,2,7,11,520
Deoxys Defense Form,LV9,2,9,10,520
Deoxys Defense Form,LV9,2,11,9,520
Deoxys Defense Form,LV9,2,12,9,520
Deoxys Defense Form,LV9,2,14,8,520
Deoxys Defense Form,LV9,3,0,12,520
Deoxys Defense Form,LV9,3,2,11,520
Deoxys Defense Form,LV9,3,4,10,520
Deoxys Defense Form,LV9,3,5,10,520
Deoxys Defense Form,LV9,3,7,9,520
Deoxys Defense Form,LV9,3,9,8,520
Deoxys Defense Form,LV9,3,11,7,520
Deoxys Defense Form,LV9,3,12,7,520
Deoxys Defense Form,LV9,3,14,6,520
Deoxys Defense Form,LV9,4,0,10,520
Deoxys Defense Form,LV9,4,2,9,520
Deoxys Defense Form,LV9,4,5,8,520
Deoxys Defense Form,LV9,4,7,7,520
Deoxys Defense Form,LV9,4,9,6,520
Deoxys Defense Form,LV9,4,12,5,520
Deoxys Defense Form,LV9,4,14,4,520
Deoxys Defense Form,LV9,5,0,8,520
Deoxys Defense Form,LV9,5,2,7,520
Deoxys Defense Form,LV9,5,3,7,520
Deoxys Defense Form,LV9,5,5,6,520
Deoxys Defense Form,LV9,5,7,5,520
Deoxys Defense Form,LV9,5,9,4,520
Deoxys Defense Form,LV9,5,10,4,520
Deoxys Defense Form,LV9,5,12,3,520
Deoxys Defense Form,LV9,5,14,2,520
Deoxys Defense Form,LV9,5,15,2,520
Deoxys Defense Form,LV9,6,0,6,520
Deoxys Defense Form,LV9,6,3,5,520
Deoxys Defense Form,LV9,6,5,4,520
Deoxys Defense Form,LV9,6,7,3,520
Deoxys Defense Form,LV9,6,8,3,520
Deoxys Defense Form,LV9,6,10,2,520
Deoxys Defense Form,LV9,6,12,1,520
Deoxys Defense Form,LV9,6,15,0,520
Deoxys Defense Form,LV9,7,0,4,520
Deoxys Defense Form,LV9,7,1,4,520
Deoxys Defense Form,LV9,7,3,3,520
Deoxys Defense Form,LV9,7,5,2,520
Deoxys Defense Form,LV9,7,6,2,520
Deoxys Defense Form,LV9,7,8,1,520
Deoxys Defense Form,LV9,7,10,0,520
Deoxys Defense Form,LV9,8,1,2,520
