Name,Level,Attack_IV,Defense_IV,HP_IV,CP
Dhelmise,LV7,0,12,4,520
Dhelmise,LV7,0,13,3,520
Dhelmise,LV7,0,14,2,520
Dhelmise,LV7,0,15,1,520
Dhelmise,LV7,1,0,14,520
Dhelmise,LV7,1,1,13,520
Dhelmise,LV7,1,2,12,520
Dhelmise,LV7,1,3,11,520
Dhelmise,LV7,1,4,10,520
Dhelmise,LV7,1,5,9,520
Dhelmise,LV7,1,6,8,520
Dhelmise,LV7,1,7,7,520
Dhelmise,LV7,1,8,6,520
Dhelmise,LV7,1,9,5,520
Dhelmise,LV7,1,10,4,520
Dhelmise,LV7,1,11,3,520
Dhelmise,LV7,1,12,2,520
Dhelmise,LV7,1,13,1,520
Dhelmise,LV7,2,0,12,520
Dhelmise,LV7,2,1,11,520
Dhelmise,LV7,2,2,10,520
Dhelmise,LV7,2,3,9,520
Dhelmise,LV7,2,4,8,520
Dhelmise,LV7,2,5,7,520
Dhelmise,LV7,2,6,6,520
Dhelmise,LV7,2,12,1,520
Dhelmise,LV7,2,13,0,520
Dhelmise,LV7,3,0,11,520
Dhelmise,LV7,3,1,10,520
Dhelmise,LV7,3,2,9,520
Dhelmise,LV7,3,3,8,520
Dhelmise,LV7,3,4,7,520
Dhelmise,LV7,3,5,6,520
Dhelmise,LV7,3,6,5,520
Dhelmise,LV7,3,7,4,520
Dhelmise,LV7,3,8,3,520
Dhelmise,LV7,3,9,2,520
Dhelmise,LV7,3,10,1,520
Dhelmise,LV7,3,11,0,520
Dhelmise,LV7,4,0,9,520
Dhelmise,LV7,4,1,8,520
Dhelmise,LV7,4,2,7,520
Dhelmise,LV7,4,3,6,520
Dhelmise,LV7,4,4,5,520
Dhelmise,LV7,4,5,4,520
Dhelmise,LV7,4,6,3,520
Dhelmise,LV7,5,0,8,520
Dhelmise,LV7,5,1,7,520
Dhelmise,LV7,5,2,6,520
Dhelmise,LV7,5,3,5,520
Dhelmise,LV7,5,4,4,520
Dhelmise,LV7,5,5,3,520
Dhelmise,LV7,5,6,2,520
Dhelmise,LV7,5,7,1,520
Dhelmise,LV7,5,8,0,520
Dhelmise,LV7,6,0,6,520
Dhelmise,LV7,6,1,5,520
Dhelmise,LV7,6,2,4,520
Dhelmise,LV7,6,3,3,520
Dhelmise,LV7,6,4,2,520
Dhelmise,LV7,6,5,1,520
Dhelmise,LV7,7,0,5,520
Dhelmise,LV7,7,1,4,520
Dhelmise,LV7,7,2,3,520
Dhelmise,LV7,7,3,2,520
Dhelmise,LV7,7,4,1,520
Dhelmise,LV7,7,5,0,520
Dhelmise,LV7,8,0,3,520
Dhelmise,LV7,8,1,2,520
Dhelmise,LV7,8,2,1,520
Dhelmise,LV7,9,0,2,520
Dhelmise,LV7,9,1,1,520
Dhelmise,LV7,9,2,0,520
Dhelmise,LV6.5,10,15,15,520
Dhelmise,LV6.5,11,13,15,520
Dhelmise,LV6.5,11,14,14,520
Dhelmise,LV6.5,11,15,13,520
Dhelmise,LV6.5,12,13,14,520
Dhelmise,LV6.5,12,14,13,520
Dhelmise,LV6.5,12,15,12,520
Dhelmise,LV6.5,13,10,15,520
Dhelmise,LV6.5,13,11,14,520
Dhelmise,LV6.5,13,12,13,520
Dhelmise,LV6.5,13,13,12,520
Dhelmise,LV6.5,13,14,11,520
Dhelmise,LV6.5,13,15,10,520
Dhelmise,LV6.5,14,13,11,520
Dhelmise,LV6.5,14,14,10,520
Dhelmise,LV6.5,14,15,9,520
Dhelmise,LV6.5,15,7,15,520
Dhelmise,LV6.5,15,8,14,520
Dhelmise,LV6.5,15,9,13,520
Dhelmise,LV6.5,15,10,12,520
Dhelmise,LV6.5,15,11,11,520
Dhelmise,LV6.5,15,12,10,520
Dhelmise,LV6.5,15,13,9,520
Dhelmise,LV6.5,15,14,8,520
Dhelmise,LV6.5,15,15,7,520
