Name,Level,Attack_IV,Defense_IV,HP_IV,CP
Diggersby,LV14.5,0,0,10,520
Diggersby,LV14.5,0,1,9,520
Diggersby,LV14.5,0,3,6,520
Diggersby,LV14.5,0,4,5,520
Diggersby,LV14.5,0,6,2,520
Diggersby,LV14.5,0,7,1,520
Diggersby,LV14.5,0,8,0,520
Diggersby,LV14,0,8,14,520
Diggersby,LV14,0,9,13,520
Diggersby,LV14,0,10,12,520
Diggersby,LV14,0,12,9,520
Diggersby,LV14,0,13,8,520
Diggersby,LV14,0,14,7,520
Diggersby,LV14.5,1,1,5,520
Diggersby,LV14.5,1,2,4,520
Diggersby,LV14.5,1,4,1,520
Diggersby,LV14.5,1,5,0,520
Diggersby,LV14,1,6,13,520
Diggersby,LV14,1,7,12,520
Diggersby,LV14,1,9,9,520
Diggersby,LV14,1,10,8,520
Diggersby,LV14,1,11,7,520
Diggersby,LV14,1,13,4,520
Diggersby,LV14,1,14,3,520
Diggersby,LV14,1,15,2,520
Diggersby,LV14.5,2,0,3,520
Diggersby,LV14.5,2,2,0,520
Diggersby,LV14,2,2,15,520
Diggersby,LV14,2,3,13,520
Diggersby,LV14,2,4,12,520
Diggersby,LV14,2,5,11,520
Diggersby,LV14,2,7,8,520
Diggersby,LV14,2,8,7,520
Diggersby,LV14,2,9,6,520
Diggersby,LV14,2,10,4,520
Diggersby,LV14,2,11,3,520
Diggersby,LV14,2,12,2,520
Diggersby,LV14,2,13,1,520
Diggersby,LV13.5,2,15,13,520
Diggersby,LV14,3,0,14,520
Diggersby,LV14,3,1,12,520
Diggersby,LV14,3,2,11,520
Diggersby,LV14,3,3,10,520
Diggersby,LV14,3,4,8,520
Diggersby,LV14,3,5,7,520
Diggersby,LV14,3,6,6,520
Diggersby,LV14,3,8,3,520
Diggersby,LV14,3,9,2,520
Diggersby,LV14,3,10,1,520
Diggersby,LV14,3,11,0,520
Diggersby,LV13.5,3,12,13,520
Diggersby,LV13.5,3,13,12,520
Diggersby,LV13.5,3,14,11,520
Diggersby,LV14,4,0,10,520
Diggersby,LV14,4,1,9,520
Diggersby,LV14,4,3,6,520
Diggersby,LV14,4,4,5,520
Diggersby,LV14,4,6,2,520
Diggersby,LV14,4,7,1,520
Diggersby,LV14,4,8,0,520
Diggersby,LV13.5,4,8,15,520
Diggersby,LV13.5,4,10,12,520
Diggersby,LV13.5,4,11,11,520
Diggersby,LV13.5,4,12,10,520
Diggersby,LV13.5,4,14,7,520
Diggersby,LV13.5,4,15,6,520
Diggersby,LV14,5,1,5,520
Diggersby,LV14,5,2,4,520
Diggersby,LV14,5,3,3,520
Diggersby,LV14,5,4,1,520
Diggersby,LV14,5,5,0,520
Diggersby,LV13.5,5,5,15,520
Diggersby,LV13.5,5,6,14,520
Diggersby,LV13.5,5,8,11,520
Diggersby,LV13.5,5,9,10,520
Diggersby,LV13.5,5,10,9,520
Diggersby,LV13.5,5,11,7,520
Diggersby,LV13.5,5,12,6,520
Diggersby,LV13.5,5,13,5,520
Diggersby,LV13.5,5,14,4,520
Diggersby,LV14,6,0,3,520
Diggersby,LV14,6,1,2,520
Diggersby,LV13.5,6,3,14,520
Diggersby,LV13.5,6,4,13,520
Diggersby,LV13.5,6,6,10,520
Diggersby,LV13.5,6,7,9,520
Diggersby,LV13.5,6,8,8,520
Diggersby,LV13.5,6,9,6,520
Diggersby,LV13.5,6,10,5,520
Diggersby,LV13.5,6,11,4,520
Diggersby,LV13.5,6,12,3,520
Diggersby,LV13.5,6,14,0,520
Diggersby,LV13,6,15,15,520
Diggersby,LV14,7,0,0,520
Diggersby,LV13.5,7,0,15,520
Diggersby,LV13.5,7,1,13,520
Diggersby,LV13.5,7,2,12,520
Diggersby,LV13.5,7,4,9,520
Diggersby,LV13.5,7,5,8,520
Diggersby,LV13.5,7,6,7,520
Diggersby,LV13.5,7,8,4,520
Diggersby,LV13.5,7,9,3,520
Diggersby,LV13.5,7,10,2,520
Diggersby,LV13,7,12,15,520
Diggersby,LV13,7,14,12,520
Diggersby,LV13,7,15,11,520
Diggersby,LV13.5,8,0,11,520
Diggersby,LV13.5,8,1,10,520
Diggersby,LV13.5,8,3,7,520
Diggersby,LV13.5,8,4,6,520
Diggersby,LV13.5,8,6,3,520
Diggersby,LV13.5,8,7,2,520
Diggersby,LV13.5,8,8,1,520
Diggersby,LV13,8,9,15,520
Diggersby,LV13,8,10,14,520
Diggersby,LV13,8,12,11,520
Diggersby,LV13,8,13,10,520
Diggersby,LV13,8,14,9,520
Diggersby,LV13.5,9,0,8,520
Diggersby,LV13.5,9,1,6,520
Diggersby,LV13.5,9,2,5,520
Diggersby,LV13.5,9,3,4,520
Diggersby,LV13.5,9,5,1,520
Diggersby,LV13.5,9,6,0,520
Diggersby,LV13,9,7,14,520
Diggersby,LV13,9,8,13,520
Diggersby,LV13,9,10,10,520
Diggersby,LV13,9,11,9,520
Diggersby,LV13,9,12,8,520
Diggersby,LV13,9,15,4,520
Diggersby,LV13.5,10,0,4,520
Diggersby,LV13.5,10,1,3,520
Diggersby,LV13.5,10,2,2,520
Diggersby,LV13,10,4,15,520
Diggersby,LV13,10,5,13,520
Diggersby,LV13,10,6,12,520
Diggersby,LV13,10,7,11,520
Diggersby,LV13,10,9,8,520
Diggersby,LV13,10,10,7,520
Diggersby,LV13,10,11,6,520
Diggersby,LV13,10,13,3,520
Diggersby,LV13,10,14,2,520
Diggersby,LV13,10,15,1,520
Diggersby,LV13.5,11,0,1,520
