Name,Level,Attack_IV,Defense_IV,HP_IV,CP
Ditto,LV29,0,0,0,520
Ditto,LV28.5,0,0,5,520
Ditto,LV28,0,0,10,520
Ditto,LV27.5,0,0,15,520
Ditto,LV28.5,0,2,2,520
Ditto,LV28,0,2,7,520
Ditto,LV27.5,0,2,12,520
Ditto,LV28,0,4,4,520
Ditto,LV27.5,0,4,9,520
Ditto,LV27,0,5,13,520
Ditto,LV28,0,6,1,520
Ditto,LV27.5,0,6,6,520
Ditto,LV27,0,6,11,520
Ditto,LV27,0,7,10,520
Ditto,LV26.5,0,7,15,520
Ditto,LV27.5,0,8,3,520
Ditto,LV26.5,0,8,14,520
Ditto,LV27.5,0,9,2,520
Ditto,LV27,0,9,7,520
Ditto,LV26.5,0,10,11,520
Ditto,LV27,0,11,4,520
Ditto,LV26,0,11,15,520
Ditto,LV27,0,12,3,520
Ditto,LV26.5,0,12,8,520
Ditto,LV26,0,13,12,520
Ditto,LV27,0,14,0,520
Ditto,LV26,0,14,11,520
Ditto,LV26.5,0,15,4,520
Ditto,LV25.5,0,15,15,520
Ditto,LV28.5,1,0,2,520
Ditto,LV28,1,0,7,520
Ditto,LV27.5,1,0,12,520
Ditto,LV28,1,2,4,520
Ditto,LV27.5,1,2,9,520
Ditto,LV27,1,2,14,520
Ditto,LV28,1,4,1,520
Ditto,LV27.5,1,4,6,520
Ditto,LV27,1,4,11,520
Ditto,LV26.5,1,5,15,520
Ditto,LV27.5,1,6,3,520
Ditto,LV27,1,6,8,520
Ditto,LV26.5,1,7,12,520
Ditto,LV27.5,1,8,0,520
Ditto,LV27,1,8,5,520
Ditto,LV27,1,9,4,520
Ditto,LV26.5,1,9,9,520
Ditto,LV26,1,10,13,520
Ditto,LV27,1,11,1,520
Ditto,LV26,1,11,12,520
Ditto,LV27,1,12,0,520
Ditto,LV26.5,1,12,5,520
Ditto,LV26,1,13,9,520
Ditto,LV25.5,1,14,13,520
Ditto,LV26.5,1,15,1,520
Ditto,LV26,1,15,6,520
Ditto,LV25.5,1,15,12,520
Ditto,LV28,2,0,4,520
Ditto,LV27.5,2,0,9,520
Ditto,LV27,2,0,14,520
Ditto,LV28,2,2,1,520
Ditto,LV27.5,2,2,6,520
Ditto,LV27,2,2,11,520
Ditto,LV26.5,2,3,15,520
Ditto,LV27.5,2,4,3,520
Ditto,LV27,2,4,8,520
Ditto,LV26.5,2,5,12,520
Ditto,LV27.5,2,6,0,520
Ditto,LV27,2,6,5,520
Ditto,LV26.5,2,7,9,520
Ditto,LV26,2,8,13,520
Ditto,LV27,2,9,1,520
Ditto,LV26.5,2,9,6,520
Ditto,LV26,2,10,10,520
Ditto,LV26.5,2,12,2,520
Ditto,LV26,2,12,7,520
Ditto,LV25.5,2,12,13,520
Ditto,LV26,2,13,6,520
Ditto,LV25.5,2,14,10,520
Ditto,LV28,3,0,1,520
Ditto,LV27.5,3,0,6,520
Ditto,LV27,3,0,11,520
Ditto,LV26.5,3,1,15,520
Ditto,LV27.5,3,2,3,520
Ditto,LV27,3,2,8,520
Ditto,LV26.5,3,3,12,520
Ditto,LV27.5,3,4,0,520
Ditto,LV27,3,4,5,520
Ditto,LV26.5,3,5,9,520
Ditto,LV27,3,6,2,520
Ditto,LV26,3,6,13,520
Ditto,LV27,3,7,1,520
Ditto,LV26.5,3,7,6,520
Ditto,LV26,3,8,10,520
Ditto,LV26.5,3,9,3,520
Ditto,LV25.5,3,9,14,520
Ditto,LV26.5,3,10,2,520
Ditto,LV26,3,10,7,520
Ditto,LV25.5,3,11,11,520
Ditto,LV25.5,3,12,10,520
Ditto,LV26,3,13,3,520
Ditto,LV25,3,13,14,520
Ditto,LV25.5,3,14,7,520
Ditto,LV27.5,4,0,3,520
Ditto,LV27,4,0,8,520
Ditto,LV26.5,4,1,12,520
Ditto,LV27.5,4,2,0,520
Ditto,LV27,4,2,5,520
Ditto,LV26.5,4,3,9,520
Ditto,LV27,4,4,2,520
Ditto,LV26,4,4,13,520
Ditto,LV26.5,4,5,6,520
Ditto,LV26,4,5,11,520
Ditto,LV26,4,6,10,520
Ditto,LV26.5,4,7,3,520
