Name,Level,Attack_IV,Defense_IV,HP_IV,CP
Dondozo,LV7,0,2,15,520
Dondozo,LV7,0,3,13,520
Dondozo,LV7,0,4,11,520
Dondozo,LV7,0,5,9,520
Dondozo,LV7,0,6,8,520
Dondozo,LV7,0,7,6,520
Dondozo,LV7,0,8,4,520
Dondozo,LV7,0,9,2,520
Dondozo,LV7,0,9,3,520
Dondozo,LV7,0,10,1,520
Dondozo,LV7,1,0,15,520
Dondozo,LV7,1,1,13,520
Dondozo,LV7,1,2,11,520
Dondozo,LV7,1,3,9,520
Dondozo,LV7,1,4,7,520
Dondozo,LV7,1,4,8,520
Dondozo,LV7,1,5,6,520
Dondozo,LV7,1,6,4,520
Dondozo,LV7,1,7,2,520
Dondozo,LV7,1,8,1,520
Dondozo,LV7,2,0,11,520
Dondozo,LV7,2,1,9,520
Dondozo,LV7,2,2,7,520
Dondozo,LV7,2,2,8,520
Dondozo,LV7,2,3,6,520
Dondozo,LV7,2,4,4,520
Dondozo,LV7,2,5,2,520
Dondozo,LV7,2,6,0,520
Dondozo,LV7,2,6,1,520
Dondozo,LV7,3,0,7,520
Dondozo,LV7,3,0,8,520
Dondozo,LV7,3,1,6,520
Dondozo,LV7,3,2,4,520
Dondozo,LV7,3,3,2,520
Dondozo,LV7,3,4,0,520
Dondozo,LV7,4,0,4,520
Dondozo,LV7,4,1,2,520
Dondozo,LV7,4,2,0,520
Dondozo,LV7,5,0,0,520
Dondozo,LV6.5,8,15,15,520
Dondozo,LV6.5,9,13,15,520
Dondozo,LV6.5,9,14,13,520
Dondozo,LV6.5,9,14,14,520
Dondozo,LV6.5,9,15,12,520
Dondozo,LV6.5,10,11,15,520
Dondozo,LV6.5,10,12,13,520
Dondozo,LV6.5,10,12,14,520
Dondozo,LV6.5,10,13,12,520
Dondozo,LV6.5,10,14,10,520
Dondozo,LV6.5,10,15,8,520
Dondozo,LV6.5,10,15,9,520
Dondozo,LV6.5,11,9,15,520
Dondozo,LV6.5,11,10,13,520
Dondozo,LV6.5,11,10,14,520
Dondozo,LV6.5,11,11,12,520
Dondozo,LV6.5,11,12,10,520
Dondozo,LV6.5,11,13,8,520
Dondozo,LV6.5,11,14,7,520
Dondozo,LV6.5,11,15,5,520
Dondozo,LV6.5,12,7,15,520
Dondozo,LV6.5,12,8,13,520
Dondozo,LV6.5,12,8,14,520
Dondozo,LV6.5,12,9,12,520
Dondozo,LV6.5,12,10,10,520
Dondozo,LV6.5,12,11,8,520
Dondozo,LV6.5,12,12,7,520
Dondozo,LV6.5,12,13,5,520
Dondozo,LV6.5,12,14,3,520
Dondozo,LV6.5,12,15,2,520
Dondozo,LV6.5,13,5,15,520
Dondozo,LV6.5,13,6,13,520
Dondozo,LV6.5,13,6,14,520
Dondozo,LV6.5,13,7,12,520
Dondozo,LV6.5,13,8,10,520
Dondozo,LV6.5,13,9,8,520
Dondozo,LV6.5,13,10,7,520
Dondozo,LV6.5,13,11,5,520
Dondozo,LV6.5,13,12,3,520
Dondozo,LV6.5,13,13,2,520
Dondozo,LV6.5,13,14,0,520
Dondozo,LV6.5,14,3,15,520
Dondozo,LV6.5,14,4,14,520
Dondozo,LV6.5,14,5,12,520
Dondozo,LV6.5,14,6,10,520
Dondozo,LV6.5,14,7,8,520
Dondozo,LV6.5,14,7,9,520
Dondozo,LV6.5,14,8,7,520
Dondozo,LV6.5,14,9,5,520
Dondozo,LV6.5,14,10,3,520
Dondozo,LV6.5,14,11,2,520
Dondozo,LV6.5,14,12,0,520
Dondozo,LV6.5,15,2,14,520
Dondozo,LV6.5,15,3,12,520
Dondozo,LV6.5,15,4,10,520
Dondozo,LV6.5,15,5,8,520
Dondozo,LV6.5,15,5,9,520
Dondozo,LV6.5,15,6,7,520
Dondozo,LV6.5,15,7,5,520
Dondozo,LV6.5,15,8,3,520
Dondozo,LV6.5,15,9,2,520
Dondozo,LV6.5,15,10,0,520
