Name,Level,Attack_IV,Defense_IV,HP_IV,CP
Doublade,LV8.5,0,0,12,520
Doublade,LV8.5,0,1,11,520
Doublade,LV8.5,0,2,10,520
Doublade,LV8.5,0,4,9,520
Doublade,LV8.5,0,5,8,520
Doublade,LV8.5,0,6,7,520
Doublade,LV8.5,0,8,6,520
Doublade,LV8.5,0,9,5,520
Doublade,LV8.5,0,10,4,520
Doublade,LV8.5,0,12,3,520
Doublade,LV8.5,0,13,2,520
Doublade,LV8.5,1,0,10,520
Doublade,LV8.5,1,3,8,520
Doublade,LV8.5,1,4,7,520
Doublade,LV8.5,1,5,6,520
Doublade,LV8.5,1,7,5,520
Doublade,LV8.5,1,8,4,520
Doublade,LV8.5,1,11,2,520
Doublade,LV8.5,1,12,1,520
Doublade,LV8.5,1,14,0,520
Doublade,LV8.5,2,2,7,520
Doublade,LV8.5,2,3,6,520
Doublade,LV8.5,2,6,4,520
Doublade,LV8.5,2,7,3,520
Doublade,LV8.5,2,10,1,520
Doublade,LV8.5,2,11,0,520
Doublade,LV8.5,3,0,7,520
Doublade,LV8.5,3,1,6,520
Doublade,LV8.5,3,2,5,520
Doublade,LV8.5,3,5,3,520
Doublade,LV8.5,3,6,2,520
Doublade,LV8.5,3,8,1,520
Doublade,LV8.5,3,9,0,520
Doublade,LV8.5,4,0,5,520
Doublade,LV8.5,4,3,3,520
Doublade,LV8.5,4,4,2,520
Doublade,LV8.5,4,7,0,520
Doublade,LV8,4,15,15,520
Doublade,LV8.5,5,2,2,520
Doublade,LV8.5,5,3,1,520
Doublade,LV8.5,5,5,0,520
Doublade,LV8,5,12,15,520
Doublade,LV8,5,14,14,520
Doublade,LV8,5,15,13,520
Doublade,LV8.5,6,0,2,520
Doublade,LV8.5,6,1,1,520
Doublade,LV8,6,10,15,520
Doublade,LV8,6,13,13,520
Doublade,LV8,6,14,12,520
Doublade,LV8,6,15,11,520
Doublade,LV8.5,7,0,0,520
Doublade,LV8,7,8,15,520
Doublade,LV8,7,9,14,520
Doublade,LV8,7,12,12,520
Doublade,LV8,7,13,11,520
Doublade,LV8,8,6,15,520
Doublade,LV8,8,7,14,520
Doublade,LV8,8,8,13,520
Doublade,LV8,8,10,12,520
Doublade,LV8,8,11,11,520
Doublade,LV8,8,12,10,520
Doublade,LV8,8,14,9,520
Doublade,LV8,8,15,8,520
Doublade,LV8,9,5,14,520
Doublade,LV8,9,6,13,520
Doublade,LV8,9,7,12,520
Doublade,LV8,9,9,11,520
Doublade,LV8,9,10,10,520
Doublade,LV8,9,11,9,520
Doublade,LV8,9,13,8,520
Doublade,LV8,9,14,7,520
Doublade,LV8,10,3,14,520
Doublade,LV8,10,4,13,520
Doublade,LV8,10,5,12,520
Doublade,LV8,10,8,10,520
Doublade,LV8,10,9,9,520
Doublade,LV8,10,12,7,520
Doublade,LV8,10,13,6,520
Doublade,LV8,10,15,5,520
Doublade,LV8,11,1,14,520
Doublade,LV8,11,2,13,520
Doublade,LV8,11,3,12,520
Doublade,LV8,11,6,10,520
Doublade,LV8,11,7,9,520
Doublade,LV8,11,8,8,520
Doublade,LV8,11,10,7,520
Doublade,LV8,11,11,6,520
Doublade,LV8,11,12,5,520
Doublade,LV8,11,14,4,520
Doublade,LV8,11,15,3,520
Doublade,LV8,12,0,13,520
Doublade,LV8,12,1,12,520
Doublade,LV8,12,2,11,520
Doublade,LV8,12,5,9,520
Doublade,LV8,12,6,8,520
Doublade,LV8,12,9,6,520
Doublade,LV8,12,10,5,520
Doublade,LV8,12,12,4,520
Doublade,LV8,12,13,3,520
Doublade,LV8,12,14,2,520
Doublade,LV8,13,0,11,520
Doublade,LV8,13,3,9,520
Doublade,LV8,13,4,8,520
Doublade,LV8,13,5,7,520
Doublade,LV8,13,7,6,520
Doublade,LV8,13,8,5,520
Doublade,LV8,13,11,3,520
Doublade,LV8,13,12,2,520
Doublade,LV8,13,14,1,520
Doublade,LV8,13,15,0,520
Doublade,LV8,14,1,9,520
Doublade,LV8,14,2,8,520
Doublade,LV8,14,3,7,520
Doublade,LV8,14,5,6,520
Doublade,LV8,14,6,5,520
Doublade,LV8,14,7,4,520
Doublade,LV8,14,9,3,520
Doublade,LV8,14,10,2,520
Doublade,LV8,14,13,0,520
Doublade,LV8,15,0,8,520
Doublade,LV8,15,1,7,520
Doublade,LV8,15,4,5,520
Doublade,LV8,15,5,4,520
Doublade,LV8,15,8,2,520
Doublade,LV8,15,9,1,520
Doublade,LV8,15,11,0,520
