Name,Level,Attack_IV,Defense_IV,HP_IV,CP
Dragonite,LV5.5,0,1,15,520
Dragonite,LV5.5,0,2,14,520
Dragonite,LV5.5,0,3,13,520
Dragonite,LV5.5,0,4,12,520
Dragonite,LV5.5,0,5,11,520
Dragonite,LV5.5,0,6,10,520
Dragonite,LV5.5,0,7,9,520
Dragonite,LV5.5,0,8,8,520
Dragonite,LV5.5,0,9,7,520
Dragonite,LV5.5,0,10,6,520
Dragonite,LV5.5,1,0,15,520
Dragonite,LV5.5,1,1,14,520
Dragonite,LV5.5,1,3,11,520
Dragonite,LV5.5,1,4,10,520
Dragonite,LV5.5,1,5,9,520
Dragonite,LV5.5,1,6,8,520
Dragonite,LV5.5,1,7,7,520
Dragonite,LV5.5,1,8,6,520
Dragonite,LV5.5,1,9,5,520
Dragonite,LV5.5,1,10,4,520
Dragonite,LV5.5,1,11,3,520
Dragonite,LV5.5,1,12,2,520
Dragonite,LV5.5,1,13,1,520
Dragonite,LV5.5,1,14,0,520
Dragonite,LV5.5,2,0,13,520
Dragonite,LV5.5,2,1,12,520
Dragonite,LV5.5,2,2,11,520
Dragonite,LV5.5,2,3,10,520
Dragonite,LV5.5,2,4,9,520
Dragonite,LV5.5,2,5,8,520
Dragonite,LV5.5,2,9,3,520
Dragonite,LV5.5,2,10,2,520
Dragonite,LV5.5,2,11,1,520
Dragonite,LV5.5,2,12,0,520
Dragonite,LV5.5,3,0,11,520
Dragonite,LV5.5,3,1,10,520
Dragonite,LV5.5,3,2,9,520
Dragonite,LV5.5,3,3,8,520
Dragonite,LV5.5,3,4,7,520
Dragonite,LV5.5,3,5,6,520
Dragonite,LV5.5,3,6,5,520
Dragonite,LV5.5,3,7,4,520
Dragonite,LV5.5,3,8,3,520
Dragonite,LV5.5,3,9,2,520
Dragonite,LV5.5,3,10,1,520
Dragonite,LV5.5,3,11,0,520
Dragonite,LV5.5,4,0,10,520
Dragonite,LV5.5,4,1,9,520
Dragonite,LV5.5,4,5,4,520
Dragonite,LV5.5,4,6,3,520
Dragonite,LV5.5,4,7,2,520
Dragonite,LV5.5,4,8,1,520
Dragonite,LV5.5,4,9,0,520
Dragonite,LV5.5,5,0,8,520
Dragonite,LV5.5,5,1,7,520
Dragonite,LV5.5,5,2,6,520
Dragonite,LV5.5,5,3,5,520
Dragonite,LV5.5,5,4,4,520
Dragonite,LV5.5,5,5,3,520
Dragonite,LV5.5,5,6,2,520
Dragonite,LV5.5,5,7,1,520
Dragonite,LV5.5,5,8,0,520
Dragonite,LV5.5,6,2,4,520
Dragonite,LV5.5,6,3,3,520
Dragonite,LV5.5,6,4,2,520
Dragonite,LV5.5,6,5,1,520
Dragonite,LV5.5,6,6,0,520
Dragonite,LV5.5,7,0,5,520
Dragonite,LV5.5,7,1,4,520
Dragonite,LV5.5,7,2,3,520
Dragonite,LV5.5,7,3,2,520
Dragonite,LV5.5,7,4,1,520
Dragonite,LV5.5,7,5,0,520
Dragonite,LV5.5,8,0,3,520
Dragonite,LV5.5,8,1,2,520
Dragonite,LV5.5,8,2,1,520
Dragonite,LV5.5,8,3,0,520
Dragonite,LV5.5,9,0,2,520
Dragonite,LV5.5,9,1,1,520
Dragonite,LV5.5,9,2,0,520
Dragonite,LV5.5,10,0,0,520
