Name,Level,Attack_IV,Defense_IV,HP_IV,CP
Dratini,LV23,0,0,4,520
Dratini,LV22.5,0,1,8,520
Dratini,LV22,0,1,14,520
Dratini,LV23,0,2,1,520
Dratini,LV23,0,3,0,520
Dratini,LV22,0,3,11,520
Dratini,LV22.5,0,4,4,520
Dratini,LV22,0,6,7,520
Dratini,LV21.5,0,6,13,520
Dratini,LV22.5,0,7,0,520
Dratini,LV22,0,9,3,520
Dratini,LV21.5,0,9,9,520
Dratini,LV21,0,9,15,520
Dratini,LV22,0,10,2,520
Dratini,LV21,0,10,14,520
Dratini,LV21.5,0,12,5,520
Dratini,LV21.5,0,13,4,520
Dratini,LV21,0,13,10,520
Dratini,LV21.5,0,14,3,520
Dratini,LV20.5,0,14,15,520
Dratini,LV20.5,0,15,14,520
Dratini,LV22.5,1,0,7,520
Dratini,LV22,1,0,13,520
Dratini,LV22.5,1,1,6,520
Dratini,LV22.5,1,3,3,520
Dratini,LV22,1,3,9,520
Dratini,LV21.5,1,3,15,520
Dratini,LV22.5,1,4,2,520
Dratini,LV22,1,5,6,520
Dratini,LV21.5,1,5,12,520
Dratini,LV22,1,6,5,520
Dratini,LV21.5,1,6,11,520
Dratini,LV21.5,1,8,8,520
Dratini,LV22,1,9,1,520
Dratini,LV21.5,1,9,7,520
Dratini,LV21,1,9,13,520
Dratini,LV22,1,10,0,520
Dratini,LV21.5,1,12,3,520
Dratini,LV21,1,12,9,520
Dratini,LV21.5,1,13,2,520
Dratini,LV21,1,13,8,520
Dratini,LV20.5,1,13,14,520
Dratini,LV20.5,1,14,13,520
Dratini,LV22.5,2,0,5,520
Dratini,LV22,2,0,11,520
Dratini,LV22.5,2,1,4,520
Dratini,LV22,2,2,8,520
Dratini,LV21.5,2,2,14,520
Dratini,LV22.5,2,3,1,520
Dratini,LV22.5,2,4,0,520
Dratini,LV22,2,5,4,520
Dratini,LV21.5,2,5,10,520
Dratini,LV22,2,6,3,520
Dratini,LV21,2,6,15,520
Dratini,LV21.5,2,8,6,520
Dratini,LV21,2,8,12,520
Dratini,LV21,2,9,11,520
Dratini,LV21,2,11,8,520
Dratini,LV21.5,2,12,1,520
Dratini,LV21,2,12,7,520
Dratini,LV20.5,2,12,13,520
Dratini,LV21.5,2,13,0,520
Dratini,LV20.5,2,13,12,520
Dratini,LV22.5,3,0,3,520
Dratini,LV22,3,0,9,520
Dratini,LV21.5,3,0,15,520
Dratini,LV22,3,2,6,520
Dratini,LV21.5,3,2,12,520
Dratini,LV21.5,3,4,9,520
Dratini,LV22,3,5,2,520
Dratini,LV21.5,3,5,8,520
Dratini,LV21,3,5,14,520
Dratini,LV21.5,3,7,5,520
Dratini,LV21.5,3,8,4,520
Dratini,LV21,3,8,10,520
Dratini,LV20.5,3,9,15,520
Dratini,LV21,3,11,6,520
Dratini,LV21,3,12,5,520
Dratini,LV20.5,3,12,11,520
Dratini,LV20.5,3,13,10,520
Dratini,LV20,3,14,15,520
Dratini,LV20,3,15,14,520
