Name,Level,Attack_IV,Defense_IV,HP_IV,CP
Drifloon,LV19,0,0,8,520
Drifloon,LV19,0,2,3,520
Drifloon,LV18.5,0,3,12,520
Drifloon,LV18.5,0,4,9,520
Drifloon,LV18.5,0,5,7,520
Drifloon,LV18.5,0,6,4,520
Drifloon,LV18.5,0,7,2,520
Drifloon,LV18,0,8,11,520
Drifloon,LV18,0,10,6,520
Drifloon,LV18,0,11,4,520
Drifloon,LV17.5,0,12,14,520
Drifloon,LV17.5,0,13,11,520
Drifloon,LV17.5,0,14,9,520
Drifloon,LV17.5,0,15,7,520
Drifloon,LV19,1,1,2,520
Drifloon,LV18.5,1,1,13,520
Drifloon,LV18.5,1,2,11,520
Drifloon,LV18.5,1,3,8,520
Drifloon,LV18.5,1,5,3,520
Drifloon,LV18,1,5,15,520
Drifloon,LV18,1,6,12,520
Drifloon,LV18,1,7,10,520
Drifloon,LV18,1,8,7,520
Drifloon,LV18,1,9,5,520
Drifloon,LV17.5,1,10,15,520
Drifloon,LV18,1,11,0,520
Drifloon,LV17.5,1,11,12,520
Drifloon,LV17.5,1,12,10,520
Drifloon,LV17.5,1,14,5,520
Drifloon,LV17.5,1,15,3,520
Drifloon,LV19,2,0,1,520
Drifloon,LV18.5,2,1,10,520
Drifloon,LV18.5,2,2,7,520
Drifloon,LV18.5,2,4,2,520
Drifloon,LV18,2,4,14,520
Drifloon,LV18,2,5,11,520
Drifloon,LV18,2,6,9,520
Drifloon,LV18,2,7,6,520
Drifloon,LV18,2,8,4,520
Drifloon,LV18,2,9,1,520
Drifloon,LV17.5,2,9,13,520
Drifloon,LV17.5,2,10,11,520
Drifloon,LV17.5,2,12,6,520
Drifloon,LV17.5,2,13,4,520
Drifloon,LV17.5,2,14,2,520
Drifloon,LV17,2,14,14,520
Drifloon,LV17,2,15,12,520
Drifloon,LV18.5,3,0,9,520
Drifloon,LV18.5,3,1,6,520
Drifloon,LV18,3,2,15,520
Drifloon,LV18.5,3,3,1,520
Drifloon,LV18,3,3,13,520
Drifloon,LV18,3,4,10,520
Drifloon,LV18,3,6,5,520
Drifloon,LV17.5,3,7,15,520
Drifloon,LV18,3,8,0,520
Drifloon,LV17.5,3,8,12,520
Drifloon,LV17.5,3,9,10,520
Drifloon,LV17.5,3,10,7,520
Drifloon,LV17.5,3,11,5,520
Drifloon,LV17.5,3,12,3,520
Drifloon,LV17,3,12,15,520
Drifloon,LV17,3,13,13,520
Drifloon,LV17,3,15,8,520
Drifloon,LV18.5,4,0,5,520
Drifloon,LV18.5,4,1,3,520
Drifloon,LV18,4,1,14,520
Drifloon,LV18.5,4,2,0,520
Drifloon,LV18,4,2,12,520
Drifloon,LV18,4,3,9,520
Drifloon,LV18,4,5,4,520
Drifloon,LV17.5,4,6,14,520
Drifloon,LV17.5,4,7,11,520
Drifloon,LV17.5,4,8,9,520
Drifloon,LV17.5,4,9,6,520
Drifloon,LV17.5,4,10,4,520
Drifloon,LV17,4,11,14,520
Drifloon,LV17,4,13,9,520
Drifloon,LV17,4,14,7,520
Drifloon,LV17,4,15,5,520
Drifloon,LV18.5,5,0,2,520
Drifloon,LV18,5,1,11,520
Drifloon,LV18,5,2,8,520
Drifloon,LV18,5,4,3,520
Drifloon,LV17.5,5,4,15,520
Drifloon,LV17.5,5,6,10,520
