Name,Level,Attack_IV,Defense_IV,HP_IV,CP
Drowzee,LV22.5,0,0,1,520
Drowzee,LV22,0,0,8,520
Drowzee,LV22.5,0,1,0,520
Drowzee,LV22,0,1,7,520
Drowzee,LV22,0,2,6,520
Drowzee,LV21.5,0,3,12,520
Drowzee,LV21.5,0,4,11,520
Drowzee,LV21.5,0,5,10,520
Drowzee,LV22,0,6,1,520
Drowzee,LV22,0,7,0,520
Drowzee,LV21,0,7,15,520
Drowzee,LV21,0,8,14,520
Drowzee,LV21.5,0,9,5,520
Drowzee,LV21,0,9,13,520
Drowzee,LV21.5,0,10,4,520
Drowzee,LV21,0,10,12,520
Drowzee,LV21.5,0,11,3,520
Drowzee,LV21,0,11,11,520
Drowzee,LV21.5,0,12,2,520
Drowzee,LV21.5,0,13,1,520
Drowzee,LV21.5,0,14,0,520
Drowzee,LV21,0,15,6,520
Drowzee,LV20.5,0,15,14,520
Drowzee,LV21.5,1,0,12,520
Drowzee,LV21.5,1,1,11,520
Drowzee,LV22,1,2,2,520
Drowzee,LV22,1,3,1,520
Drowzee,LV22,1,4,0,520
Drowzee,LV21.5,1,4,7,520
Drowzee,LV21,1,4,15,520
Drowzee,LV21.5,1,5,6,520
Drowzee,LV21,1,5,14,520
Drowzee,LV21.5,1,6,5,520
Drowzee,LV21,1,6,13,520
Drowzee,LV21.5,1,7,4,520
Drowzee,LV21.5,1,8,3,520
Drowzee,LV21.5,1,9,2,520
Drowzee,LV21,1,9,9,520
Drowzee,LV21,1,10,8,520
Drowzee,LV21,1,11,7,520
Drowzee,LV20.5,1,11,15,520
Drowzee,LV21,1,12,6,520
Drowzee,LV20.5,1,12,14,520
Drowzee,LV21,1,13,5,520
Drowzee,LV20.5,1,13,13,520
Drowzee,LV21,1,14,4,520
Drowzee,LV21,1,15,3,520
Drowzee,LV22,2,0,1,520
Drowzee,LV22,2,1,0,520
Drowzee,LV21.5,2,1,7,520
Drowzee,LV21,2,1,15,520
Drowzee,LV21.5,2,2,6,520
Drowzee,LV21,2,2,14,520
