Name,Level,Attack_IV,Defense_IV,HP_IV,CP
Dubwool,LV9.5,0,0,13,520
Dubwool,LV9.5,0,5,9,520
Dubwool,LV9.5,0,6,8,520
Dubwool,LV9.5,0,7,7,520
Dubwool,LV9.5,0,8,6,520
Dubwool,LV9.5,0,9,5,520
Dubwool,LV9.5,0,10,4,520
Dubwool,LV9.5,0,14,1,520
Dubwool,LV9.5,0,15,0,520
Dubwool,LV9.5,1,0,11,520
Dubwool,LV9.5,1,1,10,520
Dubwool,LV9.5,1,2,9,520
Dubwool,LV9.5,1,3,8,520
Dubwool,LV9.5,1,4,7,520
Dubwool,LV9.5,1,8,4,520
Dubwool,LV9.5,1,9,3,520
Dubwool,LV9.5,1,10,2,520
Dubwool,LV9.5,1,11,1,520
Dubwool,LV9.5,1,12,0,520
Dubwool,LV9.5,2,0,9,520
Dubwool,LV9.5,2,1,8,520
Dubwool,LV9.5,2,2,7,520
Dubwool,LV9.5,2,3,6,520
Dubwool,LV9.5,2,4,5,520
Dubwool,LV9.5,2,5,4,520
Dubwool,LV9.5,2,6,3,520
Dubwool,LV9.5,2,7,2,520
Dubwool,LV9.5,2,10,0,520
Dubwool,LV9.5,3,4,3,520
Dubwool,LV9.5,3,5,2,520
Dubwool,LV9.5,3,6,1,520
Dubwool,LV9.5,3,7,0,520
Dubwool,LV9,3,14,15,520
Dubwool,LV9,3,15,14,520
Dubwool,LV9.5,4,0,4,520
Dubwool,LV9.5,4,1,3,520
Dubwool,LV9.5,4,2,2,520
Dubwool,LV9.5,4,5,0,520
Dubwool,LV9,4,14,13,520
Dubwool,LV9,4,15,12,520
Dubwool,LV9.5,5,0,2,520
Dubwool,LV9.5,5,1,1,520
Dubwool,LV9.5,5,2,0,520
Dubwool,LV9,5,9,15,520
Dubwool,LV9,5,10,14,520
Dubwool,LV9,5,11,13,520
Dubwool,LV9,5,12,12,520
Dubwool,LV9,5,13,11,520
Dubwool,LV9.5,6,0,0,520
Dubwool,LV9,6,10,12,520
Dubwool,LV9,6,11,11,520
Dubwool,LV9,6,12,10,520
Dubwool,LV9,6,13,9,520
Dubwool,LV9,6,14,8,520
Dubwool,LV9,6,15,7,520
Dubwool,LV9,7,4,15,520
Dubwool,LV9,7,5,14,520
Dubwool,LV9,7,6,13,520
Dubwool,LV9,7,7,12,520
Dubwool,LV9,7,8,11,520
Dubwool,LV9,7,9,10,520
Dubwool,LV9,7,12,8,520
Dubwool,LV9,7,13,7,520
Dubwool,LV9,7,14,6,520
Dubwool,LV9,7,15,5,520
Dubwool,LV9,8,4,13,520
Dubwool,LV9,8,5,12,520
Dubwool,LV9,8,6,11,520
Dubwool,LV9,8,7,10,520
Dubwool,LV9,8,8,9,520
Dubwool,LV9,8,9,8,520
Dubwool,LV9,8,10,7,520
Dubwool,LV9,8,11,6,520
Dubwool,LV9,8,14,4,520
Dubwool,LV9,8,15,3,520
Dubwool,LV9,9,0,14,520
Dubwool,LV9,9,1,13,520
Dubwool,LV9,9,2,12,520
Dubwool,LV9,9,3,11,520
Dubwool,LV9,9,7,8,520
Dubwool,LV9,9,8,7,520
Dubwool,LV9,9,9,6,520
Dubwool,LV9,9,10,5,520
Dubwool,LV9,9,11,4,520
Dubwool,LV9,9,12,3,520
Dubwool,LV9,9,15,1,520
Dubwool,LV9,10,0,12,520
Dubwool,LV9,10,1,11,520
Dubwool,LV9,10,2,10,520
Dubwool,LV9,10,3,9,520
Dubwool,LV9,10,4,8,520
Dubwool,LV9,10,5,7,520
Dubwool,LV9,10,9,4,520
Dubwool,LV9,10,10,3,520
Dubwool,LV9,10,11,2,520
Dubwool,LV9,10,12,1,520
Dubwool,LV9,11,0,10,520
Dubwool,LV9,11,1,9,520
Dubwool,LV9,11,2,8,520
Dubwool,LV9,11,3,7,520
Dubwool,LV9,11,4,6,520
Dubwool,LV9,11,5,5,520
Dubwool,LV9,11,6,4,520
Dubwool,LV9,11,9,2,520
Dubwool,LV9,11,10,1,520
Dubwool,LV9,11,11,0,520
Dubwool,LV9,12,1,7,520
Dubwool,LV9,12,2,6,520
Dubwool,LV9,12,3,5,520
Dubwool,LV9,12,4,4,520
Dubwool,LV9,12,5,3,520
Dubwool,LV9,12,6,2,520
Dubwool,LV9,12,7,1,520
Dubwool,LV9,13,3,3,520
Dubwool,LV9,13,4,2,520
Dubwool,LV9,13,5,1,520
Dubwool,LV9,13,6,0,520
Dubwool,LV9,14,3,1,520
Dubwool,LV9,14,4,0,520
Dubwool,LV8.5,14,12,15,520
Dubwool,LV8.5,14,13,14,520
Dubwool,LV8.5,14,14,13,520
Dubwool,LV8.5,14,15,12,520
Dubwool,LV9,15,0,1,520
Dubwool,LV8.5,15,11,14,520
Dubwool,LV8.5,15,12,13,520
Dubwool,LV8.5,15,13,12,520
Dubwool,LV8.5,15,14,11,520
Dubwool,LV8.5,15,15,10,520
