Name,Level,Attack_IV,Defense_IV,HP_IV,CP
Dudunsparce Two-Segment Form,LV7.5,0,7,15,520
Dudunsparce Two-Segment Form,LV7.5,0,8,13,520
Dudunsparce Two-Segment Form,LV7.5,0,9,11,520
Dudunsparce Two-Segment Form,LV7.5,0,10,10,520
Dudunsparce Two-Segment Form,LV7.5,0,11,8,520
Dudunsparce Two-Segment Form,LV7.5,0,12,6,520
Dudunsparce Two-Segment Form,LV7.5,0,13,4,520
Dudunsparce Two-Segment Form,LV7.5,0,14,3,520
Dudunsparce Two-Segment Form,LV7.5,0,15,1,520
Dudunsparce Two-Segment Form,LV7.5,1,5,15,520
Dudunsparce Two-Segment Form,LV7.5,1,6,14,520
Dudunsparce Two-Segment Form,LV7.5,1,7,12,520
Dudunsparce Two-Segment Form,LV7.5,1,8,10,520
Dudunsparce Two-Segment Form,LV7.5,1,9,8,520
Dudunsparce Two-Segment Form,LV7.5,1,10,7,520
Dudunsparce Two-Segment Form,LV7.5,1,11,5,520
Dudunsparce Two-Segment Form,LV7.5,1,12,3,520
Dudunsparce Two-Segment Form,LV7.5,1,13,2,520
Dudunsparce Two-Segment Form,LV7.5,1,14,0,520
Dudunsparce Two-Segment Form,LV7.5,2,4,14,520
Dudunsparce Two-Segment Form,LV7.5,2,5,12,520
Dudunsparce Two-Segment Form,LV7.5,2,5,13,520
Dudunsparce Two-Segment Form,LV7.5,2,6,11,520
Dudunsparce Two-Segment Form,LV7.5,2,7,9,520
Dudunsparce Two-Segment Form,LV7.5,2,8,7,520
Dudunsparce Two-Segment Form,LV7.5,2,9,5,520
Dudunsparce Two-Segment Form,LV7.5,2,10,4,520
Dudunsparce Two-Segment Form,LV7.5,2,11,2,520
Dudunsparce Two-Segment Form,LV7.5,2,12,0,520
Dudunsparce Two-Segment Form,LV7.5,3,2,15,520
Dudunsparce Two-Segment Form,LV7.5,3,3,13,520
Dudunsparce Two-Segment Form,LV7.5,3,4,11,520
Dudunsparce Two-Segment Form,LV7.5,3,5,10,520
Dudunsparce Two-Segment Form,LV7.5,3,6,8,520
Dudunsparce Two-Segment Form,LV7.5,3,7,6,520
Dudunsparce Two-Segment Form,LV7.5,3,8,4,520
Dudunsparce Two-Segment Form,LV7.5,3,9,3,520
Dudunsparce Two-Segment Form,LV7.5,3,10,1,520
Dudunsparce Two-Segment Form,LV7.5,4,1,14,520
Dudunsparce Two-Segment Form,LV7.5,4,2,12,520
Dudunsparce Two-Segment Form,LV7.5,4,3,10,520
Dudunsparce Two-Segment Form,LV7.5,4,4,8,520
Dudunsparce Two-Segment Form,LV7.5,4,4,9,520
Dudunsparce Two-Segment Form,LV7.5,4,5,7,520
Dudunsparce Two-Segment Form,LV7.5,4,6,5,520
Dudunsparce Two-Segment Form,LV7.5,4,7,3,520
Dudunsparce Two-Segment Form,LV7.5,4,8,1,520
Dudunsparce Two-Segment Form,LV7.5,4,8,2,520
Dudunsparce Two-Segment Form,LV7.5,4,9,0,520
Dudunsparce Two-Segment Form,LV7.5,5,0,13,520
Dudunsparce Two-Segment Form,LV7.5,5,1,11,520
Dudunsparce Two-Segment Form,LV7.5,5,2,9,520
