Name,Level,Attack_IV,Defense_IV,HP_IV,CP
Dunsparce,LV13,0,0,4,520
Dunsparce,LV13,0,1,2,520
Dunsparce,LV13,0,2,1,520
Dunsparce,LV12.5,0,4,15,520
Dunsparce,LV12.5,0,6,12,520
Dunsparce,LV12.5,0,7,10,520
Dunsparce,LV12.5,0,8,8,520
Dunsparce,LV12.5,0,10,5,520
Dunsparce,LV12.5,0,11,3,520
Dunsparce,LV12.5,0,13,0,520
Dunsparce,LV13,1,0,1,520
Dunsparce,LV12.5,1,2,15,520
Dunsparce,LV12.5,1,4,12,520
Dunsparce,LV12.5,1,5,10,520
Dunsparce,LV12.5,1,6,8,520
Dunsparce,LV12.5,1,7,6,520
Dunsparce,LV12.5,1,8,5,520
Dunsparce,LV12.5,1,9,3,520
Dunsparce,LV12.5,1,10,1,520
Dunsparce,LV12.5,1,11,0,520
Dunsparce,LV12,1,13,15,520
Dunsparce,LV12,1,14,14,520
Dunsparce,LV12,1,15,12,520
Dunsparce,LV12.5,2,0,15,520
Dunsparce,LV12.5,2,2,12,520
Dunsparce,LV12.5,2,3,10,520
Dunsparce,LV12.5,2,4,8,520
Dunsparce,LV12.5,2,5,6,520
Dunsparce,LV12.5,2,6,5,520
Dunsparce,LV12.5,2,7,3,520
Dunsparce,LV12.5,2,8,1,520
Dunsparce,LV12.5,2,9,0,520
Dunsparce,LV12,2,11,15,520
Dunsparce,LV12,2,13,12,520
Dunsparce,LV12,2,14,10,520
Dunsparce,LV12.5,3,0,12,520
Dunsparce,LV12.5,3,1,10,520
Dunsparce,LV12.5,3,2,8,520
Dunsparce,LV12.5,3,3,6,520
Dunsparce,LV12.5,3,4,5,520
Dunsparce,LV12.5,3,5,3,520
Dunsparce,LV12.5,3,6,1,520
Dunsparce,LV12,3,9,15,520
Dunsparce,LV12,3,10,13,520
Dunsparce,LV12,3,11,12,520
Dunsparce,LV12,3,12,10,520
Dunsparce,LV12,3,13,8,520
Dunsparce,LV12,3,14,7,520
Dunsparce,LV12,3,15,5,520
Dunsparce,LV12.5,4,0,8,520
Dunsparce,LV12.5,4,2,5,520
Dunsparce,LV12.5,4,3,3,520
Dunsparce,LV12.5,4,4,1,520
Dunsparce,LV12,4,7,15,520
Dunsparce,LV12,4,8,13,520
Dunsparce,LV12,4,10,10,520
Dunsparce,LV12,4,11,8,520
Dunsparce,LV12,4,13,5,520
Dunsparce,LV12,4,14,3,520
Dunsparce,LV12,4,15,2,520
Dunsparce,LV12.5,5,0,5,520
Dunsparce,LV12.5,5,1,3,520
Dunsparce,LV12.5,5,2,1,520
Dunsparce,LV12.5,5,3,0,520
Dunsparce,LV12,5,5,15,520
Dunsparce,LV12,5,6,13,520
Dunsparce,LV12,5,8,10,520
Dunsparce,LV12,5,9,8,520
Dunsparce,LV12,5,10,6,520
Dunsparce,LV12,5,11,5,520
Dunsparce,LV12,5,12,3,520
Dunsparce,LV12,5,14,0,520
Dunsparce,LV12.5,6,1,0,520
Dunsparce,LV12,6,3,15,520
Dunsparce,LV12,6,4,13,520
Dunsparce,LV12,6,5,12,520
Dunsparce,LV12,6,6,10,520
Dunsparce,LV12,6,7,8,520
Dunsparce,LV12,6,8,6,520
Dunsparce,LV12,6,9,5,520
Dunsparce,LV12,6,10,3,520
Dunsparce,LV12,6,11,1,520
Dunsparce,LV12,6,12,0,520
Dunsparce,LV11.5,6,15,15,520
Dunsparce,LV12,7,1,15,520
Dunsparce,LV12,7,2,14,520
Dunsparce,LV12,7,3,12,520
Dunsparce,LV12,7,4,10,520
Dunsparce,LV12,7,5,8,520
Dunsparce,LV12,7,6,6,520
Dunsparce,LV12,7,7,5,520
Dunsparce,LV12,7,8,3,520
Dunsparce,LV12,7,9,1,520
Dunsparce,LV12,7,10,0,520
Dunsparce,LV11.5,7,14,13,520
Dunsparce,LV11.5,7,15,11,520
Dunsparce,LV12,8,0,14,520
Dunsparce,LV12,8,1,12,520
Dunsparce,LV12,8,2,10,520
Dunsparce,LV12,8,3,8,520
