Name,Level,Attack_IV,Defense_IV,HP_IV,CP
Ekans,LV25,0,0,5,520
Ekans,LV24,0,0,15,520
Ekans,LV25,0,1,4,520
Ekans,LV24.5,0,3,6,520
Ekans,LV24,0,3,11,520
Ekans,LV24.5,0,4,5,520
Ekans,LV24,0,4,10,520
Ekans,LV23.5,0,4,15,520
Ekans,LV24.5,0,5,4,520
Ekans,LV23.5,0,5,14,520
Ekans,LV24,0,9,4,520
Ekans,LV23.5,0,9,9,520
Ekans,LV24,0,10,3,520
Ekans,LV23.5,0,10,8,520
Ekans,LV23,0,10,13,520
Ekans,LV24,0,11,2,520
Ekans,LV23.5,0,11,7,520
Ekans,LV23,0,11,12,520
Ekans,LV24,0,12,1,520
Ekans,LV23.5,0,12,6,520
Ekans,LV23,0,12,11,520
Ekans,LV24,0,13,0,520
Ekans,LV23,0,13,10,520
Ekans,LV22.5,0,14,14,520
Ekans,LV22.5,0,15,13,520
Ekans,LV25,1,0,3,520
Ekans,LV24.5,1,2,5,520
Ekans,LV24,1,2,10,520
Ekans,LV24.5,1,3,4,520
Ekans,LV24,1,3,9,520
Ekans,LV23.5,1,3,14,520
Ekans,LV24.5,1,4,3,520
Ekans,LV23.5,1,4,13,520
Ekans,LV23.5,1,7,9,520
Ekans,LV24,1,8,3,520
Ekans,LV23.5,1,8,8,520
Ekans,LV24,1,9,2,520
Ekans,LV23.5,1,9,7,520
Ekans,LV23,1,9,12,520
Ekans,LV24,1,10,1,520
Ekans,LV23.5,1,10,6,520
Ekans,LV23,1,10,11,520
Ekans,LV24,1,11,0,520
Ekans,LV23,1,11,10,520
Ekans,LV22.5,1,12,14,520
Ekans,LV22.5,1,13,13,520
Ekans,LV22.5,1,14,12,520
Ekans,LV22.5,1,15,11,520
Ekans,LV25,2,0,1,520
Ekans,LV24,2,1,9,520
Ekans,LV24.5,2,2,3,520
Ekans,LV24,2,2,8,520
Ekans,LV23.5,2,2,13,520
Ekans,LV24.5,2,3,2,520
Ekans,LV23.5,2,3,12,520
Ekans,LV24.5,2,4,1,520
Ekans,LV24,2,7,2,520
Ekans,LV23.5,2,7,7,520
Ekans,LV24,2,8,1,520
Ekans,LV23.5,2,8,6,520
Ekans,LV23,2,8,11,520
Ekans,LV24,2,9,0,520
Ekans,LV23.5,2,9,5,520
Ekans,LV23,2,9,10,520
Ekans,LV23,2,10,9,520
Ekans,LV22.5,2,10,14,520
Ekans,LV22.5,2,11,13,520
Ekans,LV22.5,2,12,12,520
Ekans,LV22.5,2,13,11,520
Ekans,LV22,2,15,14,520
Ekans,LV24,3,1,7,520
Ekans,LV23.5,3,1,12,520
Ekans,LV24.5,3,2,1,520
Ekans,LV24,3,2,6,520
Ekans,LV23.5,3,2,11,520
Ekans,LV24.5,3,3,0,520
Ekans,LV23,3,3,15,520
Ekans,LV23.5,3,6,6,520
Ekans,LV23.5,3,7,5,520
Ekans,LV23,3,7,10,520
Ekans,LV23.5,3,8,4,520
Ekans,LV23,3,8,9,520
Ekans,LV23.5,3,9,3,520
Ekans,LV23,3,9,8,520
Ekans,LV22.5,3,9,13,520
Ekans,LV22.5,3,10,12,520
Ekans,LV22.5,3,11,11,520
Ekans,LV22,3,13,14,520
Ekans,LV22,3,14,13,520
Ekans,LV22,3,15,12,520
Ekans,LV24,4,0,6,520
Ekans,LV23.5,4,0,11,520
Ekans,LV24,4,1,5,520
Ekans,LV23.5,4,1,10,520
Ekans,LV24,4,2,4,520
Ekans,LV23,4,2,14,520
Ekans,LV23.5,4,5,5,520
Ekans,LV23.5,4,6,4,520
Ekans,LV23,4,6,9,520
Ekans,LV23.5,4,7,3,520
Ekans,LV23,4,7,8,520
Ekans,LV23.5,4,8,2,520
Ekans,LV23,4,8,7,520
Ekans,LV22.5,4,8,12,520
Ekans,LV23.5,4,9,1,520
Ekans,LV22.5,4,9,11,520
Ekans,LV22.5,4,10,10,520
Ekans,LV22,4,11,14,520
Ekans,LV22,4,12,13,520
Ekans,LV22,4,13,12,520
Ekans,LV22,4,14,11,520
Ekans,LV24,5,0,4,520
Ekans,LV23.5,5,0,9,520
Ekans,LV24,5,1,3,520
Ekans,LV23.5,5,1,8,520
Ekans,LV23,5,1,13,520
Ekans,LV24,5,2,2,520
Ekans,LV23,5,2,12,520
Ekans,LV22.5,5,4,15,520
Ekans,LV23.5,5,5,3,520
Ekans,LV23,5,5,8,520
Ekans,LV23.5,5,6,2,520
Ekans,LV23,5,6,7,520
Ekans,LV23.5,5,7,1,520
Ekans,LV23,5,7,6,520
Ekans,LV22.5,5,7,11,520
Ekans,LV23.5,5,8,0,520
Ekans,LV23,5,8,5,520
Ekans,LV22.5,5,8,10,520
Ekans,LV22.5,5,9,9,520
Ekans,LV22,5,10,13,520
Ekans,LV22,5,11,12,520
Ekans,LV22,5,12,11,520
Ekans,LV22,5,13,10,520
Ekans,LV24,6,0,2,520
Ekans,LV23.5,6,0,7,520
Ekans,LV23,6,0,12,520
Ekans,LV24,6,1,1,520
Ekans,LV23.5,6,1,6,520
Ekans,LV23,6,1,11,520
Ekans,LV24,6,2,0,520
Ekans,LV22.5,6,2,15,520
