Name,Level,Attack_IV,Defense_IV,HP_IV,CP
Eldegoss,LV10.5,0,0,12,520
Eldegoss,LV10.5,0,1,11,520
Eldegoss,LV10.5,0,2,10,520
Eldegoss,LV10.5,0,4,9,520
Eldegoss,LV10.5,0,5,8,520
Eldegoss,LV10.5,0,6,7,520
Eldegoss,LV10.5,0,8,6,520
Eldegoss,LV10.5,0,9,5,520
Eldegoss,LV10.5,0,12,3,520
Eldegoss,LV10.5,0,13,2,520
Eldegoss,LV10.5,0,15,1,520
Eldegoss,LV10.5,1,1,9,520
Eldegoss,LV10.5,1,2,8,520
Eldegoss,LV10.5,1,5,6,520
Eldegoss,LV10.5,1,6,5,520
Eldegoss,LV10.5,1,9,3,520
Eldegoss,LV10.5,1,10,2,520
Eldegoss,LV10.5,1,12,1,520
Eldegoss,LV10.5,1,13,0,520
Eldegoss,LV10,1,14,15,520
Eldegoss,LV10.5,2,2,6,520
Eldegoss,LV10.5,2,3,5,520
Eldegoss,LV10.5,2,6,3,520
Eldegoss,LV10.5,2,7,2,520
Eldegoss,LV10.5,2,9,1,520
Eldegoss,LV10.5,2,10,0,520
Eldegoss,LV10,2,11,15,520
Eldegoss,LV10,2,13,14,520
Eldegoss,LV10,2,14,13,520
Eldegoss,LV10,2,15,12,520
Eldegoss,LV10.5,3,0,5,520
Eldegoss,LV10.5,3,2,4,520
Eldegoss,LV10.5,3,3,3,520
Eldegoss,LV10.5,3,6,1,520
Eldegoss,LV10.5,3,7,0,520
Eldegoss,LV10,3,8,15,520
Eldegoss,LV10,3,10,14,520
Eldegoss,LV10,3,11,13,520
Eldegoss,LV10,3,12,12,520
Eldegoss,LV10,3,14,11,520
Eldegoss,LV10,3,15,10,520
Eldegoss,LV10.5,4,0,3,520
Eldegoss,LV10.5,4,2,2,520
Eldegoss,LV10.5,4,3,1,520
Eldegoss,LV10.5,4,4,0,520
Eldegoss,LV10,4,7,14,520
Eldegoss,LV10,4,8,13,520
Eldegoss,LV10,4,9,12,520
Eldegoss,LV10,4,11,11,520
Eldegoss,LV10,4,12,10,520
Eldegoss,LV10,4,13,9,520
Eldegoss,LV10,4,15,8,520
Eldegoss,LV10.5,5,0,1,520
Eldegoss,LV10,5,3,15,520
Eldegoss,LV10,5,4,14,520
Eldegoss,LV10,5,5,13,520
Eldegoss,LV10,5,8,11,520
Eldegoss,LV10,5,9,10,520
Eldegoss,LV10,5,12,8,520
Eldegoss,LV10,5,13,7,520
Eldegoss,LV10,5,15,6,520
Eldegoss,LV10,6,0,15,520
Eldegoss,LV10,6,1,14,520
Eldegoss,LV10,6,2,13,520
Eldegoss,LV10,6,4,12,520
Eldegoss,LV10,6,5,11,520
Eldegoss,LV10,6,6,10,520
Eldegoss,LV10,6,8,9,520
Eldegoss,LV10,6,9,8,520
Eldegoss,LV10,6,10,7,520
Eldegoss,LV10,6,12,6,520
Eldegoss,LV10,6,13,5,520
Eldegoss,LV10,7,0,13,520
Eldegoss,LV10,7,1,12,520
Eldegoss,LV10,7,2,11,520
