Name,Level,Attack_IV,Defense_IV,HP_IV,CP
Enamorus Incarnate Form,LV6,0,5,14,520
Enamorus Incarnate Form,LV6,0,6,13,520
Enamorus Incarnate Form,LV6,0,7,12,520
Enamorus Incarnate Form,LV6,0,8,11,520
Enamorus Incarnate Form,LV6,0,9,10,520
Enamorus Incarnate Form,LV6,0,10,9,520
Enamorus Incarnate Form,LV6,1,3,15,520
Enamorus Incarnate Form,LV6,1,4,14,520
Enamorus Incarnate Form,LV6,1,5,13,520
Enamorus Incarnate Form,LV6,1,6,12,520
Enamorus Incarnate Form,LV6,1,7,11,520
Enamorus Incarnate Form,LV6,1,10,7,520
Enamorus Incarnate Form,LV6,1,11,6,520
Enamorus Incarnate Form,LV6,1,12,5,520
Enamorus Incarnate Form,LV6,1,13,4,520
Enamorus Incarnate Form,LV6,1,14,3,520
Enamorus Incarnate Form,LV6,1,15,2,520
Enamorus Incarnate Form,LV6,2,2,15,520
Enamorus Incarnate Form,LV6,2,3,14,520
Enamorus Incarnate Form,LV6,2,4,13,520
Enamorus Incarnate Form,LV6,2,7,9,520
Enamorus Incarnate Form,LV6,2,8,8,520
Enamorus Incarnate Form,LV6,2,9,7,520
Enamorus Incarnate Form,LV6,2,10,6,520
Enamorus Incarnate Form,LV6,2,11,5,520
Enamorus Incarnate Form,LV6,2,12,4,520
Enamorus Incarnate Form,LV6,2,13,3,520
Enamorus Incarnate Form,LV6,2,14,2,520
Enamorus Incarnate Form,LV6,2,15,1,520
Enamorus Incarnate Form,LV6,3,1,15,520
Enamorus Incarnate Form,LV6,3,2,14,520
Enamorus Incarnate Form,LV6,3,5,10,520
Enamorus Incarnate Form,LV6,3,6,9,520
Enamorus Incarnate Form,LV6,3,7,8,520
Enamorus Incarnate Form,LV6,3,8,7,520
Enamorus Incarnate Form,LV6,3,9,6,520
Enamorus Incarnate Form,LV6,3,10,5,520
Enamorus Incarnate Form,LV6,3,11,4,520
Enamorus Incarnate Form,LV6,4,0,15,520
Enamorus Incarnate Form,LV6,4,2,12,520
Enamorus Incarnate Form,LV6,4,3,11,520
Enamorus Incarnate Form,LV6,4,4,10,520
Enamorus Incarnate Form,LV6,4,5,9,520
Enamorus Incarnate Form,LV6,4,6,8,520
Enamorus Incarnate Form,LV6,4,7,7,520
Enamorus Incarnate Form,LV6,4,13,0,520
Enamorus Incarnate Form,LV6,5,0,13,520
Enamorus Incarnate Form,LV6,5,1,12,520
Enamorus Incarnate Form,LV6,5,2,11,520
Enamorus Incarnate Form,LV6,5,3,10,520
Enamorus Incarnate Form,LV6,5,4,9,520
Enamorus Incarnate Form,LV6,5,8,4,520
Enamorus Incarnate Form,LV6,5,9,3,520
Enamorus Incarnate Form,LV6,5,10,2,520
Enamorus Incarnate Form,LV6,5,11,1,520
Enamorus Incarnate Form,LV6,5,12,0,520
Enamorus Incarnate Form,LV6,6,0,12,520
Enamorus Incarnate Form,LV6,6,1,11,520
Enamorus Incarnate Form,LV6,6,2,10,520
Enamorus Incarnate Form,LV6,6,5,6,520
Enamorus Incarnate Form,LV6,6,6,5,520
Enamorus Incarnate Form,LV6,6,7,4,520
Enamorus Incarnate Form,LV6,6,8,3,520
Enamorus Incarnate Form,LV6,6,9,2,520
Enamorus Incarnate Form,LV6,6,10,1,520
Enamorus Incarnate Form,LV6,6,11,0,520
Enamorus Incarnate Form,LV6,7,0,11,520
Enamorus Incarnate Form,LV6,7,3,7,520
Enamorus Incarnate Form,LV6,7,4,6,520
Enamorus Incarnate Form,LV6,7,5,5,520
Enamorus Incarnate Form,LV6,7,6,4,520
Enamorus Incarnate Form,LV6,7,7,3,520
Enamorus Incarnate Form,LV6,7,8,2,520
Enamorus Incarnate Form,LV6,7,9,1,520
Enamorus Incarnate Form,LV6,7,10,0,520
Enamorus Incarnate Form,LV6,8,1,8,520
Enamorus Incarnate Form,LV6,8,2,7,520
Enamorus Incarnate Form,LV6,8,3,6,520
Enamorus Incarnate Form,LV6,8,4,5,520
Enamorus Incarnate Form,LV6,8,5,4,520
Enamorus Incarnate Form,LV6,8,6,3,520
Enamorus Incarnate Form,LV6,9,0,8,520
Enamorus Incarnate Form,LV6,9,1,7,520
Enamorus Incarnate Form,LV6,9,2,6,520
Enamorus Incarnate Form,LV6,9,3,5,520
Enamorus Incarnate Form,LV6,9,7,0,520
Enamorus Incarnate Form,LV6,10,0,7,520
Enamorus Incarnate Form,LV6,10,1,6,520
Enamorus Incarnate Form,LV6,10,4,2,520
Enamorus Incarnate Form,LV6,10,5,1,520
Enamorus Incarnate Form,LV6,10,6,0,520
Enamorus Incarnate Form,LV6,11,2,3,520
Enamorus Incarnate Form,LV6,11,3,2,520
Enamorus Incarnate Form,LV6,11,4,1,520
Enamorus Incarnate Form,LV6,11,5,0,520
Enamorus Incarnate Form,LV6,12,0,4,520
Enamorus Incarnate Form,LV6,12,1,3,520
Enamorus Incarnate Form,LV6,12,2,2,520
Enamorus Incarnate Form,LV6,12,3,1,520
Enamorus Incarnate Form,LV6,12,4,0,520
Enamorus Incarnate Form,LV6,13,0,3,520
Enamorus Incarnate Form,LV6,13,1,2,520
Enamorus Incarnate Form,LV6,13,2,1,520
Enamorus Incarnate Form,LV6,13,3,0,520
Enamorus Incarnate Form,LV6,14,0,2,520
Enamorus Incarnate Form,LV6,14,1,1,520
