Name,Level,Attack_IV,Defense_IV,HP_IV,CP
Excadrill,LV6.5,0,0,13,520
Excadrill,LV6.5,0,1,11,520
Excadrill,LV6.5,0,2,9,520
Excadrill,LV6.5,0,3,7,520
Excadrill,LV6.5,0,4,5,520
Excadrill,LV6.5,0,5,4,520
Excadrill,LV6.5,0,6,2,520
Excadrill,LV6.5,0,7,0,520
Excadrill,LV6.5,1,0,11,520
Excadrill,LV6.5,1,1,9,520
Excadrill,LV6.5,1,2,7,520
Excadrill,LV6.5,1,3,5,520
Excadrill,LV6.5,1,5,2,520
Excadrill,LV6.5,1,6,0,520
Excadrill,LV6.5,2,0,9,520
Excadrill,LV6.5,2,1,7,520
Excadrill,LV6.5,2,2,5,520
Excadrill,LV6.5,2,3,3,520
Excadrill,LV6.5,2,4,2,520
Excadrill,LV6.5,2,5,0,520
Excadrill,LV6.5,3,0,7,520
Excadrill,LV6.5,3,1,5,520
Excadrill,LV6.5,3,2,3,520
Excadrill,LV6.5,3,4,0,520
Excadrill,LV6.5,4,0,5,520
Excadrill,LV6.5,4,1,3,520
Excadrill,LV6.5,4,3,0,520
Excadrill,LV6.5,5,0,3,520
Excadrill,LV6.5,5,2,0,520
Excadrill,LV6.5,6,1,0,520
Excadrill,LV6.5,7,0,0,520
Excadrill,LV6,8,15,14,520
Excadrill,LV6,9,14,14,520
Excadrill,LV6,9,15,12,520
Excadrill,LV6,10,12,15,520
Excadrill,LV6,10,13,14,520
Excadrill,LV6,10,14,12,520
Excadrill,LV6,10,15,10,520
Excadrill,LV6,11,11,15,520
Excadrill,LV6,11,12,13,520
Excadrill,LV6,11,13,12,520
Excadrill,LV6,11,14,10,520
Excadrill,LV6,11,15,8,520
Excadrill,LV6,12,10,15,520
Excadrill,LV6,12,11,13,520
Excadrill,LV6,12,12,12,520
Excadrill,LV6,12,13,10,520
Excadrill,LV6,12,14,8,520
Excadrill,LV6,12,15,6,520
Excadrill,LV6,13,9,15,520
Excadrill,LV6,13,10,13,520
Excadrill,LV6,13,11,11,520
Excadrill,LV6,13,12,10,520
Excadrill,LV6,13,13,8,520
Excadrill,LV6,13,14,6,520
Excadrill,LV6,13,15,4,520
Excadrill,LV6,14,8,15,520
Excadrill,LV6,14,9,13,520
Excadrill,LV6,14,10,11,520
Excadrill,LV6,14,11,10,520
Excadrill,LV6,14,12,8,520
Excadrill,LV6,14,13,6,520
Excadrill,LV6,14,14,4,520
Excadrill,LV6,14,15,3,520
Excadrill,LV6,15,7,15,520
Excadrill,LV6,15,8,13,520
Excadrill,LV6,15,9,11,520
Excadrill,LV6,15,10,10,520
Excadrill,LV6,15,11,8,520
Excadrill,LV6,15,12,6,520
Excadrill,LV6,15,13,4,520
Excadrill,LV6,15,15,1,520
