Name,Level,Attack_IV,Defense_IV,HP_IV,CP
Farfetch'd Galarian Form,LV13,0,0,5,520
Farfetch'd Galarian Form,LV12.5,0,2,14,520
Farfetch'd Galarian Form,LV13,0,3,1,520
Farfetch'd Galarian Form,LV13,0,4,0,520
Farfetch'd Galarian Form,LV12.5,0,5,10,520
Farfetch'd Galarian Form,LV12.5,0,6,9,520
Farfetch'd Galarian Form,LV12.5,0,9,5,520
Farfetch'd Galarian Form,LV12.5,0,10,4,520
Farfetch'd Galarian Form,LV12.5,0,11,3,520
Farfetch'd Galarian Form,LV12,0,11,15,520
Farfetch'd Galarian Form,LV12,0,12,14,520
Farfetch'd Galarian Form,LV12,0,15,10,520
Farfetch'd Galarian Form,LV13,1,0,3,520
Farfetch'd Galarian Form,LV12.5,1,0,15,520
Farfetch'd Galarian Form,LV13,1,1,2,520
Farfetch'd Galarian Form,LV12.5,1,2,12,520
Farfetch'd Galarian Form,LV12.5,1,3,11,520
Farfetch'd Galarian Form,LV12.5,1,6,7,520
Farfetch'd Galarian Form,LV12.5,1,7,6,520
Farfetch'd Galarian Form,LV12.5,1,11,1,520
Farfetch'd Galarian Form,LV12,1,11,13,520
Farfetch'd Galarian Form,LV12.5,1,12,0,520
Farfetch'd Galarian Form,LV12,1,12,12,520
Farfetch'd Galarian Form,LV12,1,13,11,520
Farfetch'd Galarian Form,LV12.5,2,0,13,520
Farfetch'd Galarian Form,LV12.5,2,1,12,520
Farfetch'd Galarian Form,LV12.5,2,3,9,520
Farfetch'd Galarian Form,LV12.5,2,4,8,520
Farfetch'd Galarian Form,LV12.5,2,7,4,520
Farfetch'd Galarian Form,LV12.5,2,8,3,520
Farfetch'd Galarian Form,LV12,2,8,15,520
Farfetch'd Galarian Form,LV12.5,2,9,2,520
Farfetch'd Galarian Form,LV12,2,9,14,520
Farfetch'd Galarian Form,LV12,2,10,13,520
Farfetch'd Galarian Form,LV12,2,13,9,520
Farfetch'd Galarian Form,LV12,2,14,8,520
Farfetch'd Galarian Form,LV12,2,15,7,520
Farfetch'd Galarian Form,LV13,3,0,0,520
Farfetch'd Galarian Form,LV12.5,3,1,10,520
Farfetch'd Galarian Form,LV12.5,3,2,9,520
Farfetch'd Galarian Form,LV12.5,3,4,6,520
Farfetch'd Galarian Form,LV12.5,3,5,5,520
Farfetch'd Galarian Form,LV12.5,3,6,4,520
Farfetch'd Galarian Form,LV12,3,7,15,520
Farfetch'd Galarian Form,LV12.5,3,9,0,520
Farfetch'd Galarian Form,LV12,3,9,12,520
Farfetch'd Galarian Form,LV12,3,10,11,520
Farfetch'd Galarian Form,LV12,3,11,10,520
Farfetch'd Galarian Form,LV12,3,14,6,520
Farfetch'd Galarian Form,LV12,3,15,5,520
Farfetch'd Galarian Form,LV12.5,4,2,7,520
Farfetch'd Galarian Form,LV12.5,4,3,6,520
Farfetch'd Galarian Form,LV12.5,4,6,2,520
Farfetch'd Galarian Form,LV12.5,4,7,1,520
Farfetch'd Galarian Form,LV12,4,7,13,520
Farfetch'd Galarian Form,LV12.5,4,8,0,520
Farfetch'd Galarian Form,LV12,4,8,12,520
Farfetch'd Galarian Form,LV12,4,11,8,520
Farfetch'd Galarian Form,LV12,4,12,7,520
Farfetch'd Galarian Form,LV12,4,13,6,520
Farfetch'd Galarian Form,LV12.5,5,0,8,520
Farfetch'd Galarian Form,LV12.5,5,1,7,520
Farfetch'd Galarian Form,LV12.5,5,3,4,520
Farfetch'd Galarian Form,LV12.5,5,4,3,520
Farfetch'd Galarian Form,LV12,5,4,15,520
Farfetch'd Galarian Form,LV12.5,5,5,2,520
Farfetch'd Galarian Form,LV12,5,5,14,520
Farfetch'd Galarian Form,LV12,5,8,10,520
Farfetch'd Galarian Form,LV12,5,9,9,520
Farfetch'd Galarian Form,LV12,5,13,4,520
Farfetch'd Galarian Form,LV12,5,14,3,520
Farfetch'd Galarian Form,LV12,5,15,2,520
Farfetch'd Galarian Form,LV12.5,6,1,5,520
Farfetch'd Galarian Form,LV12.5,6,2,4,520
Farfetch'd Galarian Form,LV12,6,3,15,520
Farfetch'd Galarian Form,LV12.5,6,5,0,520
Farfetch'd Galarian Form,LV12,6,5,12,520
Farfetch'd Galarian Form,LV12,6,6,11,520
Farfetch'd Galarian Form,LV12,6,9,7,520
Farfetch'd Galarian Form,LV12,6,10,6,520
Farfetch'd Galarian Form,LV12,6,11,5,520
Farfetch'd Galarian Form,LV11.5,6,13,15,520
Farfetch'd Galarian Form,LV11.5,6,14,14,520
Farfetch'd Galarian Form,LV11.5,6,15,13,520
Farfetch'd Galarian Form,LV12.5,7,0,5,520
Farfetch'd Galarian Form,LV12.5,7,2,2,520
Farfetch'd Galarian Form,LV12.5,7,3,1,520
Farfetch'd Galarian Form,LV12,7,3,13,520
Farfetch'd Galarian Form,LV12.5,7,4,0,520
Farfetch'd Galarian Form,LV12,7,4,12,520
Farfetch'd Galarian Form,LV12,7,6,9,520
Farfetch'd Galarian Form,LV12,7,7,8,520
Farfetch'd Galarian Form,LV12,7,8,7,520
Farfetch'd Galarian Form,LV12,7,11,3,520
Farfetch'd Galarian Form,LV12,7,12,2,520
Farfetch'd Galarian Form,LV11.5,7,12,15,520
Farfetch'd Galarian Form,LV12,7,13,1,520
Farfetch'd Galarian Form,LV12,7,14,0,520
Farfetch'd Galarian Form,LV11.5,7,15,11,520
Farfetch'd Galarian Form,LV12.5,8,0,3,520
Farfetch'd Galarian Form,LV12.5,8,1,2,520
Farfetch'd Galarian Form,LV12,8,1,14,520
Farfetch'd Galarian Form,LV12,8,4,10,520
Farfetch'd Galarian Form,LV12,8,5,9,520
Farfetch'd Galarian Form,LV12,8,8,5,520
Farfetch'd Galarian Form,LV12,8,9,4,520
Farfetch'd Galarian Form,LV12,8,10,3,520
Farfetch'd Galarian Form,LV11.5,8,11,14,520
Farfetch'd Galarian Form,LV11.5,8,12,13,520
Farfetch'd Galarian Form,LV11.5,8,13,12,520
Farfetch'd Galarian Form,LV12,9,2,11,520
Farfetch'd Galarian Form,LV12,9,3,10,520
Farfetch'd Galarian Form,LV12,9,5,7,520
Farfetch'd Galarian Form,LV12,9,6,6,520
Farfetch'd Galarian Form,LV12,9,7,5,520
Farfetch'd Galarian Form,LV11.5,9,9,15,520
Farfetch'd Galarian Form,LV12,9,10,1,520
Farfetch'd Galarian Form,LV11.5,9,10,14,520
Farfetch'd Galarian Form,LV12,9,11,0,520
Farfetch'd Galarian Form,LV11.5,9,13,10,520
Farfetch'd Galarian Form,LV11.5,9,14,9,520
Farfetch'd Galarian Form,LV11.5,9,15,8,520
Farfetch'd Galarian Form,LV12.5,10,0,0,520
Farfetch'd Galarian Form,LV12,10,0,12,520
Farfetch'd Galarian Form,LV12,10,3,8,520
Farfetch'd Galarian Form,LV12,10,4,7,520
Farfetch'd Galarian Form,LV12,10,7,3,520
Farfetch'd Galarian Form,LV12,10,8,2,520
Farfetch'd Galarian Form,LV12,10,9,1,520
Farfetch'd Galarian Form,LV11.5,10,10,12,520
Farfetch'd Galarian Form,LV11.5,10,11,11,520
