Name,Level,Attack_IV,Defense_IV,HP_IV,CP
Farfetch'd,LV18,0,1,6,520
Farfetch'd,LV17.5,0,1,15,520
Farfetch'd,LV18,0,2,5,520
Farfetch'd,LV18,0,3,4,520
Farfetch'd,LV17.5,0,3,12,520
Farfetch'd,LV17.5,0,4,11,520
Farfetch'd,LV18,0,6,0,520
Farfetch'd,LV17.5,0,7,7,520
Farfetch'd,LV17.5,0,8,6,520
Farfetch'd,LV17,0,10,12,520
Farfetch'd,LV17,0,11,11,520
Farfetch'd,LV17.5,0,12,1,520
Farfetch'd,LV17,0,12,10,520
Farfetch'd,LV17.5,0,13,0,520
Farfetch'd,LV17,0,15,6,520
Farfetch'd,LV18,1,0,5,520
Farfetch'd,LV18,1,1,4,520
Farfetch'd,LV17.5,1,1,12,520
Farfetch'd,LV17.5,1,2,11,520
Farfetch'd,LV18,1,4,0,520
Farfetch'd,LV17.5,1,5,7,520
Farfetch'd,LV17.5,1,6,6,520
Farfetch'd,LV17.5,1,7,5,520
Farfetch'd,LV17,1,8,12,520
Farfetch'd,LV17,1,9,11,520
Farfetch'd,LV17.5,1,10,1,520
Farfetch'd,LV17,1,10,10,520
Farfetch'd,LV17.5,1,11,0,520
Farfetch'd,LV17,1,13,6,520
Farfetch'd,LV16.5,1,13,15,520
Farfetch'd,LV17,1,14,5,520
Farfetch'd,LV16.5,1,14,14,520
Farfetch'd,LV17,1,15,4,520
Farfetch'd,LV16.5,1,15,13,520
Farfetch'd,LV18,2,0,3,520
Farfetch'd,LV17.5,2,0,11,520
Farfetch'd,LV17.5,2,1,10,520
Farfetch'd,LV17.5,2,4,6,520
Farfetch'd,LV17,2,4,15,520
Farfetch'd,LV17.5,2,5,5,520
Farfetch'd,LV17,2,6,12,520
Farfetch'd,LV17,2,7,11,520
Farfetch'd,LV17.5,2,8,1,520
Farfetch'd,LV17,2,8,10,520
Farfetch'd,LV17.5,2,9,0,520
Farfetch'd,LV17,2,11,6,520
Farfetch'd,LV16.5,2,11,15,520
Farfetch'd,LV17,2,12,5,520
Farfetch'd,LV16.5,2,12,14,520
Farfetch'd,LV17,2,13,4,520
Farfetch'd,LV16.5,2,13,13,520
Farfetch'd,LV17,2,14,3,520
Farfetch'd,LV17.5,3,0,9,520
Farfetch'd,LV17.5,3,2,6,520
Farfetch'd,LV17,3,2,15,520
Farfetch'd,LV17.5,3,3,5,520
Farfetch'd,LV17.5,3,4,4,520
Farfetch'd,LV17,3,5,11,520
Farfetch'd,LV17,3,6,10,520
Farfetch'd,LV17.5,3,7,0,520
Farfetch'd,LV17,3,9,6,520
Farfetch'd,LV16.5,3,9,15,520
Farfetch'd,LV17,3,10,5,520
Farfetch'd,LV16.5,3,10,14,520
Farfetch'd,LV17,3,11,4,520
Farfetch'd,LV16.5,3,11,13,520
Farfetch'd,LV16.5,3,14,9,520
Farfetch'd,LV16.5,3,15,8,520
Farfetch'd,LV17,4,0,15,520
Farfetch'd,LV17.5,4,1,5,520
Farfetch'd,LV17,4,1,14,520
Farfetch'd,LV17.5,4,2,4,520
Farfetch'd,LV17,4,3,11,520
Farfetch'd,LV17,4,4,10,520
Farfetch'd,LV17,4,5,9,520
Farfetch'd,LV17,4,7,6,520
Farfetch'd,LV17,4,8,5,520
Farfetch'd,LV16.5,4,8,14,520
Farfetch'd,LV17,4,9,4,520
Farfetch'd,LV16.5,4,9,13,520
Farfetch'd,LV17,4,10,3,520
Farfetch'd,LV16.5,4,12,9,520
Farfetch'd,LV16.5,4,13,8,520
Farfetch'd,LV16.5,4,14,7,520
Farfetch'd,LV16,4,15,15,520
Farfetch'd,LV17.5,5,0,4,520
Farfetch'd,LV17,5,0,13,520
Farfetch'd,LV17.5,5,1,3,520
Farfetch'd,LV17,5,2,10,520
Farfetch'd,LV17,5,3,9,520
Farfetch'd,LV17,5,6,5,520
Farfetch'd,LV16.5,5,6,14,520
Farfetch'd,LV17,5,7,4,520
Farfetch'd,LV16.5,5,7,13,520
Farfetch'd,LV17,5,8,3,520
Farfetch'd,LV16.5,5,10,9,520
Farfetch'd,LV16.5,5,11,8,520
Farfetch'd,LV16.5,5,12,7,520
Farfetch'd,LV16,5,13,15,520
Farfetch'd,LV16,5,14,14,520
Farfetch'd,LV17.5,6,0,2,520
Farfetch'd,LV17,6,1,9,520
Farfetch'd,LV17,6,2,8,520
Farfetch'd,LV17,6,5,4,520
Farfetch'd,LV16.5,6,5,13,520
Farfetch'd,LV17,6,6,3,520
Farfetch'd,LV16.5,6,6,12,520
Farfetch'd,LV17,6,7,2,520
Farfetch'd,LV16.5,6,9,8,520
Farfetch'd,LV16.5,6,10,7,520
Farfetch'd,LV16.5,6,11,6,520
Farfetch'd,LV16,6,11,15,520
Farfetch'd,LV16,6,12,14,520
Farfetch'd,LV16.5,6,15,1,520
Farfetch'd,LV16,6,15,10,520
Farfetch'd,LV17.5,7,0,0,520
Farfetch'd,LV17,7,0,8,520
Farfetch'd,LV17,7,1,7,520
Farfetch'd,LV17,7,4,3,520
Farfetch'd,LV16.5,7,4,12,520
Farfetch'd,LV17,7,5,2,520
Farfetch'd,LV16.5,7,5,11,520
Farfetch'd,LV17,7,6,1,520
Farfetch'd,LV16.5,7,7,8,520
Farfetch'd,LV16.5,7,8,7,520
Farfetch'd,LV16.5,7,9,6,520
Farfetch'd,LV16,7,9,15,520
Farfetch'd,LV16,7,10,14,520
Farfetch'd,LV16.5,7,13,1,520
Farfetch'd,LV16,7,13,10,520
Farfetch'd,LV16.5,7,14,0,520
Farfetch'd,LV16,7,14,9,520
Farfetch'd,LV16,7,15,8,520
Farfetch'd,LV17,8,0,6,520
Farfetch'd,LV16.5,8,0,15,520
Farfetch'd,LV16.5,8,2,12,520
Farfetch'd,LV17,8,3,2,520
Farfetch'd,LV16.5,8,3,11,520
Farfetch'd,LV17,8,4,1,520
Farfetch'd,LV17,8,5,0,520
Farfetch'd,LV16.5,8,6,7,520
Farfetch'd,LV16.5,8,7,6,520
Farfetch'd,LV16.5,8,8,5,520
Farfetch'd,LV16,8,8,14,520
Farfetch'd,LV16,8,9,13,520
Farfetch'd,LV16.5,8,12,0,520
Farfetch'd,LV16,8,12,9,520
Farfetch'd,LV16,8,13,8,520
Farfetch'd,LV16,8,14,7,520
Farfetch'd,LV16.5,9,1,11,520
Farfetch'd,LV17,9,2,1,520
Farfetch'd,LV16.5,9,2,10,520
Farfetch'd,LV17,9,3,0,520
Farfetch'd,LV16.5,9,5,6,520
Farfetch'd,LV16.5,9,6,5,520
Farfetch'd,LV16,9,6,14,520
Farfetch'd,LV16.5,9,7,4,520
Farfetch'd,LV16,9,7,13,520
Farfetch'd,LV16,9,8,12,520
Farfetch'd,LV16,9,10,9,520
Farfetch'd,LV16,9,11,8,520
Farfetch'd,LV16,9,12,7,520
Farfetch'd,LV16,9,13,6,520
Farfetch'd,LV15.5,9,14,14,520
Farfetch'd,LV15.5,9,15,13,520
Farfetch'd,LV16.5,10,1,9,520
Farfetch'd,LV16.5,10,2,8,520
Farfetch'd,LV16.5,10,4,5,520
Farfetch'd,LV16.5,10,5,4,520
Farfetch'd,LV16,10,5,13,520
Farfetch'd,LV16.5,10,6,3,520
Farfetch'd,LV16,10,6,12,520
Farfetch'd,LV16,10,9,8,520
Farfetch'd,LV16,10,10,7,520
Farfetch'd,LV16,10,11,6,520
Farfetch'd,LV15.5,10,12,14,520
Farfetch'd,LV15.5,10,13,13,520
Farfetch'd,LV15.5,10,14,12,520
Farfetch'd,LV16.5,11,0,8,520
Farfetch'd,LV16.5,11,1,7,520
Farfetch'd,LV16,11,2,15,520
Farfetch'd,LV16.5,11,4,3,520
Farfetch'd,LV16,11,4,12,520
Farfetch'd,LV16.5,11,5,2,520
Farfetch'd,LV16,11,5,11,520
Farfetch'd,LV16,11,8,7,520
Farfetch'd,LV16,11,9,6,520
Farfetch'd,LV16,11,10,5,520
Farfetch'd,LV15.5,11,11,13,520
Farfetch'd,LV15.5,11,12,12,520
Farfetch'd,LV15.5,11,13,11,520
Farfetch'd,LV16.5,12,0,6,520
Farfetch'd,LV16,12,0,15,520
Farfetch'd,LV16,12,1,14,520
Farfetch'd,LV16.5,12,3,2,520
Farfetch'd,LV16,12,3,11,520
Farfetch'd,LV16.5,12,4,1,520
Farfetch'd,LV16,12,4,10,520
Farfetch'd,LV16.5,12,5,0,520
Farfetch'd,LV16,12,5,9,520
Farfetch'd,LV16,12,7,6,520
Farfetch'd,LV16,12,8,5,520
Farfetch'd,LV16,12,9,4,520
Farfetch'd,LV16,12,10,3,520
Farfetch'd,LV15.5,12,10,12,520
Farfetch'd,LV15.5,12,11,11,520
Farfetch'd,LV15.5,12,12,10,520
Farfetch'd,LV15.5,12,15,6,520
Farfetch'd,LV16.5,13,0,4,520
Farfetch'd,LV16,13,0,13,520
Farfetch'd,LV16.5,13,3,0,520
Farfetch'd,LV16,13,3,9,520
Farfetch'd,LV16,13,4,8,520
Farfetch'd,LV15.5,13,6,15,520
Farfetch'd,LV16,13,7,4,520
Farfetch'd,LV16,13,8,3,520
Farfetch'd,LV16,13,9,2,520
Farfetch'd,LV15.5,13,9,11,520
Farfetch'd,LV15.5,13,10,10,520
Farfetch'd,LV15.5,13,11,9,520
Farfetch'd,LV15.5,13,14,5,520
Farfetch'd,LV15,13,14,15,520
Farfetch'd,LV15.5,13,15,4,520
Farfetch'd,LV15,13,15,14,520
Farfetch'd,LV16,14,0,11,520
Farfetch'd,LV16,14,2,8,520
Farfetch'd,LV16,14,3,7,520
Farfetch'd,LV15.5,14,4,15,520
Farfetch'd,LV15.5,14,5,14,520
Farfetch'd,LV16,14,6,3,520
Farfetch'd,LV16,14,7,2,520
Farfetch'd,LV16,14,8,1,520
Farfetch'd,LV15.5,14,8,10,520
Farfetch'd,LV15.5,14,9,9,520
Farfetch'd,LV15.5,14,10,8,520
Farfetch'd,LV15.5,14,13,4,520
Farfetch'd,LV15,14,13,14,520
Farfetch'd,LV15.5,14,14,3,520
Farfetch'd,LV15,14,14,13,520
Farfetch'd,LV15.5,14,15,2,520
Farfetch'd,LV16,15,1,7,520
Farfetch'd,LV16,15,2,6,520
Farfetch'd,LV16,15,3,5,520
Farfetch'd,LV15.5,15,4,13,520
Farfetch'd,LV15.5,15,5,12,520
Farfetch'd,LV16,15,6,1,520
Farfetch'd,LV16,15,7,0,520
Farfetch'd,LV15.5,15,7,9,520
Farfetch'd,LV15.5,15,8,8,520
Farfetch'd,LV15.5,15,9,7,520
Farfetch'd,LV15,15,11,14,520
Farfetch'd,LV15,15,12,13,520
Farfetch'd,LV15.5,15,13,2,520
Farfetch'd,LV15,15,13,12,520
Farfetch'd,LV15.5,15,14,1,520
Farfetch'd,LV15.5,15,15,0,520
